title,link,description,date,source
Study shows difficulty in finding evidence of life on Mars - Science Daily,https://www.sciencedaily.com/releases/2020/09/200915121313.htm," href=""https://www.sciencedaily.com/releases/2020/09/200915121313.htm"" target=""_blank"">Study shows difficulty in finding evidence of life on Mars</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-09-15 07:00:00+00:00,Science Daily
Israel–Arab peace accord fuels hope for surge in scientific collaboration - Nature.com,https://www.nature.com/articles/d41586-020-02688-5," href=""https://www.nature.com/articles/d41586-020-02688-5"" target=""_blank"">Israel–Arab peace accord fuels hope for surge in scientific collaboration</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nature.com</font",2020-09-21 07:00:00+00:00,Nature.com
When will scientists learn to use fewer acronyms? - Science Daily,https://www.sciencedaily.com/releases/2020/08/200814101704.htm," href=""https://www.sciencedaily.com/releases/2020/08/200814101704.htm"" target=""_blank"">When will scientists learn to use fewer acronyms?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-08-14 07:00:00+00:00,Science Daily
"Pandemic spawns 'infodemic' in scientific literature: New policies, technologies could help make sense of flood of information - Science Daily",https://www.sciencedaily.com/releases/2020/09/200911110806.htm," href=""https://www.sciencedaily.com/releases/2020/09/200911110806.htm"" target=""_blank"">Pandemic spawns 'infodemic' in scientific literature: New policies, technologies could help make sense of flood of information</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-09-11 07:00:00+00:00,Science Daily
Research captures how human sperm swim in 3D - Science Daily,https://www.sciencedaily.com/releases/2020/07/200731145140.htm," href=""https://www.sciencedaily.com/releases/2020/07/200731145140.htm"" target=""_blank"">Research captures how human sperm swim in 3D</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-08-12 07:00:00+00:00,Science Daily
Women's journal submission rates continue to fall - Inside Higher Ed,https://www.insidehighered.com/news/2020/08/20/womens-journal-submission-rates-continue-fall," href=""https://www.insidehighered.com/news/2020/08/20/womens-journal-submission-rates-continue-fall"" target=""_blank"">Women's journal submission rates continue to fall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inside Higher Ed</font",2020-08-20 07:00:00+00:00,Inside Higher Ed
Springer Nature Deepens Partnership With ResearchGate - Inside Higher Ed,https://www.insidehighered.com/quicktakes/2020/09/09/springer-nature-deepens-partnership-researchgate," href=""https://www.insidehighered.com/quicktakes/2020/09/09/springer-nature-deepens-partnership-researchgate"" target=""_blank"">Springer Nature Deepens Partnership With ResearchGate</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inside Higher Ed</font",2020-09-09 07:00:00+00:00,Inside Higher Ed
"Plastics, waste and recycling: It's not just a packaging problem - Science Daily",https://www.sciencedaily.com/releases/2020/08/200825113621.htm," href=""https://www.sciencedaily.com/releases/2020/08/200825113621.htm"" target=""_blank"">Plastics, waste and recycling: It's not just a packaging problem</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-08-25 07:00:00+00:00,Science Daily
These lifestyle choices can reduce the risk of chronic kidney disease - Science Daily,https://www.sciencedaily.com/releases/2020/09/200902095136.htm," href=""https://www.sciencedaily.com/releases/2020/09/200902095136.htm"" target=""_blank"">These lifestyle choices can reduce the risk of chronic kidney disease</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-09-02 07:00:00+00:00,Science Daily
World's largest DNA sequencing of Viking skeletons reveals they weren't all Scandinavian - Science Daily,https://www.sciencedaily.com/releases/2020/09/200916113544.htm," href=""https://www.sciencedaily.com/releases/2020/09/200916113544.htm"" target=""_blank"">World's largest DNA sequencing of Viking skeletons reveals they weren't all Scandinavian</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-09-16 07:00:00+00:00,Science Daily
Engineering speciation events in insects may be used to control harmful pests - Science Daily,https://www.sciencedaily.com/releases/2020/09/200908131034.htm," href=""https://www.sciencedaily.com/releases/2020/09/200908131034.htm"" target=""_blank"">Engineering speciation events in insects may be used to control harmful pests</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-09-08 07:00:00+00:00,Science Daily
Promising new research identifies novel approach for controlling defects in 3D printing - Science Daily,https://www.sciencedaily.com/releases/2020/08/200805181730.htm," href=""https://www.sciencedaily.com/releases/2020/08/200805181730.htm"" target=""_blank"">Promising new research identifies novel approach for controlling defects in 3D printing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-08-05 07:00:00+00:00,Science Daily
Intelligent software tackles plant cell jigsaw puzzle - Science Daily,https://www.sciencedaily.com/releases/2020/08/200831090127.htm," href=""https://www.sciencedaily.com/releases/2020/08/200831090127.htm"" target=""_blank"">Intelligent software tackles plant cell jigsaw puzzle</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-08-31 07:00:00+00:00,Science Daily
Ecologists confirm Alan Turing's theory for Australian fairy circles - Science Daily,https://www.sciencedaily.com/releases/2020/09/200922102429.htm," href=""https://www.sciencedaily.com/releases/2020/09/200922102429.htm"" target=""_blank"">Ecologists confirm Alan Turing's theory for Australian fairy circles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Science Daily</font",2020-09-22 07:00:00+00:00,Science Daily
