title,link,description,date,source
Texas Attorney General Ken Paxton accused of bribery and abusing his office by 7 top aides - The Washington Post,https://www.washingtonpost.com/nation/2020/10/05/ken-paxton-staffers-bribery/,"l><li><a href=""https://www.washingtonpost.com/nation/2020/10/05/ken-paxton-staffers-bribery/"" target=""_blank"">Texas Attorney General Ken Paxton accused of bribery and abusing his office by 7 top aides</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font></li><li><a href=""https://www.texastribune.org/2020/10/05/texas-ken-paxton-bribery/"" target=""_blank"">Texas AG Ken Paxton and allegations of bribery: What you need to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Texas Tribune</font></li><li><a href=""https://www.courthousenews.com/texas-attorney-general-accused-of-bribery-by-staff/"" target=""_blank"">Texas Attorney General Accused of Bribery by Staff</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Courthouse News Service</font></li><li><a href=""https://www.bloombergquint.com/onweb/texas-attorney-general-paxton-accused-of-bribery-by-top-aides"" target=""_blank"">Texas Attorney General Ken Paxton Accused of Bribery by Top Aides</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BloombergQuint</font></li><li><a href=""https://www.cbsnews.com/news/texas-attorney-general-ken-paxton-accused-bribery/"" target=""_blank"">Texas attorney general accused by top deputies of bribery and abuse of office</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS News</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlra3ZqMWtJQU1FZjVnWFhZOFJHLTBLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-05 07:00:00+00:00,The Washington Post
North Carolina prison official accused of bribery smuggling - WITN,https://www.witn.com/2020/10/22/north-carolina-prison-official-accused-of-bribery-smuggling/," href=""https://www.witn.com/2020/10/22/north-carolina-prison-official-accused-of-bribery-smuggling/"" target=""_blank"">North Carolina prison official accused of bribery smuggling</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WITN</font",2020-10-22 12:09:00+00:00,WITN
Clarkston business owner accused of bribing federal official to win construction contract - The Spokesman-Review,https://www.spokesman.com/stories/2020/oct/22/clarkston-business-owner-accused-of-bribing-federa/," href=""https://www.spokesman.com/stories/2020/oct/22/clarkston-business-owner-accused-of-bribing-federa/"" target=""_blank"">Clarkston business owner accused of bribing federal official to win construction contract</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Spokesman-Review</font",2020-10-22 18:46:44+00:00,The Spokesman-Review
Texas AG Ken Paxton's office fires a second whistleblower - The Texas Tribune,https://www.texastribune.org/2020/10/22/texas-ken-paxton-whistleblower-bribery/," href=""https://www.texastribune.org/2020/10/22/texas-ken-paxton-whistleblower-bribery/"" target=""_blank"">Texas AG Ken Paxton's office fires a second whistleblower</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Texas Tribune</font",2020-10-22 22:49:00+00:00,The Texas Tribune
Developer accused of trying to bribe Palm Bay City Council members - WKMG News 6 & ClickOrlando,https://www.clickorlando.com/news/2020/10/02/developer-accused-of-trying-to-bribe-palm-bay-city-council-members/," href=""https://www.clickorlando.com/news/2020/10/02/developer-accused-of-trying-to-bribe-palm-bay-city-council-members/"" target=""_blank"">Developer accused of trying to bribe Palm Bay City Council members</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WKMG News 6 & ClickOrlando</font",2020-10-03 07:00:00+00:00,WKMG News 6 & ClickOrlando
Former top Catholic cardinal accused of bribing witnesses in rival's sex-abuse case - New York Post ,https://nypost.com/2020/10/05/former-top-catholic-cardinal-accused-of-bribing-sex-abuse-witnesses/," href=""https://nypost.com/2020/10/05/former-top-catholic-cardinal-accused-of-bribing-sex-abuse-witnesses/"" target=""_blank"">Former top Catholic cardinal accused of bribing witnesses in rival's sex-abuse case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Post </font",2020-10-05 07:00:00+00:00,New York Post 
NC prison official accused of bribery smuggling - Richmond County Daily Journal,https://www.yourdailyjournal.com/news/97038/nc-prison-official-accused-of-bribery-smuggling," href=""https://www.yourdailyjournal.com/news/97038/nc-prison-official-accused-of-bribery-smuggling"" target=""_blank"">NC prison official accused of bribery smuggling</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Richmond County Daily Journal</font",2020-10-22 02:00:18+00:00,Richmond County Daily Journal
Texas Attorney General Fires Top Aide Who Accused Him of Bribery - The Daily Beast,https://www.thedailybeast.com/texas-attorney-general-ken-paxton-fires-top-aide-lacey-mase-who-accused-him-of-bribery," href=""https://www.thedailybeast.com/texas-attorney-general-ken-paxton-fires-top-aide-lacey-mase-who-accused-him-of-bribery"" target=""_blank"">Texas Attorney General Fires Top Aide Who Accused Him of Bribery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Beast</font",2020-10-21 04:27:43+00:00,The Daily Beast
Paxton Pushes on With Investigation That Has Him Accused of Bribery - Reform Austin,https://www.reformaustin.org/texas-legislature/paxton-pushes-on-with-investigation-that-has-him-accused-of-bribery/," href=""https://www.reformaustin.org/texas-legislature/paxton-pushes-on-with-investigation-that-has-him-accused-of-bribery/"" target=""_blank"">Paxton Pushes on With Investigation That Has Him Accused of Bribery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reform Austin</font",2020-10-07 14:14:00+00:00,Reform Austin
Washington contractor charged with bribing BIA official for jobs in New Mexico - KRQE News 13,https://www.krqe.com/news/crime/washington-contractor-charged-with-bribing-bia-official-for-jobs-in-new-mexico/," href=""https://www.krqe.com/news/crime/washington-contractor-charged-with-bribing-bia-official-for-jobs-in-new-mexico/"" target=""_blank"">Washington contractor charged with bribing BIA official for jobs in New Mexico</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KRQE News 13</font",2020-10-23 12:58:00+00:00,KRQE News 13
