title,link,description,date,source
Retired CBI officer arrested by agency in ₹25-lakh bribery case - The Hindu,https://www.thehindu.com/news/national/retired-cbi-officer-arrested-by-agency-in-25-lakh-bribery-case/article32758279.ece,"l><li><a href=""https://www.thehindu.com/news/national/retired-cbi-officer-arrested-by-agency-in-25-lakh-bribery-case/article32758279.ece"" target=""_blank"">Retired CBI officer arrested by agency in ₹25-lakh bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font></li><li><a href=""https://www.dnaindia.com/india/report-retired-cbi-officer-among-two-arrested-in-rs-25-lakh-bribery-case-2847412"" target=""_blank"">Retired CBI officer among two arrested in Rs 25-lakh bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font></li><li><a href=""https://zeenews.india.com/india/former-cbi-officer-among-two-arrested-in-rs-25-lakh-bribery-case-2314707.html"" target=""_blank"">Former CBI officer among two arrested in Rs 25 lakh bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font></li><li><a href=""https://www.ndtv.com/india-news/ex-cbi-officer-among-two-arrested-in-rs-25-lakh-bribery-case-2305019"" target=""_blank"">Ex-CBI Officer Among Two Arrested In Rs 25 Lakh Bribery Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font></li><li><a href=""https://www.tribuneindia.com/news/nation/retired-cbi-officer-arrested-by-agency-in-rs-25-lakh-bribery-case-150426"" target=""_blank"">Retired CBI officer arrested in Rs 25-lakh bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWllOWI3MWtJQU1FVTZUYkl2T3puZkFLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-03 07:00:00+00:00,The Hindu
Indian Police Accuse Popular TV Station of Ratings Fraud - The New York Times,https://www.nytimes.com/2020/10/09/world/asia/india-republic-tv-ratings.html," href=""https://www.nytimes.com/2020/10/09/world/asia/india-republic-tv-ratings.html"" target=""_blank"">Indian Police Accuse Popular TV Station of Ratings Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font",2020-10-09 07:00:00+00:00,The New York Times
Police constable arrested in bribery case in Beed - United News of India,http://www.uniindia.com/police-constable-arrested-in-bribery-case-in-beed/west/news/2181955.html," href=""http://www.uniindia.com/police-constable-arrested-in-bribery-case-in-beed/west/news/2181955.html"" target=""_blank"">Police constable arrested in bribery case in Beed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">United News of India</font",2020-09-29 07:00:00+00:00,United News of India
Madurai Corporation bill collector arrested for taking bribe - Times of India,https://timesofindia.indiatimes.com/city/madurai/madurai-corporation-bill-collector-arrested-for-taking-bribe/articleshow/78517614.cms," href=""https://timesofindia.indiatimes.com/city/madurai/madurai-corporation-bill-collector-arrested-for-taking-bribe/articleshow/78517614.cms"" target=""_blank"">Madurai Corporation bill collector arrested for taking bribe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-06 07:00:00+00:00,Times of India
CBI arrests two Delhi cops in bribery case - BW Businessworld,http://www.businessworld.in/article/CBI-arrests-two-Delhi-cops-in-bribery-case/13-10-2020-331216," href=""http://www.businessworld.in/article/CBI-arrests-two-Delhi-cops-in-bribery-case/13-10-2020-331216"" target=""_blank"">CBI arrests two Delhi cops in bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BW Businessworld</font",2020-10-13 07:00:00+00:00,BW Businessworld
ACB nabs two cops in bribery case - Times of India,https://timesofindia.indiatimes.com/city/pune/acb-nabs-two-cops-in-bribery-case/articleshow/78469238.cms," href=""https://timesofindia.indiatimes.com/city/pune/acb-nabs-two-cops-in-bribery-case/articleshow/78469238.cms"" target=""_blank"">ACB nabs two cops in bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-04 07:00:00+00:00,Times of India
Ex-Tahsildar dies by suicide in Telangana prison - Outlook India,https://www.outlookindia.com/newsscroll/extahsildar-dies-by-suicide-in-telangana-prison/1954994," href=""https://www.outlookindia.com/newsscroll/extahsildar-dies-by-suicide-in-telangana-prison/1954994"" target=""_blank"">Ex-Tahsildar dies by suicide in Telangana prison</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-14 07:00:00+00:00,Outlook India
Fisheries department official arrested in bribery case in Kolhapur - United News of India,https://www.uniindia.com/fisheries-department-official-arrested-in-bribery-case-in-kolhapur/west/news/2193032.html," href=""https://www.uniindia.com/fisheries-department-official-arrested-in-bribery-case-in-kolhapur/west/news/2193032.html"" target=""_blank"">Fisheries department official arrested in bribery case in Kolhapur</a>&nbsp;&nbsp;<font color=""#6f6f6f"">United News of India</font",2020-10-08 07:00:00+00:00,United News of India
Two Irrigation officers arrested in bribery case in Kolhapur - United News of India,http://www.uniindia.com/two-irrigation-officers-arrested-in-bribery-case-in-kolhapur/west/news/2205945.html," href=""http://www.uniindia.com/two-irrigation-officers-arrested-in-bribery-case-in-kolhapur/west/news/2205945.html"" target=""_blank"">Two Irrigation officers arrested in bribery case in Kolhapur</a>&nbsp;&nbsp;<font color=""#6f6f6f"">United News of India</font",2020-10-19 14:24:00+00:00,United News of India
Agriculture assistant among 2 arrested in bribery case in Aurangabad - United News of India,http://www.uniindia.com/agriculture-assistant-among-2-arrested-in-bribery-case-in-aurangabad/west/news/2184641.html," href=""http://www.uniindia.com/agriculture-assistant-among-2-arrested-in-bribery-case-in-aurangabad/west/news/2184641.html"" target=""_blank"">Agriculture assistant among 2 arrested in bribery case in Aurangabad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">United News of India</font",2020-10-01 07:00:00+00:00,United News of India
