title,link,description,date,source
Marengo Woman Arrested On Public Intoxication And Bribery Charges - WBIW.com,http://www.wbiw.com/2020/10/26/marengo-woman-arrested-on-public-intoxication-and-bribery-charges/," href=""http://www.wbiw.com/2020/10/26/marengo-woman-arrested-on-public-intoxication-and-bribery-charges/"" target=""_blank"">Marengo Woman Arrested On Public Intoxication And Bribery Charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WBIW.com</font",2020-10-26 15:49:46+00:00,WBIW.com
Palm Bay developer Brian West arrested on bribery charges involving Palm Bay City Council - Florida Today,https://www.floridatoday.com/story/news/2020/10/02/palm-bay-developer-arrested-alleged-scheme-bribe-city-council/5895486002/," href=""https://www.floridatoday.com/story/news/2020/10/02/palm-bay-developer-arrested-alleged-scheme-bribe-city-council/5895486002/"" target=""_blank"">Palm Bay developer Brian West arrested on bribery charges involving Palm Bay City Council</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Florida Today</font",2020-10-02 07:00:00+00:00,Florida Today
"Galesburg woman arrested for resisting, bribery, and more. - WGIL Radio News",https://www.wgil.com/2020/10/21/galesburg-woman-arrested-for-resisting-bribery-and-more/," href=""https://www.wgil.com/2020/10/21/galesburg-woman-arrested-for-resisting-bribery-and-more/"" target=""_blank"">Galesburg woman arrested for resisting, bribery, and more.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WGIL Radio News</font",2020-10-21 09:31:09+00:00,WGIL Radio News
Two traffic officers arrested for bribery - Johannesburg Sunday World,https://sundayworld.co.za/news/two-traffic-officers-arrested-for-bribery/," href=""https://sundayworld.co.za/news/two-traffic-officers-arrested-for-bribery/"" target=""_blank"">Two traffic officers arrested for bribery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Johannesburg Sunday World</font",2020-10-26 13:41:19+00:00,Johannesburg Sunday World
Retired CBI officer arrested by agency in ₹25-lakh bribery case - The Hindu,https://www.thehindu.com/news/national/retired-cbi-officer-arrested-by-agency-in-25-lakh-bribery-case/article32758279.ece," href=""https://www.thehindu.com/news/national/retired-cbi-officer-arrested-by-agency-in-25-lakh-bribery-case/article32758279.ece"" target=""_blank"">Retired CBI officer arrested by agency in ₹25-lakh bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-03 07:00:00+00:00,The Hindu
Dainfern man (52) who owes City Power R463K is arrested for bribery - Fourways Review,https://fourwaysreview.co.za/359617/dainfern-man-52-who-owes-city-power-r463k-is-arrested-for-bribery/," href=""https://fourwaysreview.co.za/359617/dainfern-man-52-who-owes-city-power-r463k-is-arrested-for-bribery/"" target=""_blank"">Dainfern man (52) who owes City Power R463K is arrested for bribery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fourways Review</font",2020-10-02 15:43:40+00:00,Fourways Review
BREAKING: Man arrested in Kildare over Garda investigation into alleged bribery offences - Leinster Leader,https://www.leinsterleader.ie/news/home/581477/breaking-man-arrested-in-kildare-over-garda-investigation-into-alleged-bribery-offences.html," href=""https://www.leinsterleader.ie/news/home/581477/breaking-man-arrested-in-kildare-over-garda-investigation-into-alleged-bribery-offences.html"" target=""_blank"">BREAKING: Man arrested in Kildare over Garda investigation into alleged bribery offences</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Leinster Leader</font",2020-10-15 07:00:00+00:00,Leinster Leader
Tourist Development Council member caught up in bribery investigation resigns - Florida Today,https://www.floridatoday.com/story/news/local/2020/10/07/tourist-council-member-caught-up-bribery-investigation-resigning/5908578002/," href=""https://www.floridatoday.com/story/news/local/2020/10/07/tourist-council-member-caught-up-bribery-investigation-resigning/5908578002/"" target=""_blank"">Tourist Development Council member caught up in bribery investigation resigns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Florida Today</font",2020-10-07 07:00:00+00:00,Florida Today
Police constable arrested in bribery case in Beed - United News of India,http://www.uniindia.com/police-constable-arrested-in-bribery-case-in-beed/west/news/2181955.html," href=""http://www.uniindia.com/police-constable-arrested-in-bribery-case-in-beed/west/news/2181955.html"" target=""_blank"">Police constable arrested in bribery case in Beed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">United News of India</font",2020-09-29 07:00:00+00:00,United News of India
Traffic cops arrested and examiners fired for bribery and corruption - DispatchLIVE,https://www.dispatchlive.co.za/news/2020-10-25-traffic-cops-arrested-and-examiners-fired-for-bribery-and-corruption/," href=""https://www.dispatchlive.co.za/news/2020-10-25-traffic-cops-arrested-and-examiners-fired-for-bribery-and-corruption/"" target=""_blank"">Traffic cops arrested and examiners fired for bribery and corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DispatchLIVE</font",2020-10-25 10:57:23+00:00,DispatchLIVE
