title,link,description,date,source
Leonardo CEO found guilty of fraud in previous job - DefenseNews.com,https://www.defensenews.com/industry/2020/10/15/leonardo-ceo-found-guilty-of-fraud-in-previous-job/," href=""https://www.defensenews.com/industry/2020/10/15/leonardo-ceo-found-guilty-of-fraud-in-previous-job/"" target=""_blank"">Leonardo CEO found guilty of fraud in previous job</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DefenseNews.com</font",2020-10-15 07:00:00+00:00,DefenseNews.com
"Former VC of Tamil Nadu Dr MGR Medical University found guilty of corruption, gets 2 years imprisonment - Medical Dialogues",https://medicaldialogues.in/state-news/tamil-nadu/former-vc-of-tamil-nadu-dr-mgr-medical-university-found-guilty-of-corruption-gets-2-years-imprisonment-70846," href=""https://medicaldialogues.in/state-news/tamil-nadu/former-vc-of-tamil-nadu-dr-mgr-medical-university-found-guilty-of-corruption-gets-2-years-imprisonment-70846"" target=""_blank"">Former VC of Tamil Nadu Dr MGR Medical University found guilty of corruption, gets 2 years imprisonment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Medical Dialogues</font",2020-10-26 08:15:00+00:00,Medical Dialogues
Local BIA employee charged with bribery - Albuquerque Journal,https://www.abqjournal.com/1510086/local-bia-employee-charged-with-bribery.html," href=""https://www.abqjournal.com/1510086/local-bia-employee-charged-with-bribery.html"" target=""_blank"">Local BIA employee charged with bribery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Albuquerque Journal</font",2020-10-23 04:58:00+00:00,Albuquerque Journal
Goldman Sachs agrees to largest penalty ever in 1MDB scandal - Times of India,https://timesofindia.indiatimes.com/business/international-business/goldman-sachs-agrees-to-largest-penalty-ever-in-1mdb-scandal/articleshow/78819108.cms," href=""https://timesofindia.indiatimes.com/business/international-business/goldman-sachs-agrees-to-largest-penalty-ever-in-1mdb-scandal/articleshow/78819108.cms"" target=""_blank"">Goldman Sachs agrees to largest penalty ever in 1MDB scandal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-22 22:37:00+00:00,Times of India
"US, UK Fight Foreign Bribery But Most Nations Do Very Little - Voice of America",https://www.voanews.com/economy-business/us-uk-fight-foreign-bribery-most-nations-do-very-little," href=""https://www.voanews.com/economy-business/us-uk-fight-foreign-bribery-most-nations-do-very-little"" target=""_blank"">US, UK Fight Foreign Bribery But Most Nations Do Very Little</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Voice of America</font",2020-10-13 07:00:00+00:00,Voice of America
Report Finds US Leads World in Fighting Bribery - Project On Government Oversight,https://www.pogo.org/analysis/2020/10/report-finds-u-s-leads-world-in-fighting-bribery/," href=""https://www.pogo.org/analysis/2020/10/report-finds-u-s-leads-world-in-fighting-bribery/"" target=""_blank"">Report Finds US Leads World in Fighting Bribery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Project On Government Oversight</font",2020-10-14 12:30:00+00:00,Project On Government Oversight
Former Palm Bay Deputy City Manager Dave Isnardi pleads guilty to single felony charge - Florida Today,https://www.floridatoday.com/story/news/2020/10/02/former-palm-bay-deputy-city-manager-isnardi-pleads-guilty-single-charge/3594169001/," href=""https://www.floridatoday.com/story/news/2020/10/02/former-palm-bay-deputy-city-manager-isnardi-pleads-guilty-single-charge/3594169001/"" target=""_blank"">Former Palm Bay Deputy City Manager Dave Isnardi pleads guilty to single felony charge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Florida Today</font",2020-10-02 07:00:00+00:00,Florida Today
Former ComEd Vice President Pleads Guilty In Bribery Scheme - News18,https://www.news18.com/news/world/former-comed-vice-president-pleads-guilty-in-bribery-scheme-2920279.html," href=""https://www.news18.com/news/world/former-comed-vice-president-pleads-guilty-in-bribery-scheme-2920279.html"" target=""_blank"">Former ComEd Vice President Pleads Guilty In Bribery Scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font",2020-09-29 07:00:00+00:00,News18
54 Pakistan International Airlines employees sacked - National Herald,https://www.nationalheraldindia.com/international/54-pakistan-international-airlines-employees-sacked," href=""https://www.nationalheraldindia.com/international/54-pakistan-international-airlines-employees-sacked"" target=""_blank"">54 Pakistan International Airlines employees sacked</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-03 07:00:00+00:00,National Herald
Gujarat: ACB court convicts revenue officer 13 years after he took Rs 500 bribe - The Indian Express,https://indianexpress.com/article/cities/ahmedabad/gujarat-acb-court-convicts-revenue-officer-13-years-after-he-took-rs-500-bribe-6718983/," href=""https://indianexpress.com/article/cities/ahmedabad/gujarat-acb-court-convicts-revenue-officer-13-years-after-he-took-rs-500-bribe-6718983/"" target=""_blank"">Gujarat: ACB court convicts revenue officer 13 years after he took Rs 500 bribe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-10 07:00:00+00:00,The Indian Express
