title,link,description,date,source
Goldman Sachs unit pleads guilty in Malaysian bribery case and agrees to pay $2.9 billion - CNN,https://www.cnn.com/2020/10/22/business/goldman-sachs-1mdb-settlement/index.html,"l><li><a href=""https://www.cnn.com/2020/10/22/business/goldman-sachs-1mdb-settlement/index.html"" target=""_blank"">Goldman Sachs unit pleads guilty in Malaysian bribery case and agrees to pay $2.9 billion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font></li><li><a href=""https://www.wsj.com/articles/goldman-fined-350-million-by-hong-kong-regulator-over-1mdb-scandal-11603363392"" target=""_blank"">Goldman Sachs Malaysia Subsidiary Pleads Guilty in 1MDB Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wall Street Journal</font></li><li><a href=""https://www.nytimes.com/2020/10/22/business/goldman-sachs-fraud-guilty-plea.html"" target=""_blank"">Goldman Sachs Unit Pleads Guilty Over Fraud Scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font></li><li><a href=""https://www.washingtonpost.com/business/2020/10/22/goldman-sachs-1mdb-record-fine/"" target=""_blank"">Goldman Sachs fined record $2.9 billion to resolve 1MDB bribery scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font></li><li><a href=""https://www.thestar.com.my/news/nation/2020/10/22/goldman-sachs-malaysia-pleads-guilty-to-us-charges-in-1mdb-probe"" target=""_blank"">Goldman Sachs Malaysia pleads guilty to US charges in 1MDB probe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Star Online</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlrNWJDR2tZQU1FWi1CY3VDSmdsT3NLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-23 03:49:00+00:00,CNN
Goldman Sachs Pleads Guilty to $1 Billion Bribery Scheme Charges - OCCRP,https://www.occrp.org/en/daily/13306-goldman-sachs-pleads-guilty-to-1-billion-bribery-scheme-charges,"l><li><a href=""https://www.occrp.org/en/daily/13306-goldman-sachs-pleads-guilty-to-1-billion-bribery-scheme-charges"" target=""_blank"">Goldman Sachs Pleads Guilty to $1 Billion Bribery Scheme Charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OCCRP</font></li><li><a href=""https://www.aninews.in/news/world/asia/goldman-sachs-unit-pleads-guilty-to-bribery-case-involving-1mdb-agrees-to-pay-usd-29-billion20201023225513"" target=""_blank"">Goldman Sachs unit pleads guilty to bribery case involving 1MDB, agrees to pay USD 2.9 billion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANI News</font></li><li><a href=""https://www.csmonitor.com/Business/2020/1023/Goldman-Sachs-unit-pleads-guilty-in-Malaysian-corruption-scandal"" target=""_blank"">Goldman Sachs unit pleads guilty in Malaysian corruption scandal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Christian Science Monitor</font></li><li><a href=""https://www.wbal.com/article/484697/113/goldman-sachs-subsidiary-pleads-guilty-to-role-in-26-billion-embezzlement-in-malaysia"" target=""_blank"">Goldman Sachs subsidiary pleads guilty to role in $2.6 billion embezzlement in Malaysia</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WBAL Radio</font></li><li><a href=""https://www.financial-world.org/news/news/business/6580/goldman-sachs-subsidiary-pleads-guilty-to-us-charges-in-1mdb-probe/"" target=""_blank"">Goldman Sachs subsidiary pleads guilty to US charges in 1MDB probe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial World</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWp3N2VlSWtZQU1FZWE5Z25Jd1hhTVVLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-24 07:45:00+00:00,OCCRP
JBS parent company pleads guilty in bribery cases - WATTAgNet Industry News & Trends,https://www.wattagnet.com/articles/41365-jbs-parent-company-pleads-guilty-in-bribery-cases," href=""https://www.wattagnet.com/articles/41365-jbs-parent-company-pleads-guilty-in-bribery-cases"" target=""_blank"">JBS parent company pleads guilty in bribery cases</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WATTAgNet Industry News & Trends</font",2020-10-15 07:00:00+00:00,WATTAgNet Industry News & Trends
Ex-Turner construction exec pleads guilty in bribery scheme - Crain's New York Business,https://www.crainsnewyork.com/commercial-real-estate/ex-turner-construction-exec-pleads-guilty-bribery-scheme," href=""https://www.crainsnewyork.com/commercial-real-estate/ex-turner-construction-exec-pleads-guilty-bribery-scheme"" target=""_blank"">Ex-Turner construction exec pleads guilty in bribery scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Crain's New York Business</font",2020-10-06 07:00:00+00:00,Crain's New York Business
Cop pleads not guilty to two bribery charges - The Star Online,https://www.thestar.com.my/news/nation/2020/10/27/cop-pleads-not-guilty-to-two-bribery-charges," href=""https://www.thestar.com.my/news/nation/2020/10/27/cop-pleads-not-guilty-to-two-bribery-charges"" target=""_blank"">Cop pleads not guilty to two bribery charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Star Online</font",2020-10-27 04:40:00+00:00,The Star Online
Former ComEd Vice President Pleads Guilty in Bribery Scheme - NBC Chicago,https://www.nbcchicago.com/news/local/former-comed-vice-president-pleads-guilty-in-bribery-scheme/2346466/," href=""https://www.nbcchicago.com/news/local/former-comed-vice-president-pleads-guilty-in-bribery-scheme/2346466/"" target=""_blank"">Former ComEd Vice President Pleads Guilty in Bribery Scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC Chicago</font",2020-09-29 07:00:00+00:00,NBC Chicago
Former RGC school district employee pleads not guilty to bribery - Monitor,https://www.themonitor.com/2020/09/30/former-rgc-school-district-employee-pleads-not-guilty-bribery/," href=""https://www.themonitor.com/2020/09/30/former-rgc-school-district-employee-pleads-not-guilty-bribery/"" target=""_blank"">Former RGC school district employee pleads not guilty to bribery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Monitor</font",2020-09-30 07:00:00+00:00,Monitor
Virginia man pleads guilty to bribery of FBI official - Local News 8 - LocalNews8.com,https://localnews8.com/news/crime-tracker/2020/10/08/virginia-man-pleads-guilty-to-bribery-of-fbi-official/," href=""https://localnews8.com/news/crime-tracker/2020/10/08/virginia-man-pleads-guilty-to-bribery-of-fbi-official/"" target=""_blank"">Virginia man pleads guilty to bribery of FBI official - Local News 8</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LocalNews8.com</font",2020-10-08 07:00:00+00:00,LocalNews8.com
Main witness in Santa Clara County concealed-gun bribery case pleads guilty - The Mercury News,https://www.mercurynews.com/main-witness-in-santa-clara-county-concealed-gun-bribery-case-pleads-guilty," href=""https://www.mercurynews.com/main-witness-in-santa-clara-county-concealed-gun-bribery-case-pleads-guilty"" target=""_blank"">Main witness in Santa Clara County concealed-gun bribery case pleads guilty</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Mercury News</font",2020-10-19 19:15:00+00:00,The Mercury News
Fidel Marquez Pleads Guilty To Bribery Charges - CBS Chicago,https://chicago.cbslocal.com/video/4749601-fidel-marquez-pleads-guilty-to-bribery-charges/," href=""https://chicago.cbslocal.com/video/4749601-fidel-marquez-pleads-guilty-to-bribery-charges/"" target=""_blank"">Fidel Marquez Pleads Guilty To Bribery Charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS Chicago</font",2020-09-29 07:00:00+00:00,CBS Chicago
