title,link,description,date,source
Pakistan’s Khan accuses rival Sharif of ‘playing India’s game’ - Al Jazeera English,https://www.aljazeera.com/news/2020/10/2/pakistans-khan-accuses-political-rival-sharif-of-backing-india," href=""https://www.aljazeera.com/news/2020/10/2/pakistans-khan-accuses-political-rival-sharif-of-backing-india"" target=""_blank"">Pakistan’s Khan accuses rival Sharif of ‘playing India’s game’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font",2020-10-02 07:00:00+00:00,Al Jazeera English
India working with Somalian authorities for return of 33 nationals stuck in Mogadishu: Jaishankar - Times of India,https://timesofindia.indiatimes.com/india/india-working-with-somalian-authorities-for-return-of-33-nationals-stuck-in-mogadishu-jaishankar/articleshow/78823935.cms,"l><li><a href=""https://timesofindia.indiatimes.com/india/india-working-with-somalian-authorities-for-return-of-33-nationals-stuck-in-mogadishu-jaishankar/articleshow/78823935.cms"" target=""_blank"">India working with Somalian authorities for return of 33 nationals stuck in Mogadishu: Jaishankar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font></li><li><a href=""https://www.outlookindia.com/website/story/world-news-paks-anti-corruption-body-approves-fresh-case-against-nawaz-sharif/362783"" target=""_blank"">Pak’s Anti-Corruption Body Approves Fresh Case Against Nawaz Sharif</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font></li><li><a href=""https://www.newindianexpress.com/world/2020/oct/23/pakistans-anti-corruption-body-approves-fresh-case-against-nawaz-sharif-2214111.html"" target=""_blank"">Pakistan's anti-corruption body approves fresh case against Nawaz Sharif</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font></li><li><a href=""https://www.thequint.com/voices/opinion/pakistan-army-pm-imran-khan-nawaz-sharif-pdm"" target=""_blank"">India Must Watch Out for Pakistan Army’s Response to Politics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Quint</font></li><li><a href=""https://www.telegraphindia.com/world/fresh-graft-case-against-sharif/cid/1795510"" target=""_blank"">Fresh graft case against Sharif</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph India</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpfNll1SWtZQU1FUTJhNkxQbVRtaElLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-23 07:15:00+00:00,Times of India
India to sign defensive agreement with US following Himalayan standoff with China - KCTV Kansas City,https://www.kctv5.com/india-to-sign-defensive-agreement-with-us-following-himalayan-standoff-with-china/article_3683d4b0-2cff-5cc3-88a2-d6ec3c845125.html," href=""https://www.kctv5.com/india-to-sign-defensive-agreement-with-us-following-himalayan-standoff-with-china/article_3683d4b0-2cff-5cc3-88a2-d6ec3c845125.html"" target=""_blank"">India to sign defensive agreement with US following Himalayan standoff with China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KCTV Kansas City</font",2020-10-27 04:37:39+00:00,KCTV Kansas City
CBI arrests its retired official in a corruption case - Times Now,https://www.timesnownews.com/india/article/cbi-arrests-its-retired-official-in-a-corruption-case/661812," href=""https://www.timesnownews.com/india/article/cbi-arrests-its-retired-official-in-a-corruption-case/661812"" target=""_blank"">CBI arrests its retired official in a corruption case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font",2020-10-03 07:00:00+00:00,Times Now
"Corruption in coal block allocation: CBI seeks life term for former Union minister, 5 others - The Indian Express",https://indianexpress.com/article/india/corruption-in-coal-block-allocation-cbi-seeks-life-term-for-former-union-minister-5-others-6727276/," href=""https://indianexpress.com/article/india/corruption-in-coal-block-allocation-cbi-seeks-life-term-for-former-union-minister-5-others-6727276/"" target=""_blank"">Corruption in coal block allocation: CBI seeks life term for former Union minister, 5 others</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-15 07:00:00+00:00,The Indian Express
NDA ex-minister Dilip Ray gets 3-years jail term for coal scam - Times of India,https://timesofindia.indiatimes.com/india/nda-ex-minister-dilip-ray-gets-3-years-jail-term-for-coal-scam/articleshow/78882239.cms," href=""https://timesofindia.indiatimes.com/india/nda-ex-minister-dilip-ray-gets-3-years-jail-term-for-coal-scam/articleshow/78882239.cms"" target=""_blank"">NDA ex-minister Dilip Ray gets 3-years jail term for coal scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 21:33:00+00:00,Times of India
"New Delhi Has a Long History of Harassing International NGOs Like Amnesty International. But Under Modi, Things May Reach a Tipping Point. - Foreign Policy",https://foreignpolicy.com/2020/10/02/the-death-of-human-rights-in-india/," href=""https://foreignpolicy.com/2020/10/02/the-death-of-human-rights-in-india/"" target=""_blank"">New Delhi Has a Long History of Harassing International NGOs Like Amnesty International. But Under Modi, Things May Reach a Tipping Point.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Foreign Policy</font",2020-10-02 07:00:00+00:00,Foreign Policy
"Coal scam: Three including former Union Minister Dilip Ray, sentenced to 3-year jail term - DNA India",https://www.dnaindia.com/india/report-coal-scam-3-including-former-union-minister-dilip-ray-sentenced-to-3-years-jail-term-2852313," href=""https://www.dnaindia.com/india/report-coal-scam-3-including-former-union-minister-dilip-ray-sentenced-to-3-years-jail-term-2852313"" target=""_blank"">Coal scam: Three including former Union Minister Dilip Ray, sentenced to 3-year jail term</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font",2020-10-26 07:09:29+00:00,DNA India
FinCEN official accused of leaking secret bank records requests time served - ICIJ.org,https://www.icij.org/investigations/fincen-files/fincen-official-accused-of-leaking-secret-bank-records-requests-time-served/," href=""https://www.icij.org/investigations/fincen-files/fincen-official-accused-of-leaking-secret-bank-records-requests-time-served/"" target=""_blank"">FinCEN official accused of leaking secret bank records requests time served</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ICIJ.org</font",2020-10-26 20:54:00+00:00,ICIJ.org
"Pakistan ex-president charged for corruption, ex-pm with sedition - Al Jazeera English",https://www.aljazeera.com/news/2020/10/6/pakistan-officially-charges-ex-president-zardari-for-graft," href=""https://www.aljazeera.com/news/2020/10/6/pakistan-officially-charges-ex-president-zardari-for-graft"" target=""_blank"">Pakistan ex-president charged for corruption, ex-pm with sedition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font",2020-10-06 07:00:00+00:00,Al Jazeera English
"US, Australia, India, Japan discuss China's growing power - The Associated Press",https://apnews.com/article/virus-outbreak-international-news-australia-india-yoshihide-suga-ce3598476a8c459105a293d653f7e677," href=""https://apnews.com/article/virus-outbreak-international-news-australia-india-yoshihide-suga-ce3598476a8c459105a293d653f7e677"" target=""_blank"">US, Australia, India, Japan discuss China's growing power</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Associated Press</font",2020-10-05 07:00:00+00:00,The Associated Press
Telangana: Tahsildar accused of corruption allegedly 'kills self' in jail - The New Indian Express,https://www.newindianexpress.com/states/telangana/2020/oct/14/telangana-tahsildar-accused-of-corruption-allegedly-kills-self-in-jail-2210085.html," href=""https://www.newindianexpress.com/states/telangana/2020/oct/14/telangana-tahsildar-accused-of-corruption-allegedly-kills-self-in-jail-2210085.html"" target=""_blank"">Telangana: Tahsildar accused of corruption allegedly 'kills self' in jail</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font",2020-10-14 07:00:00+00:00,The New Indian Express
Corruption Cases Filed By CBI Drop 40% After Corruption Act Amendment - NDTV,https://www.ndtv.com/india-news/corruption-cases-filed-by-cbi-drop-40-after-prevention-of-corruption-act-amendment-2315988," href=""https://www.ndtv.com/india-news/corruption-cases-filed-by-cbi-drop-40-after-prevention-of-corruption-act-amendment-2315988"" target=""_blank"">Corruption Cases Filed By CBI Drop 40% After Corruption Act Amendment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-10-26 12:32:37+00:00,NDTV
