title,link,description,date,source
CBI arrests its retired official in a corruption case - Times Now,https://www.timesnownews.com/india/article/cbi-arrests-its-retired-official-in-a-corruption-case/661812," href=""https://www.timesnownews.com/india/article/cbi-arrests-its-retired-official-in-a-corruption-case/661812"" target=""_blank"">CBI arrests its retired official in a corruption case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font",2020-10-03 07:00:00+00:00,Times Now
Senior Aadhaar Body UIDAI Official Arrested For Accepting Bribe - NDTV,https://www.ndtv.com/india-news/senior-aadhaar-body-uidai-official-pankaj-goyal-arrested-in-delhi-for-accepting-bribe-2313237," href=""https://www.ndtv.com/india-news/senior-aadhaar-body-uidai-official-pankaj-goyal-arrested-in-delhi-for-accepting-bribe-2313237"" target=""_blank"">Senior Aadhaar Body UIDAI Official Arrested For Accepting Bribe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-10-20 18:34:02+00:00,NDTV
Two MNIT employees arrested for taking bribe - Times of India,https://timesofindia.indiatimes.com/city/jaipur/two-mnit-employees-arrested-for-taking-bribe/articleshow/78851691.cms," href=""https://timesofindia.indiatimes.com/city/jaipur/two-mnit-employees-arrested-for-taking-bribe/articleshow/78851691.cms"" target=""_blank"">Two MNIT employees arrested for taking bribe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-24 23:05:00+00:00,Times of India
Woman close to Vatican cardinal arrested in corruption probe - Times of India,https://timesofindia.indiatimes.com/world/europe/woman-close-to-vatican-cardinal-arrested-in-corruption-probe/articleshow/78662284.cms," href=""https://timesofindia.indiatimes.com/world/europe/woman-close-to-vatican-cardinal-arrested-in-corruption-probe/articleshow/78662284.cms"" target=""_blank"">Woman close to Vatican cardinal arrested in corruption probe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-14 07:00:00+00:00,Times of India
Pakistan’s Khan accuses rival Sharif of ‘playing India’s game’ - Al Jazeera English,https://www.aljazeera.com/news/2020/10/2/pakistans-khan-accuses-political-rival-sharif-of-backing-india," href=""https://www.aljazeera.com/news/2020/10/2/pakistans-khan-accuses-political-rival-sharif-of-backing-india"" target=""_blank"">Pakistan’s Khan accuses rival Sharif of ‘playing India’s game’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font",2020-10-02 07:00:00+00:00,Al Jazeera English
Nigerian Lady Arrested For Allegedly Killing Boyfriend In India - SaharaReporters.com,http://saharareporters.com/2020/10/26/nigerian-lady-arrested-allegedly-killing-boyfriend-india," href=""http://saharareporters.com/2020/10/26/nigerian-lady-arrested-allegedly-killing-boyfriend-india"" target=""_blank"">Nigerian Lady Arrested For Allegedly Killing Boyfriend In India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SaharaReporters.com</font",2020-10-26 19:00:21+00:00,SaharaReporters.com
"Gujarat: Tapi DEO, his office clerk arrested for ‘demanding bribe of Rs 10 lakh’ - The Indian Express",https://indianexpress.com/article/india/gujarat-tapi-deo-his-office-clerk-arrested-for-demanding-bribe-of-rs-10-lakh-6760825/," href=""https://indianexpress.com/article/india/gujarat-tapi-deo-his-office-clerk-arrested-for-demanding-bribe-of-rs-10-lakh-6760825/"" target=""_blank"">Gujarat: Tapi DEO, his office clerk arrested for ‘demanding bribe of Rs 10 lakh’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-18 07:00:00+00:00,The Indian Express
Tanzania: Five years under 'Bulldozer' Magufuli - Times of India,https://timesofindia.indiatimes.com/world/rest-of-world/tanzania-five-years-under-bulldozer-magufuli/articleshow/78865681.cms," href=""https://timesofindia.indiatimes.com/world/rest-of-world/tanzania-five-years-under-bulldozer-magufuli/articleshow/78865681.cms"" target=""_blank"">Tanzania: Five years under 'Bulldozer' Magufuli</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 03:43:00+00:00,Times of India
"NGO director arrested, Srinagar MC officials booked on ‘fraud’ charges - Hindustan Times",https://www.hindustantimes.com/cities/ngo-director-arrested-srinagar-mc-officials-booked-on-fraud-charges/story-1RY9A2i7PWyjhaLGT4XGxK.html," href=""https://www.hindustantimes.com/cities/ngo-director-arrested-srinagar-mc-officials-booked-on-fraud-charges/story-1RY9A2i7PWyjhaLGT4XGxK.html"" target=""_blank"">NGO director arrested, Srinagar MC officials booked on ‘fraud’ charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-22 16:45:46+00:00,Hindustan Times
"ACB Arrests Two BMC Officials For Taking Bribe Of Rs 20,000 - News18",https://www.news18.com/news/india/acb-arrests-two-bmc-officials-for-taking-bribe-of-rs-20000-2937723.html," href=""https://www.news18.com/news/india/acb-arrests-two-bmc-officials-for-taking-bribe-of-rs-20000-2937723.html"" target=""_blank"">ACB Arrests Two BMC Officials For Taking Bribe Of Rs 20,000</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font",2020-10-06 07:00:00+00:00,News18
8 more arrested in ACP’s DA case - Times of India,https://timesofindia.indiatimes.com/city/hyderabad/8-more-arrested-in-acps-da-case/articleshow/78453511.cms," href=""https://timesofindia.indiatimes.com/city/hyderabad/8-more-arrested-in-acps-da-case/articleshow/78453511.cms"" target=""_blank"">8 more arrested in ACP’s DA case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-03 07:00:00+00:00,Times of India
CBI recovers Rs 50 lakh in anti-corruption raids on premises owned by Congress’ DK Shivakumar - Firstpost,https://www.firstpost.com/india/cbi-recovers-rs-50-lakh-in-anti-corruption-raids-on-premises-owned-by-congress-dk-shivakumar-8880521.html," href=""https://www.firstpost.com/india/cbi-recovers-rs-50-lakh-in-anti-corruption-raids-on-premises-owned-by-congress-dk-shivakumar-8880521.html"" target=""_blank"">CBI recovers Rs 50 lakh in anti-corruption raids on premises owned by Congress’ DK Shivakumar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font",2020-10-05 07:00:00+00:00,Firstpost
Ahmed Adeeb gets 20 years for corruption - The Hindu,https://www.thehindu.com/news/international/ahmed-adeeb-gets-20-years-for-corruption/article32785347.ece," href=""https://www.thehindu.com/news/international/ahmed-adeeb-gets-20-years-for-corruption/article32785347.ece"" target=""_blank"">Ahmed Adeeb gets 20 years for corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-06 07:00:00+00:00,The Hindu
Maldives ex-VP Ahmed Adeeb sentenced to 20 years for corruption - Al Jazeera English,https://www.aljazeera.com/news/2020/10/5/maldives-ex-vp-ahmed-adeeb-sentenced-to-20-years-for-corruption," href=""https://www.aljazeera.com/news/2020/10/5/maldives-ex-vp-ahmed-adeeb-sentenced-to-20-years-for-corruption"" target=""_blank"">Maldives ex-VP Ahmed Adeeb sentenced to 20 years for corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font",2020-10-05 07:00:00+00:00,Al Jazeera English
Two senior officers arrested for taking bribe - Times of India,https://timesofindia.indiatimes.com/city/kolhapur/2-sr-officers-arrested-for-taking-bribe/articleshow/78776583.cms," href=""https://timesofindia.indiatimes.com/city/kolhapur/2-sr-officers-arrested-for-taking-bribe/articleshow/78776583.cms"" target=""_blank"">Two senior officers arrested for taking bribe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-20 22:41:00+00:00,Times of India
"CBI raids Congress’ DK Shivakumar, DK Suresh in alleged corruption case; party calls it political v... - Hindustan Times",https://www.hindustantimes.com/india-news/cbi-conducts-raids-at-14-locations-related-to-karnataka-congress-leader-dk-shivakumar-brother-dk-suresh/story-F98179bUbamF2KJ4zGrJMM.html," href=""https://www.hindustantimes.com/india-news/cbi-conducts-raids-at-14-locations-related-to-karnataka-congress-leader-dk-shivakumar-brother-dk-suresh/story-F98179bUbamF2KJ4zGrJMM.html"" target=""_blank"">CBI raids Congress’ DK Shivakumar, DK Suresh in alleged corruption case; party calls it political v...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-05 07:00:00+00:00,Hindustan Times
Prime suspect in fraud case nabbed - The Tribune India,https://www.tribuneindia.com/news/amritsar/prime-suspect-in-fraud-case-nabbed-161719," href=""https://www.tribuneindia.com/news/amritsar/prime-suspect-in-fraud-case-nabbed-161719"" target=""_blank"">Prime suspect in fraud case nabbed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-10-27 01:29:00+00:00,The Tribune India
Forest officials arrested in Assam while taking bribe - Outlook India,https://www.outlookindia.com/newsscroll/forest-officials-arrested-in-assam-while-taking-bribe/1949316," href=""https://www.outlookindia.com/newsscroll/forest-officials-arrested-in-assam-while-taking-bribe/1949316"" target=""_blank"">Forest officials arrested in Assam while taking bribe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-05 07:00:00+00:00,Outlook India
