title,link,description,date,source
Woman close to Vatican cardinal arrested in corruption probe - Crux Now,https://cruxnow.com/vatican/2020/10/woman-close-to-vatican-cardinal-arrested-in-corruption-probe/,"l><li><a href=""https://cruxnow.com/vatican/2020/10/woman-close-to-vatican-cardinal-arrested-in-corruption-probe/"" target=""_blank"">Woman close to Vatican cardinal arrested in corruption probe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Crux Now</font></li><li><a href=""https://www.telegraph.co.uk/news/2020/10/14/intelligence-expert-close-vatican-cardinal-arrested-corruption/"" target=""_blank"">'Intelligence expert' close to Vatican cardinal arrested in corruption investigation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph.co.uk</font></li><li><a href=""https://kyrnews.com/girl-near-vatican-cardinal-arrested-in-corruption-probe/"" target=""_blank"">Girl near Vatican cardinal arrested in corruption probe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KYR News</font></li><li><a href=""https://www.stuff.co.nz/world/europe/300133211/italian-woman-close-to-vatican-cardinal-arrested-in-corruption-scandal"" target=""_blank"">Italian woman close to Vatican cardinal arrested in corruption scandal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Stuff.co.nz</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpJNzQzLWtJQU1FUUU3R2p5TGJGY1dLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-14 07:00:00+00:00,Crux Now
Pakistan opposition leader arrested in corruption case - Al Jazeera English,https://www.aljazeera.com/news/2020/9/28/pakistan-opposition-leader-arrested-in-corruption-case,"l><li><a href=""https://www.aljazeera.com/news/2020/9/28/pakistan-opposition-leader-arrested-in-corruption-case"" target=""_blank"">Pakistan opposition leader arrested in corruption case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font></li><li><a href=""https://www.reuters.com/article/us-pakistan-politics-idUSKBN26J2GZ"" target=""_blank"">Key Pakistan opposition figure's arrest political, party says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font></li><li><a href=""https://www.occrp.org/en/daily/13189-pakistan-arrests-opposition-leader-over-money-laundering"" target=""_blank"">Pakistan Arrests Opposition Leader over Money Laundering</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OCCRP</font></li><li><a href=""https://www.msn.com/en-us/news/world/pakistan-opposition-leader-arrested-after-protest-vow/ar-BB19uKd2"" target=""_blank"">Pakistan opposition leader arrested after protest vow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">msnNOW</font></li><li><a href=""https://www.dawn.com/news/1582103"" target=""_blank"">Shehbaz Sharif arrested in money laundering case after LHC rejects bail</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DAWN.com</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlTcnU3dGtJQU1FUklQM0NWNnNFSndLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-09-28 07:00:00+00:00,Al Jazeera English
Top S.African police officer arrested over 'corruption' - Anadolu Agency,https://www.aa.com.tr/en/africa/top-safrican-police-officer-arrested-over-corruption-/2003942," href=""https://www.aa.com.tr/en/africa/top-safrican-police-officer-arrested-over-corruption-/2003942"" target=""_blank"">Top S.African police officer arrested over 'corruption'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Anadolu Agency</font",2020-10-12 07:00:00+00:00,Anadolu Agency
GECOL board member arrested on corruption charges | - Libya Herald,https://www.libyaherald.com/2020/09/28/gecol-board-member-arrested-on-corruption-charges/," href=""https://www.libyaherald.com/2020/09/28/gecol-board-member-arrested-on-corruption-charges/"" target=""_blank"">GECOL board member arrested on corruption charges |</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Libya Herald</font",2020-09-28 07:00:00+00:00,Libya Herald
Saudi Arabia arrests 45 in latest 'anti-corruption' drive - Middle East Eye,https://www.middleeasteye.net/news/saudi-purge-arrest-45-anti-corruption," href=""https://www.middleeasteye.net/news/saudi-purge-arrest-45-anti-corruption"" target=""_blank"">Saudi Arabia arrests 45 in latest 'anti-corruption' drive</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Middle East Eye</font",2020-10-16 07:00:00+00:00,Middle East Eye
Hawks swoop down with more arrests in R1.4-billion corruption blitz - Mail and Guardian,https://mg.co.za/news/2020-10-22-hawks-swoop-down-with-more-arrests-in-r1-4-billion-corruption-blitz/," href=""https://mg.co.za/news/2020-10-22-hawks-swoop-down-with-more-arrests-in-r1-4-billion-corruption-blitz/"" target=""_blank"">Hawks swoop down with more arrests in R1.4-billion corruption blitz</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mail and Guardian</font",2020-10-22 12:21:00+00:00,Mail and Guardian
Corruption crackdown: What you need to know about the 17 arrests this week - News24,https://www.news24.com/news24/southafrica/investigations/corruption-crackdown-what-you-need-to-know-about-the-17-arrests-this-week-20201003," href=""https://www.news24.com/news24/southafrica/investigations/corruption-crackdown-what-you-need-to-know-about-the-17-arrests-this-week-20201003"" target=""_blank"">Corruption crackdown: What you need to know about the 17 arrests this week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font",2020-10-03 07:00:00+00:00,News24
EC Traffic Officers among five arrested for corruption - Algoa FM,https://www.algoafm.co.za/local/ec-traffic-officers-among-five-arrested-for-corruption," href=""https://www.algoafm.co.za/local/ec-traffic-officers-among-five-arrested-for-corruption"" target=""_blank"">EC Traffic Officers among five arrested for corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Algoa FM</font",2020-10-26 12:08:20+00:00,Algoa FM
Ferraris and frustration: Two faces of South Africa's corruption battle - BBC News,https://www.bbc.com/news/world-africa-54480257," href=""https://www.bbc.com/news/world-africa-54480257"" target=""_blank"">Ferraris and frustration: Two faces of South Africa's corruption battle</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC News</font",2020-10-09 07:00:00+00:00,BBC News
Arrest and arrest warrants for eight state employees on charges of corruption: Attorney General's Office | - Libya Herald,https://www.libyaherald.com/2020/10/02/arrest-and-arrest-warrants-for-eight-state-employees-on-charges-of-corruption-attorney-generals-office/," href=""https://www.libyaherald.com/2020/10/02/arrest-and-arrest-warrants-for-eight-state-employees-on-charges-of-corruption-attorney-generals-office/"" target=""_blank"">Arrest and arrest warrants for eight state employees on charges of corruption: Attorney General's Office |</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Libya Herald</font",2020-10-02 07:00:00+00:00,Libya Herald
Former Mexican Defense Minister Arrested in U.S. at DEA Request - The Wall Street Journal,https://www.wsj.com/articles/former-mexican-defense-minister-arrested-in-u-s-at-dea-request-11602816474," href=""https://www.wsj.com/articles/former-mexican-defense-minister-arrested-in-u-s-at-dea-request-11602816474"" target=""_blank"">Former Mexican Defense Minister Arrested in U.S. at DEA Request</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wall Street Journal</font",2020-10-16 07:00:00+00:00,The Wall Street Journal
