title,link,description,date,source
"Former VC of Tamil Nadu Dr MGR Medical University found guilty of corruption, gets 2 years imprisonment - Medical Dialogues",https://medicaldialogues.in/state-news/tamil-nadu/former-vc-of-tamil-nadu-dr-mgr-medical-university-found-guilty-of-corruption-gets-2-years-imprisonment-70846," href=""https://medicaldialogues.in/state-news/tamil-nadu/former-vc-of-tamil-nadu-dr-mgr-medical-university-found-guilty-of-corruption-gets-2-years-imprisonment-70846"" target=""_blank"">Former VC of Tamil Nadu Dr MGR Medical University found guilty of corruption, gets 2 years imprisonment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Medical Dialogues</font",2020-10-26 08:15:00+00:00,Medical Dialogues
"‘Corrupt’ Nitish Kumar involved in ‘Saat Nischay’ scam, will be sent to jail if found guilty: Chirag Paswan - IndiaPost.com",https://www.indiapost.com/corrupt-nitish-kumar-involved-in-saat-nischay-scam-will-be-sent-to-jail-if-found-guilty-chirag-paswan/," href=""https://www.indiapost.com/corrupt-nitish-kumar-involved-in-saat-nischay-scam-will-be-sent-to-jail-if-found-guilty-chirag-paswan/"" target=""_blank"">‘Corrupt’ Nitish Kumar involved in ‘Saat Nischay’ scam, will be sent to jail if found guilty: Chirag Paswan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IndiaPost.com</font",2020-10-26 06:06:00+00:00,IndiaPost.com
"Hunter and Joe Biden, Burisma, and Trump’s stunningly hypocritical attacks - Vox.com",https://www.vox.com/2020/10/21/21525326/trump-family-hunter-biden-corruption-explained," href=""https://www.vox.com/2020/10/21/21525326/trump-family-hunter-biden-corruption-explained"" target=""_blank"">Hunter and Joe Biden, Burisma, and Trump’s stunningly hypocritical attacks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Vox.com</font",2020-10-21 18:50:00+00:00,Vox.com
"Corruption in coal block allocation: CBI seeks life term for former Union minister, 5 others - The Indian Express",https://indianexpress.com/article/india/corruption-in-coal-block-allocation-cbi-seeks-life-term-for-former-union-minister-5-others-6727276/," href=""https://indianexpress.com/article/india/corruption-in-coal-block-allocation-cbi-seeks-life-term-for-former-union-minister-5-others-6727276/"" target=""_blank"">Corruption in coal block allocation: CBI seeks life term for former Union minister, 5 others</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-15 07:00:00+00:00,The Indian Express
Leonardo CEO found guilty of fraud in previous job - DefenseNews.com,https://www.defensenews.com/industry/2020/10/15/leonardo-ceo-found-guilty-of-fraud-in-previous-job/," href=""https://www.defensenews.com/industry/2020/10/15/leonardo-ceo-found-guilty-of-fraud-in-previous-job/"" target=""_blank"">Leonardo CEO found guilty of fraud in previous job</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DefenseNews.com</font",2020-10-15 07:00:00+00:00,DefenseNews.com
Trump-Linked Corruption Is as Global as the Ultra-Rich He Parties With - Foreign Policy,https://foreignpolicy.com/2020/10/12/trumpworld-corruption-elliott-broidy-ultra-rich/," href=""https://foreignpolicy.com/2020/10/12/trumpworld-corruption-elliott-broidy-ultra-rich/"" target=""_blank"">Trump-Linked Corruption Is as Global as the Ultra-Rich He Parties With</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Foreign Policy</font",2020-10-12 07:00:00+00:00,Foreign Policy
NDA ex-minister Dilip Ray gets 3-years jail term for coal scam - Times of India,https://timesofindia.indiatimes.com/india/nda-ex-minister-dilip-ray-gets-3-years-jail-term-for-coal-scam/articleshow/78882239.cms," href=""https://timesofindia.indiatimes.com/india/nda-ex-minister-dilip-ray-gets-3-years-jail-term-for-coal-scam/articleshow/78882239.cms"" target=""_blank"">NDA ex-minister Dilip Ray gets 3-years jail term for coal scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 21:33:00+00:00,Times of India
UP: SIT finds suspended IPS guilty of corruption - Times of India,https://timesofindia.indiatimes.com/city/lucknow/sit-finds-suspended-ips-guilty-of-corruption/articleshow/78438170.cms," href=""https://timesofindia.indiatimes.com/city/lucknow/sit-finds-suspended-ips-guilty-of-corruption/articleshow/78438170.cms"" target=""_blank"">UP: SIT finds suspended IPS guilty of corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-02 07:00:00+00:00,Times of India
Jail only place for those involved in corruption in recruitment: Adityanath - The Indian Express,https://indianexpress.com/article/cities/lucknow/jail-only-place-for-those-involved-in-corruption-in-recruitment-adityanath-6859249/," href=""https://indianexpress.com/article/cities/lucknow/jail-only-place-for-those-involved-in-corruption-in-recruitment-adityanath-6859249/"" target=""_blank"">Jail only place for those involved in corruption in recruitment: Adityanath</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-24 00:04:53+00:00,The Indian Express
Maldives ex-VP Ahmed Adeeb sentenced to 20 years for corruption - Al Jazeera English,https://www.aljazeera.com/news/2020/10/5/maldives-ex-vp-ahmed-adeeb-sentenced-to-20-years-for-corruption," href=""https://www.aljazeera.com/news/2020/10/5/maldives-ex-vp-ahmed-adeeb-sentenced-to-20-years-for-corruption"" target=""_blank"">Maldives ex-VP Ahmed Adeeb sentenced to 20 years for corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font",2020-10-05 07:00:00+00:00,Al Jazeera English
Goldman Sachs agrees to largest penalty ever in 1MDB scandal - Times of India,https://timesofindia.indiatimes.com/business/international-business/goldman-sachs-agrees-to-largest-penalty-ever-in-1mdb-scandal/articleshow/78819108.cms," href=""https://timesofindia.indiatimes.com/business/international-business/goldman-sachs-agrees-to-largest-penalty-ever-in-1mdb-scandal/articleshow/78819108.cms"" target=""_blank"">Goldman Sachs agrees to largest penalty ever in 1MDB scandal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-22 22:37:00+00:00,Times of India
"LIVE News Updates: Sensex plunges 540 points to end at 40,145.50; Nifty tanks 162.60 points to 11,767.75 - National Herald",https://www.nationalheraldindia.com/india/latest-news-todays-breaking-news-coronavirus-covid-19-live-updates-26th-october-2020," href=""https://www.nationalheraldindia.com/india/latest-news-todays-breaking-news-coronavirus-covid-19-live-updates-26th-october-2020"" target=""_blank"">LIVE News Updates: Sensex plunges 540 points to end at 40,145.50; Nifty tanks 162.60 points to 11,767.75</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-26 03:52:26+00:00,National Herald
DC Edit | India's judiciary must be above suspicion - Deccan Chronicle,https://www.deccanchronicle.com/opinion/dc-comment/121020/dc-edit-indias-judiciary-must-be-above-suspicion.html," href=""https://www.deccanchronicle.com/opinion/dc-comment/121020/dc-edit-indias-judiciary-must-be-above-suspicion.html"" target=""_blank"">DC Edit | India's judiciary must be above suspicion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Chronicle</font",2020-10-12 07:00:00+00:00,Deccan Chronicle
Delhi Court sentences ex-Union Minister Dilip Ray to 3-years jail in coal scam - Business Insider India,https://www.businessinsider.in/india/news/delhi-court-sentences-ex-union-minister-dilip-ray-to-3-years-jail-in-coal-scam/articleshow/78867465.cms," href=""https://www.businessinsider.in/india/news/delhi-court-sentences-ex-union-minister-dilip-ray-to-3-years-jail-in-coal-scam/articleshow/78867465.cms"" target=""_blank"">Delhi Court sentences ex-Union Minister Dilip Ray to 3-years jail in coal scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Insider India</font",2020-10-26 05:59:00+00:00,Business Insider India
‘Will send him to jail’: Chirag Paswan promises to probe corruption by Nitish Kumar - Financial Express,https://www.financialexpress.com/india-news/will-send-him-to-jail-chirag-paswan-promises-to-probe-corruption-by-nitish-kumar/2113881/lite/," href=""https://www.financialexpress.com/india-news/will-send-him-to-jail-chirag-paswan-promises-to-probe-corruption-by-nitish-kumar/2113881/lite/"" target=""_blank"">‘Will send him to jail’: Chirag Paswan promises to probe corruption by Nitish Kumar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial Express</font",2020-10-26 07:18:11+00:00,Financial Express
Conviction of former coal minister in NDA govt Dilip Ray in 1999 Jharkhand Coal Scam: Excerpts from judgment - National Herald,https://www.nationalheraldindia.com/india/conviction-of-former-coal-minister-dilip-ray-in-1999-jharkhand-coal-scam-excerpts-from-judgment," href=""https://www.nationalheraldindia.com/india/conviction-of-former-coal-minister-dilip-ray-in-1999-jharkhand-coal-scam-excerpts-from-judgment"" target=""_blank"">Conviction of former coal minister in NDA govt Dilip Ray in 1999 Jharkhand Coal Scam: Excerpts from judgment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-06 07:00:00+00:00,National Herald
Maharashtra Deputy Chief Minister Ajit Pawar tests positive for COVID-19 - Business Insider India,https://www.businessinsider.in/india/news/maharashtra-deputy-chief-minister-ajit-pawar-tests-positive-for-covid-19/articleshow/78868464.cms," href=""https://www.businessinsider.in/india/news/maharashtra-deputy-chief-minister-ajit-pawar-tests-positive-for-covid-19/articleshow/78868464.cms"" target=""_blank"">Maharashtra Deputy Chief Minister Ajit Pawar tests positive for COVID-19</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Insider India</font",2020-10-26 07:04:00+00:00,Business Insider India
Tanzania: Five years under 'Bulldozer' Magufuli - Times of India,https://timesofindia.indiatimes.com/world/rest-of-world/tanzania-five-years-under-bulldozer-magufuli/articleshow/78865681.cms," href=""https://timesofindia.indiatimes.com/world/rest-of-world/tanzania-five-years-under-bulldozer-magufuli/articleshow/78865681.cms"" target=""_blank"">Tanzania: Five years under 'Bulldozer' Magufuli</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 03:43:00+00:00,Times of India
"The United States Cares About the Quad Because it Unites Australia, India, and Japan Against China - Foreign Policy",https://foreignpolicy.com/2020/10/08/why-quad-alliance-trump-cares-about-india-australia-japan-china/," href=""https://foreignpolicy.com/2020/10/08/why-quad-alliance-trump-cares-about-india-australia-japan-china/"" target=""_blank"">The United States Cares About the Quad Because it Unites Australia, India, and Japan Against China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Foreign Policy</font",2020-10-08 07:00:00+00:00,Foreign Policy
"Pakistan ex-president charged for corruption, ex-pm with sedition - Al Jazeera English",https://www.aljazeera.com/news/2020/10/6/pakistan-officially-charges-ex-president-zardari-for-graft," href=""https://www.aljazeera.com/news/2020/10/6/pakistan-officially-charges-ex-president-zardari-for-graft"" target=""_blank"">Pakistan ex-president charged for corruption, ex-pm with sedition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font",2020-10-06 07:00:00+00:00,Al Jazeera English
Former Palm Bay Deputy City Manager Dave Isnardi pleads guilty to single felony charge - Florida Today,https://www.floridatoday.com/story/news/2020/10/02/former-palm-bay-deputy-city-manager-isnardi-pleads-guilty-single-charge/3594169001/," href=""https://www.floridatoday.com/story/news/2020/10/02/former-palm-bay-deputy-city-manager-isnardi-pleads-guilty-single-charge/3594169001/"" target=""_blank"">Former Palm Bay Deputy City Manager Dave Isnardi pleads guilty to single felony charge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Florida Today</font",2020-10-02 07:00:00+00:00,Florida Today
Netflix Wins India Legal Battle Over Rogue Billionaires Series - BloombergQuint,https://www.bloombergquint.com/technology/netflix-wins-india-legal-battle-over-rogue-billionaires-series," href=""https://www.bloombergquint.com/technology/netflix-wins-india-legal-battle-over-rogue-billionaires-series"" target=""_blank"">Netflix Wins India Legal Battle Over Rogue Billionaires Series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BloombergQuint</font",2020-10-07 07:00:00+00:00,BloombergQuint
"By law, the heat is on NGOs - Deccan Herald",https://www.deccanherald.com/specials/sunday-spotlight/by-law-the-heat-is-on-ngos-896915.html," href=""https://www.deccanherald.com/specials/sunday-spotlight/by-law-the-heat-is-on-ngos-896915.html"" target=""_blank"">By law, the heat is on NGOs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font",2020-10-04 07:00:00+00:00,Deccan Herald
Trial by jury can restore public confidence in judiciary - India Legal,https://www.indialegallive.com/cover-story-articles/il-feature-news/trial-by-jury-can-restore-public-confidence-in-judiciary/," href=""https://www.indialegallive.com/cover-story-articles/il-feature-news/trial-by-jury-can-restore-public-confidence-in-judiciary/"" target=""_blank"">Trial by jury can restore public confidence in judiciary</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Legal</font",2020-10-22 08:44:07+00:00,India Legal
Gujarat HC advocates’ panel chief found guilty of criminal contempt - The Indian Express,https://indianexpress.com/article/india/gujarat-hc-advocates-panel-chief-found-guilty-of-criminal-contempt-6706004/," href=""https://indianexpress.com/article/india/gujarat-hc-advocates-panel-chief-found-guilty-of-criminal-contempt-6706004/"" target=""_blank"">Gujarat HC advocates’ panel chief found guilty of criminal contempt</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-07 07:00:00+00:00,The Indian Express
Leonardo boss Profumo found guilty of false accounting in previous role - Flightglobal,https://www.flightglobal.com/aerospace/leonardo-boss-profumo-found-guilty-of-false-accounting-in-previous-role/140632.article," href=""https://www.flightglobal.com/aerospace/leonardo-boss-profumo-found-guilty-of-false-accounting-in-previous-role/140632.article"" target=""_blank"">Leonardo boss Profumo found guilty of false accounting in previous role</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Flightglobal</font",2020-10-15 07:00:00+00:00,Flightglobal
CBI court finds ex-Union min Ray guilty in '99 coal scam case - Times of India,https://timesofindia.indiatimes.com/city/bhubaneswar/cbi-court-finds-ex-union-min-ray-guilty-in-99-coal-scam-case/articleshow/78531114.cms," href=""https://timesofindia.indiatimes.com/city/bhubaneswar/cbi-court-finds-ex-union-min-ray-guilty-in-99-coal-scam-case/articleshow/78531114.cms"" target=""_blank"">CBI court finds ex-Union min Ray guilty in '99 coal scam case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-07 07:00:00+00:00,Times of India
No democracy without a clean judiciary - The New Indian Express,https://www.newindianexpress.com/opinions/2020/oct/20/no-democracy-without-a-clean-judiciary-2212506.html," href=""https://www.newindianexpress.com/opinions/2020/oct/20/no-democracy-without-a-clean-judiciary-2212506.html"" target=""_blank"">No democracy without a clean judiciary</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font",2020-10-20 02:15:00+00:00,The New Indian Express
Ex-UAW president pleads guilty in embezzlement scheme - ETAuto.com,https://auto.economictimes.indiatimes.com/news/industry/ex-uaw-president-pleads-guilty-in-embezzlement-scheme/78419022," href=""https://auto.economictimes.indiatimes.com/news/industry/ex-uaw-president-pleads-guilty-in-embezzlement-scheme/78419022"" target=""_blank"">Ex-UAW president pleads guilty in embezzlement scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETAuto.com</font",2020-10-01 03:24:22+00:00,ETAuto.com
Castrate the rapist - The Statesman,https://www.thestatesman.com/opinion/castrate-the-rapist-1502930931.html," href=""https://www.thestatesman.com/opinion/castrate-the-rapist-1502930931.html"" target=""_blank"">Castrate the rapist</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Statesman</font",2020-10-22 10:07:21+00:00,The Statesman
Andhra CM’s allegations against a SC judge must not be swept under the carpet - The Indian Express,https://indianexpress.com/article/opinion/columns/jagan-mohan-reddy-andhra-pradesh-justice-n-v-ramana-corruption-supreme-court-6883221/," href=""https://indianexpress.com/article/opinion/columns/jagan-mohan-reddy-andhra-pradesh-justice-n-v-ramana-corruption-supreme-court-6883221/"" target=""_blank"">Andhra CM’s allegations against a SC judge must not be swept under the carpet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-26 02:47:10+00:00,The Indian Express
Refusing sanction to prosecute public servant should be a reasoned one: Bombay HC - The Indian Express,https://indianexpress.com/article/india/refusing-sanction-to-prosecute-public-servant-should-be-a-reasoned-one-bombay-hc-6883316/," href=""https://indianexpress.com/article/india/refusing-sanction-to-prosecute-public-servant-should-be-a-reasoned-one-bombay-hc-6883316/"" target=""_blank"">Refusing sanction to prosecute public servant should be a reasoned one: Bombay HC</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-05 07:00:00+00:00,The Indian Express
Netflix wins legal battle to screen 'Bad Boy Billionaires' series - The Australian Financial Review,https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu," href=""https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu"" target=""_blank"">Netflix wins legal battle to screen 'Bad Boy Billionaires' series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Australian Financial Review</font",2020-10-09 07:00:00+00:00,The Australian Financial Review
Why Trump is headed for defeat while fellow populists Modi & Erdogan thrive - ThePrint,https://theprint.in/opinion/why-trump-is-headed-for-defeat-while-fellow-populists-modi-erdogan-thrive/530745/," href=""https://theprint.in/opinion/why-trump-is-headed-for-defeat-while-fellow-populists-modi-erdogan-thrive/530745/"" target=""_blank"">Why Trump is headed for defeat while fellow populists Modi & Erdogan thrive</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font",2020-10-26 03:54:24+00:00,ThePrint
Ahmed Adeeb gets 20 years for corruption - The Hindu,https://www.thehindu.com/news/international/ahmed-adeeb-gets-20-years-for-corruption/article32785347.ece," href=""https://www.thehindu.com/news/international/ahmed-adeeb-gets-20-years-for-corruption/article32785347.ece"" target=""_blank"">Ahmed Adeeb gets 20 years for corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-06 07:00:00+00:00,The Hindu
The Pursuit of Dignity: A Tale of the Indian Supreme Court's Contempt - JURIST,https://www.jurist.org/commentary/2020/09/the-pursuit-of-dignity-a-tale-of-the-indian-supreme-courts-contempt/," href=""https://www.jurist.org/commentary/2020/09/the-pursuit-of-dignity-a-tale-of-the-indian-supreme-courts-contempt/"" target=""_blank"">The Pursuit of Dignity: A Tale of the Indian Supreme Court's Contempt</a>&nbsp;&nbsp;<font color=""#6f6f6f"">JURIST</font",2020-09-28 07:00:00+00:00,JURIST
Jharkhand HC grants bail to Lalu Prasad Yadav; to remain in jail in connection with Dumka Treasury case - National Herald,https://www.nationalheraldindia.com/india/jharkhand-hc-grants-bail-to-lalu-prasad-yadav-to-remain-in-jail-in-connection-with-dumka-treasury-case," href=""https://www.nationalheraldindia.com/india/jharkhand-hc-grants-bail-to-lalu-prasad-yadav-to-remain-in-jail-in-connection-with-dumka-treasury-case"" target=""_blank"">Jharkhand HC grants bail to Lalu Prasad Yadav; to remain in jail in connection with Dumka Treasury case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-23 17:04:00+00:00,National Herald
Gujarat: ACB court convicts revenue officer 13 years after he took Rs 500 bribe - The Indian Express,https://indianexpress.com/article/cities/ahmedabad/gujarat-acb-court-convicts-revenue-officer-13-years-after-he-took-rs-500-bribe-6718983/," href=""https://indianexpress.com/article/cities/ahmedabad/gujarat-acb-court-convicts-revenue-officer-13-years-after-he-took-rs-500-bribe-6718983/"" target=""_blank"">Gujarat: ACB court convicts revenue officer 13 years after he took Rs 500 bribe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-10 07:00:00+00:00,The Indian Express
Pakistan ex-president Asif Ali Zardari indicted in Park Lane and Thatta Water cases - The Tribune,https://m.tribuneindia.com/news/world/pakistan-ex-president-asif-ali-zardari-indicted-in-park-lane-and-thatta-water-cases-151355," href=""https://m.tribuneindia.com/news/world/pakistan-ex-president-asif-ali-zardari-indicted-in-park-lane-and-thatta-water-cases-151355"" target=""_blank"">Pakistan ex-president Asif Ali Zardari indicted in Park Lane and Thatta Water cases</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font",2020-10-05 07:00:00+00:00,The Tribune
Former FIFA official's ban for corruption cut to 15 years - India TV News,https://www.indiatvnews.com/sports/football/fifa-corruption-ban-court-of-arbitration-for-sport-655624," href=""https://www.indiatvnews.com/sports/football/fifa-corruption-ban-court-of-arbitration-for-sport-655624"" target=""_blank"">Former FIFA official's ban for corruption cut to 15 years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font",2020-10-09 07:00:00+00:00,India TV News
The Judiciary Faces A Crisis Of Character: Retired Justice Ranjit Singh - Outlook India,https://www.outlookindia.com/website/story/opinion-the-judiciary-faces-a-crisis-of-character/362270," href=""https://www.outlookindia.com/website/story/opinion-the-judiciary-faces-a-crisis-of-character/362270"" target=""_blank"">The Judiciary Faces A Crisis Of Character: Retired Justice Ranjit Singh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-16 07:00:00+00:00,Outlook India
