title,link,description,date,source
Federal Judge Rejects DOJ Attempt to Stand in for Trump in NYC Defamation Case - NBC New York,https://www.nbcnewyork.com/news/local/crime-and-courts/federal-judge-rejects-doj-attempt-to-stand-in-for-trump-in-nyc-defamation-case/2689589/,"l><li><a href=""https://www.nbcnewyork.com/news/local/crime-and-courts/federal-judge-rejects-doj-attempt-to-stand-in-for-trump-in-nyc-defamation-case/2689589/"" target=""_blank"">Federal Judge Rejects DOJ Attempt to Stand in for Trump in NYC Defamation Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC New York</font></li><li><a href=""https://www.aljazeera.com/news/2020/10/27/judge-rules-us-cannot-shield-trump-from-rape-defamation-lawsuit"" target=""_blank"">Judge rules US cannot shield Trump from rape defamation lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font></li><li><a href=""https://www.nytimes.com/2020/10/27/nyregion/jean-carroll-trump-rape-lawsuit.html"" target=""_blank"">Justice Dept. Blocked in Bid to Shield Trump From Rape Defamation Suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font></li><li><a href=""https://www.washingtonpost.com/national-security/jean-carroll-trump-justice-department/2020/10/27/f00541b0-1859-11eb-aeec-b93bcc29a01b_story.html"" target=""_blank"">Judge rejects Justice Dept. bid to short-circuit defamation case brought by woman who accused Trump of rape</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font></li><li><a href=""https://www.cnbc.com/2020/10/27/trump-must-remain-defendant-in-e-jean-carroll-rape-defamation-suit.html"" target=""_blank"">Trump must remain defendant in rape defamation claim case filed by E. Jean Carroll, judge rules in rejecting DOJ bid</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlyX3NHTmtZQU1FWGk3cDNWdmxqZk9LQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-27 17:44:00+00:00,NBC New York
They Accused a Pakistani Megastar of Sexual Harassment. Then They Were Sued for Defamation - TIME,https://time.com/5900710/pakistan-me-too-movement-lawsuits/," href=""https://time.com/5900710/pakistan-me-too-movement-lawsuits/"" target=""_blank"">They Accused a Pakistani Megastar of Sexual Harassment. Then They Were Sued for Defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TIME</font",2020-10-20 13:03:00+00:00,TIME
Column: Trump stands accused of defamation. An obscure law may let him skate - Los Angeles Times,https://www.latimes.com/opinion/story/2020-10-21/e-jean-carroll-rape-donald-trump-bill-barr-department-of-justice," href=""https://www.latimes.com/opinion/story/2020-10-21/e-jean-carroll-rape-donald-trump-bill-barr-department-of-justice"" target=""_blank"">Column: Trump stands accused of defamation. An obscure law may let him skate</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Los Angeles Times</font",2020-10-21 20:46:00+00:00,Los Angeles Times
Columnist who has accused Trump of sexual assault seeks to block DOJ intervention in defamation case - CNN,https://www.cnn.com/2020/10/06/politics/e-jean-carroll-donald-trump-justice-department/index.html," href=""https://www.cnn.com/2020/10/06/politics/e-jean-carroll-donald-trump-justice-department/index.html"" target=""_blank"">Columnist who has accused Trump of sexual assault seeks to block DOJ intervention in defamation case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font",2020-10-06 07:00:00+00:00,CNN
Read the Opinion in the E. Jean Carroll Defamation Lawsuit - The New York Times,https://www.nytimes.com/interactive/2020/10/27/nyregion/E-Jean-Carroll-Ruling.html," href=""https://www.nytimes.com/interactive/2020/10/27/nyregion/E-Jean-Carroll-Ruling.html"" target=""_blank"">Read the Opinion in the E. Jean Carroll Defamation Lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font",2020-10-27 14:50:00+00:00,The New York Times
Former sheriff candidate facing defamation lawsuit - The Daily Progress,https://dailyprogress.com/community/greenenews/news/former-sheriff-candidate-facing-defamation-lawsuit/article_60199002-0d86-11eb-9851-f38c02e766fd.html," href=""https://dailyprogress.com/community/greenenews/news/former-sheriff-candidate-facing-defamation-lawsuit/article_60199002-0d86-11eb-9851-f38c02e766fd.html"" target=""_blank"">Former sheriff candidate facing defamation lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Progress</font",2020-10-15 07:00:00+00:00,The Daily Progress
A Poker Pro Accused of Cheating Wants $330M in Damages - WIRED,https://www.wired.com/story/poker-pro-accused-of-cheating-wants-dollar330m-damages/," href=""https://www.wired.com/story/poker-pro-accused-of-cheating-wants-dollar330m-damages/"" target=""_blank"">A Poker Pro Accused of Cheating Wants $330M in Damages</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WIRED</font",2020-10-06 07:00:00+00:00,WIRED
"Former priest files defamation suit | News, Sports, Jobs - Youngstown Vindicator",https://www.vindy.com/news/local-news/2020/10/former-priest-files-defamation-suit/," href=""https://www.vindy.com/news/local-news/2020/10/former-priest-files-defamation-suit/"" target=""_blank"">Former priest files defamation suit | News, Sports, Jobs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Youngstown Vindicator</font",2020-10-28 04:31:20+00:00,Youngstown Vindicator
Court exempts Rahul Gandhi from presence at defamation trial - Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/court-exempts-rahul-from-presence-at-defamation-trial/articleshow/78900153.cms," href=""https://timesofindia.indiatimes.com/city/ahmedabad/court-exempts-rahul-from-presence-at-defamation-trial/articleshow/78900153.cms"" target=""_blank"">Court exempts Rahul Gandhi from presence at defamation trial</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-27 22:48:00+00:00,Times of India
Police name NC pastor accused of urinating on female plane passenger. ‘He peed on me!’ - Charlotte Observer,https://www.charlotteobserver.com/news/local/article246742416.html," href=""https://www.charlotteobserver.com/news/local/article246742416.html"" target=""_blank"">Police name NC pastor accused of urinating on female plane passenger. ‘He peed on me!’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Charlotte Observer</font",2020-10-27 14:54:00+00:00,Charlotte Observer
Woman accused of defamation for demanding return of Rp 70m acquitted - The Jakarta Post - Jakarta Post,https://www.thejakartapost.com/news/2020/10/07/woman-accused-of-defamation-for-demanding-return-of-rp-70m-acquitted.html," href=""https://www.thejakartapost.com/news/2020/10/07/woman-accused-of-defamation-for-demanding-return-of-rp-70m-acquitted.html"" target=""_blank"">Woman accused of defamation for demanding return of Rp 70m acquitted - The Jakarta Post</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jakarta Post</font",2020-10-07 07:00:00+00:00,Jakarta Post
