title,link,description,date,source
Vibhor Anand Arrest: The Legal Patchwork Used to Tackle Fake News - The Quint,https://www.thequint.com/news/law/vibhor-anand-arrest-conspiracy-theories-fake-news-legal-provisions-ipc-it-act-criminal-defamation-public-mischief," href=""https://www.thequint.com/news/law/vibhor-anand-arrest-conspiracy-theories-fake-news-legal-provisions-ipc-it-act-criminal-defamation-public-mischief"" target=""_blank"">Vibhor Anand Arrest: The Legal Patchwork Used to Tackle Fake News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Quint</font",2020-10-20 04:18:34+00:00,The Quint
Adv. Vibhor Anand arrested for dragging Arbaaz Khan's name in Sushant death case - India TV News,https://www.indiatvnews.com/entertainment/celebrities/arbaaz-khan-defamation-case-adv-vibhor-anand-arrested-for-dragging-actor-s-name-in-sushant-death-case-657340," href=""https://www.indiatvnews.com/entertainment/celebrities/arbaaz-khan-defamation-case-adv-vibhor-anand-arrested-for-dragging-actor-s-name-in-sushant-death-case-657340"" target=""_blank"">Adv. Vibhor Anand arrested for dragging Arbaaz Khan's name in Sushant death case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font",2020-10-16 07:00:00+00:00,India TV News
Republic & Arnab send Param Bir Singh defamation notice seeking ₹200 cr damages; Read here - Republic World,https://www.republicworld.com/india-news/general-news/republic-issues-param-bir-singh-legal-notice-seeking-unconditional-apology-and-compensation.html," href=""https://www.republicworld.com/india-news/general-news/republic-issues-param-bir-singh-legal-notice-seeking-unconditional-apology-and-compensation.html"" target=""_blank"">Republic & Arnab send Param Bir Singh defamation notice seeking ₹200 cr damages; Read here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font",2020-10-25 11:06:00+00:00,Republic World
Arbaaz Khan files for defamation after his name crops up in Sushant Rajput case - National Herald,https://www.nationalheraldindia.com/national/arbaaz-khan-files-for-defamation-after-his-name-crops-up-in-sushant-rajput-case," href=""https://www.nationalheraldindia.com/national/arbaaz-khan-files-for-defamation-after-his-name-crops-up-in-sushant-rajput-case"" target=""_blank"">Arbaaz Khan files for defamation after his name crops up in Sushant Rajput case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-09-29 07:00:00+00:00,National Herald
Arnab Goswami served defamation notice of 200 crore by Filmmaker Sandip Ssingh - National Herald,https://www.nationalheraldindia.com/india/arnab-goswami-served-defamation-notice-of-200-crore-by-filmmaker-sandip-ssingh," href=""https://www.nationalheraldindia.com/india/arnab-goswami-served-defamation-notice-of-200-crore-by-filmmaker-sandip-ssingh"" target=""_blank"">Arnab Goswami served defamation notice of 200 crore by Filmmaker Sandip Ssingh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-15 07:00:00+00:00,National Herald
"J&K to Kerala, Gujarat, Bengal — Journalists across India face police action, even for tweets - ThePrint",https://theprint.in/india/jk-to-kerala-gujarat-bengal-journalists-across-india-face-police-action-even-for-tweets/531192/," href=""https://theprint.in/india/jk-to-kerala-gujarat-bengal-journalists-across-india-face-police-action-even-for-tweets/531192/"" target=""_blank"">J&K to Kerala, Gujarat, Bengal — Journalists across India face police action, even for tweets</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font",2020-10-26 04:01:00+00:00,ThePrint
"Arbaaz Khan Files Defamation Case on Name Being Dragged Into Disha Salian, Sushant Singh Rajput Case - India.com",https://www.india.com/entertainment/arbaaz-khan-files-defamation-case-on-name-being-dragged-in-disha-salian-sushant-singh-rajput-case-4156565/," href=""https://www.india.com/entertainment/arbaaz-khan-files-defamation-case-on-name-being-dragged-in-disha-salian-sushant-singh-rajput-case-4156565/"" target=""_blank"">Arbaaz Khan Files Defamation Case on Name Being Dragged Into Disha Salian, Sushant Singh Rajput Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.com</font",2020-09-29 07:00:00+00:00,India.com
What is Thailand's 'section 112' royal defamation law? - Times of India,https://timesofindia.indiatimes.com/world/rest-of-world/what-is-thailands-section-112-royal-defamation-law/articleshow/78676387.cms," href=""https://timesofindia.indiatimes.com/world/rest-of-world/what-is-thailands-section-112-royal-defamation-law/articleshow/78676387.cms"" target=""_blank"">What is Thailand's 'section 112' royal defamation law?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-15 07:00:00+00:00,Times of India
Massive Ranchi rally demands release of Stan Swamy - The Hindu,https://www.thehindu.com/news/national/other-states/massive-ranchi-rally-demands-release-of-stan-swamy/article32881759.ece," href=""https://www.thehindu.com/news/national/other-states/massive-ranchi-rally-demands-release-of-stan-swamy/article32881759.ece"" target=""_blank"">Massive Ranchi rally demands release of Stan Swamy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-17 07:00:00+00:00,The Hindu
‘Param Bir Singh is scared about truth coming out’: Republic TV to file defamation case against Mumbai police commissioner over ‘fake TRP racket’ allegations - OpIndia,https://www.opindia.com/2020/10/republic-tv-to-file-defamation-case-against-mumbai-police-commissioner/," href=""https://www.opindia.com/2020/10/republic-tv-to-file-defamation-case-against-mumbai-police-commissioner/"" target=""_blank"">‘Param Bir Singh is scared about truth coming out’: Republic TV to file defamation case against Mumbai police commissioner over ‘fake TRP racket’ allegations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OpIndia</font",2020-10-08 07:00:00+00:00,OpIndia
