title,link,description,date,source
Singapore police arrest lawyer set to defend PM's defamation suit - Reuters,https://www.reuters.com/article/us-singapore-crime-politics-idUSKBN26N11Z,"l><li><a href=""https://www.reuters.com/article/us-singapore-crime-politics-idUSKBN26N11Z"" target=""_blank"">Singapore police arrest lawyer set to defend PM's defamation suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font></li><li><a href=""https://www.nst.com.my/world/world/2020/10/629094/singapore-opposition-politician-arrested-ahead-pms-libel-case"" target=""_blank"">Singapore opposition politician arrested ahead of PM's libel case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New Straits Times</font></li><li><a href=""https://www.thestandard.com.hk/breaking-news/section/6/156594/Singapore-police-arrest-lawyer-set-to-defend-Lee-Hsien-Loong's-defamation-suit"" target=""_blank"">Singapore police arrest lawyer set to defend Lee Hsien Loong's defamation suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hong Kong Standard</font></li><li><a href=""https://coconuts.co/singapore/news/lim-tean-peoples-voice-leader-arrested-as-he-meets-client-sued-by-pm/"" target=""_blank"">Peoples Voice leader arrested as he meets client sued by PM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Coconuts Singapore</font></li><li><a href=""https://www.channelnewsasia.com/news/singapore/lim-tean-police-arrest-criminal-breach-of-trust-investigations-13178292"" target=""_blank"">Lim Tean arrested for alleged criminal breach of trust, under investigation for alleged stalking: Police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNA</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWo1MmN6MGtJQU1FV0F1VnBpdnRTRzFLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-02 07:00:00+00:00,Reuters
American Could Face Prison in Thailand Over Negative Reviews of a Resort - The New York Times,https://www.nytimes.com/2020/09/28/world/asia/thailand-koh-chang-defamation.html,"l><li><a href=""https://www.nytimes.com/2020/09/28/world/asia/thailand-koh-chang-defamation.html"" target=""_blank"">American Could Face Prison in Thailand Over Negative Reviews of a Resort</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font></li><li><a href=""https://www.chicagotribune.com/nation-world/ct-nw-nyt-thailand-american-negative-review-arrest-20200928-fwivbitnpfcklcuylpgvbeerbq-story.html"" target=""_blank"">An American posted a negative review online about a Thailand resort. Now he’s facing prison time.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chicago Tribune</font></li><li><a href=""https://abcnews.go.com/International/wireStory/us-man-prison-review-thailand-hotel-73307808"" target=""_blank"">US man could get prison for review of Thailand hotel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News</font></li><li><a href=""https://www.bbc.com/news/world-asia-54335789"" target=""_blank"">US man faces jail in Thailand over hotel review</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC News</font></li><li><a href=""https://people.com/travel/american-faces-prison-in-thailand-for-posting-negative-tripadvisor-reviews-of-resort/"" target=""_blank"">American Could Face Prison Time in Thailand for Posting Negative Tripadvisor Reviews of Resort</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PEOPLE.com</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlqemNudWtJQU1FZTNiYmY3SU5UUC1LQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-09-29 07:00:00+00:00,The New York Times
Former sheriff candidate facing defamation lawsuit - The Daily Progress,https://dailyprogress.com/community/greenenews/news/former-sheriff-candidate-facing-defamation-lawsuit/article_60199002-0d86-11eb-9851-f38c02e766fd.html," href=""https://dailyprogress.com/community/greenenews/news/former-sheriff-candidate-facing-defamation-lawsuit/article_60199002-0d86-11eb-9851-f38c02e766fd.html"" target=""_blank"">Former sheriff candidate facing defamation lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Progress</font",2020-10-15 07:00:00+00:00,The Daily Progress
Vibhor Anand Arrest: The Legal Patchwork Used to Tackle Fake News - The Quint,https://www.thequint.com/news/law/vibhor-anand-arrest-conspiracy-theories-fake-news-legal-provisions-ipc-it-act-criminal-defamation-public-mischief," href=""https://www.thequint.com/news/law/vibhor-anand-arrest-conspiracy-theories-fake-news-legal-provisions-ipc-it-act-criminal-defamation-public-mischief"" target=""_blank"">Vibhor Anand Arrest: The Legal Patchwork Used to Tackle Fake News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Quint</font",2020-10-20 04:18:34+00:00,The Quint
US man avoids jail in Thailand over bad resort review - BBC News,https://www.bbc.com/news/world-asia-54473407," href=""https://www.bbc.com/news/world-asia-54473407"" target=""_blank"">US man avoids jail in Thailand over bad resort review</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC News</font",2020-10-09 07:00:00+00:00,BBC News
Meeting between Ko Chang hotel and US guest arrested for defamation set to happen next week to resolve case - ThaiExaminer.com,https://www.thaiexaminer.com/thai-news-foreigners/2020/10/02/meeting-ko-chang-hotel-wesley-barnes-american-arrested-for-defamation/," href=""https://www.thaiexaminer.com/thai-news-foreigners/2020/10/02/meeting-ko-chang-hotel-wesley-barnes-american-arrested-for-defamation/"" target=""_blank"">Meeting between Ko Chang hotel and US guest arrested for defamation set to happen next week to resolve case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThaiExaminer.com</font",2020-10-02 07:00:00+00:00,ThaiExaminer.com
What is Thailand's 'section 112' royal defamation law? - Yahoo News,https://news.yahoo.com/thailands-section-112-royal-defamation-065730048.html," href=""https://news.yahoo.com/thailands-section-112-royal-defamation-065730048.html"" target=""_blank"">What is Thailand's 'section 112' royal defamation law?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo News</font",2020-10-15 07:08:11+00:00,Yahoo News
Suspected operator of 'Digital Prison' website arrested for alleged defamation - Yonhap News,https://en.yna.co.kr/view/AEN20201008010200325," href=""https://en.yna.co.kr/view/AEN20201008010200325"" target=""_blank"">Suspected operator of 'Digital Prison' website arrested for alleged defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yonhap News</font",2020-10-08 07:00:00+00:00,Yonhap News
Cop's Libel Claim Over Amazon-Distributed Free Meek Documentary Can Go Forward - Reason,https://reason.com/2020/10/21/cops-libel-claim-over-amazon-distributed-free-meek-documentary-can-go-forward/," href=""https://reason.com/2020/10/21/cops-libel-claim-over-amazon-distributed-free-meek-documentary-can-go-forward/"" target=""_blank"">Cop's Libel Claim Over Amazon-Distributed Free Meek Documentary Can Go Forward</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reason</font",2020-10-21 19:43:00+00:00,Reason
Kerala’s new cyber ordinance evokes strong objection - Deccan Chronicle,https://www.deccanchronicle.com/nation/current-affairs/231020/keralas-new-cyber-ordinance-evokes-strong-objection.html," href=""https://www.deccanchronicle.com/nation/current-affairs/231020/keralas-new-cyber-ordinance-evokes-strong-objection.html"" target=""_blank"">Kerala’s new cyber ordinance evokes strong objection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Chronicle</font",2020-10-23 10:14:00+00:00,Deccan Chronicle
