title,link,description,date,source
"Mahesh & Mukesh Bhatt File Defamation Case Against Luviena, Seek Rs 1 Crore Compensation - OdishaBytes",https://odishabytes.com/mahesh-mukesh-bhatt-file-defamation-case-against-luviena-seek-rs-1-crore-compensation/,"l><li><a href=""https://odishabytes.com/mahesh-mukesh-bhatt-file-defamation-case-against-luviena-seek-rs-1-crore-compensation/"" target=""_blank"">Mahesh & Mukesh Bhatt File Defamation Case Against Luviena, Seek Rs 1 Crore Compensation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OdishaBytes</font></li><li><a href=""https://gulfnews.com/entertainment/bollywood/bollywood-mahesh-mukesh-bhatt-file-defamation-case-against-luviena-lodh-1.74834012"" target=""_blank"">Bollywood: Mahesh, Mukesh Bhatt file defamation case against Luviena Lodh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gulf News</font></li><li><a href=""https://www.hindustantimes.com/bollywood/mahesh-bhatt-files-defamation-case-against-luveina-lodh-priyanka-chopra-s-mom-was-worried-about-this-as-she-became-miss-world/story-yMe5sQfLLjoo3bSC4zBhCM.html"" target=""_blank"">Mahesh Bhatt files defamation case against Luveina Lodh, Priyanka Chopra’s mom was worried about this...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font></li><li><a href=""https://timesofindia.indiatimes.com/videos/entertainment/hindi/mahesh-bhatt-and-mukesh-bhatt-file-rs-1-crore-defamation-case-against-luviena-lodh-for-making-false-statements/videoshow/78889706.cms"" target=""_blank"">Mahesh Bhatt and Mukesh Bhatt file Rs 1 crore defamation case against Luviena Lodh for making false statements</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font></li><li><a href=""https://indianexpress.com/article/cities/mumbai/mahesh-mukesh-bhatt-move-defamation-suit-against-actor-seek-rs-1-crore-in-damages-6884366/"" target=""_blank"">Mahesh, Mukesh Bhatt move defamation suit against actor, seek Rs 1 crore in damages</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpDNGRtTGtZQU1FZUZNMTBxT2kxcVpLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-26 15:43:00+00:00,OdishaBytes
Top Bollywood producers file defamation lawsuit against TV channels - Reuters India,https://in.reuters.com/article/india-bollywood-case/top-bollywood-producers-file-defamation-lawsuit-against-tv-channels-idINL4N2H332Z,"l><li><a href=""https://in.reuters.com/article/india-bollywood-case/top-bollywood-producers-file-defamation-lawsuit-against-tv-channels-idINL4N2H332Z"" target=""_blank"">Top Bollywood producers file defamation lawsuit against TV channels</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters India</font></li><li><a href=""https://www.trtworld.com/asia/bollywood-bigwigs-file-defamation-lawsuit-against-news-channels-40534"" target=""_blank"">Bollywood bigwigs file defamation lawsuit against news channels</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TRT World</font></li><li><a href=""https://www.livemint.com/news/india/bollywood-associations-producers-file-legal-suit-against-media-houses-for-defamation-11602510715565.html"" target=""_blank"">Bollywood associations file legal suit against media houses for defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font></li><li><a href=""https://www.dnaindia.com/bollywood/report-file-a-case-on-me-also-kangana-ranaut-lashes-out-at-bollywood-civil-suit-against-defamatory-reporting-2849445"" target=""_blank"">'File a case on me also': Kangana Ranaut lashes out at Bollywood civil suit against 'defamatory' reporting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font></li><li><a href=""https://www.indiablooms.com/news-details/N/65759/top-bollywood-producers-file-law-suit-against-certain-media-houses-for-irresponsible-reporting.html"" target=""_blank"">Top Bollywood producers file law suit against certain media houses for 'irresponsible reporting'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indiablooms</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlBb3VmOGtJQU1FVHJJVHY4cGk4TmJLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-12 07:00:00+00:00,Reuters India
‘Param Bir Singh is scared about truth coming out’: Republic TV to file defamation case against Mumbai police commissioner over ‘fake TRP racket’ allegations - OpIndia,https://www.opindia.com/2020/10/republic-tv-to-file-defamation-case-against-mumbai-police-commissioner/," href=""https://www.opindia.com/2020/10/republic-tv-to-file-defamation-case-against-mumbai-police-commissioner/"" target=""_blank"">‘Param Bir Singh is scared about truth coming out’: Republic TV to file defamation case against Mumbai police commissioner over ‘fake TRP racket’ allegations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OpIndia</font",2020-10-08 07:00:00+00:00,OpIndia
‘Meritless and Frivolous’: Kyle Rittenhouse Does Not Have a Defamation Case Against Joe Biden - Law & Crime,https://lawandcrime.com/legal-analysis/meritless-and-frivolous-kyle-rittenhouse-does-not-have-a-defamation-case-against-joe-biden/," href=""https://lawandcrime.com/legal-analysis/meritless-and-frivolous-kyle-rittenhouse-does-not-have-a-defamation-case-against-joe-biden/"" target=""_blank"">‘Meritless and Frivolous’: Kyle Rittenhouse Does Not Have a Defamation Case Against Joe Biden</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Law & Crime</font",2020-10-01 07:00:00+00:00,Law & Crime
MLA Michael Lobo to file defamation case against ex Lokayukta - Oherald,https://www.heraldgoa.in/Videos/MLA-Michael-Lobo-to-file-defamation-case-against-ex-Lokayukta/166129," href=""https://www.heraldgoa.in/Videos/MLA-Michael-Lobo-to-file-defamation-case-against-ex-Lokayukta/166129"" target=""_blank"">MLA Michael Lobo to file defamation case against ex Lokayukta</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oherald</font",2020-10-07 07:00:00+00:00,Oherald
"Bhopal: 3 ministers, 1 MLA file defamation case against Digvijaya Singh - Free Press Journal",https://www.freepressjournal.in/bhopal/bhopal-3-ministers-1-mla-file-defamation-case-against-digvijaya-singh," href=""https://www.freepressjournal.in/bhopal/bhopal-3-ministers-1-mla-file-defamation-case-against-digvijaya-singh"" target=""_blank"">Bhopal: 3 ministers, 1 MLA file defamation case against Digvijaya Singh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font",2020-10-19 18:07:00+00:00,Free Press Journal
SSR death probe: Rhea Chakraborty’s team to file a defamation case against all those who tried to defame her - Tellychakkar,https://www.tellychakkar.com/movie/movie-news/ssr-death-probe-rhea-chakraborty-s-team-file-defamation-case-against-all-those-who," href=""https://www.tellychakkar.com/movie/movie-news/ssr-death-probe-rhea-chakraborty-s-team-file-defamation-case-against-all-those-who"" target=""_blank"">SSR death probe: Rhea Chakraborty’s team to file a defamation case against all those who tried to defame her</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tellychakkar</font",2020-10-12 07:00:00+00:00,Tellychakkar
"Defamation suit: Actor tenders apology to Richa Chadha, HC disposes of suit - The Indian Express",https://indianexpress.com/article/cities/mumbai/defamation-suit-actor-tenders-apology-to-richa-chadha-hc-disposes-of-suit-6724580/," href=""https://indianexpress.com/article/cities/mumbai/defamation-suit-actor-tenders-apology-to-richa-chadha-hc-disposes-of-suit-6724580/"" target=""_blank"">Defamation suit: Actor tenders apology to Richa Chadha, HC disposes of suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-15 07:00:00+00:00,The Indian Express
Gujarat: Jewellery firm to sue PVS Sarma - Times of India,https://timesofindia.indiatimes.com/city/surat/jewellery-firm-to-file-defamation-suit-against-bjp-leader/articleshow/78814996.cms," href=""https://timesofindia.indiatimes.com/city/surat/jewellery-firm-to-file-defamation-suit-against-bjp-leader/articleshow/78814996.cms"" target=""_blank"">Gujarat: Jewellery firm to sue PVS Sarma</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-22 23:24:00+00:00,Times of India
The Justice Department Canceled A Hearing In E. Jean Carroll’s Case Against Trump Rather Than Argue By Phone - BuzzFeed News,https://www.buzzfeednews.com/article/zoetillman/e-jean-carroll-lawsuit-donald-trump-justice-department," href=""https://www.buzzfeednews.com/article/zoetillman/e-jean-carroll-lawsuit-donald-trump-justice-department"" target=""_blank"">The Justice Department Canceled A Hearing In E. Jean Carroll’s Case Against Trump Rather Than Argue By Phone</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BuzzFeed News</font",2020-10-21 21:40:00+00:00,BuzzFeed News
Johnny Depp libel case verdict due next week - The Jakarta Post - Jakarta Post,https://www.thejakartapost.com/life/2020/10/28/johnny-depp-libel-case-verdict-due-next-week.html," href=""https://www.thejakartapost.com/life/2020/10/28/johnny-depp-libel-case-verdict-due-next-week.html"" target=""_blank"">Johnny Depp libel case verdict due next week - The Jakarta Post</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jakarta Post</font",2020-10-28 06:36:00+00:00,Jakarta Post
