title,link,description,date,source
For the victims of gossip and rumours: A mirror to the defamation laws in India - DNA India,https://www.dnaindia.com/analysis/column-for-the-victims-of-gossip-and-rumours-a-mirror-to-the-defamation-laws-in-india-2847645," href=""https://www.dnaindia.com/analysis/column-for-the-victims-of-gossip-and-rumours-a-mirror-to-the-defamation-laws-in-india-2847645"" target=""_blank"">For the victims of gossip and rumours: A mirror to the defamation laws in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font",2020-10-05 07:00:00+00:00,DNA India
Bollywood bigwigs file defamation lawsuit against news channels - TRT World,https://www.trtworld.com/asia/bollywood-bigwigs-file-defamation-lawsuit-against-news-channels-40534," href=""https://www.trtworld.com/asia/bollywood-bigwigs-file-defamation-lawsuit-against-news-channels-40534"" target=""_blank"">Bollywood bigwigs file defamation lawsuit against news channels</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TRT World</font",2020-10-13 07:00:00+00:00,TRT World
What is Thailand's 'section 112' royal defamation law? - Times of India,https://timesofindia.indiatimes.com/world/rest-of-world/what-is-thailands-section-112-royal-defamation-law/articleshow/78676387.cms," href=""https://timesofindia.indiatimes.com/world/rest-of-world/what-is-thailands-section-112-royal-defamation-law/articleshow/78676387.cms"" target=""_blank"">What is Thailand's 'section 112' royal defamation law?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-15 07:00:00+00:00,Times of India
Trial by jury can restore public confidence in judiciary - India Legal,https://www.indialegallive.com/cover-story-articles/il-feature-news/trial-by-jury-can-restore-public-confidence-in-judiciary/," href=""https://www.indialegallive.com/cover-story-articles/il-feature-news/trial-by-jury-can-restore-public-confidence-in-judiciary/"" target=""_blank"">Trial by jury can restore public confidence in judiciary</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Legal</font",2020-10-22 08:44:07+00:00,India Legal
Mevani discharged in 2019 defamation case - The Indian Express,https://indianexpress.com/article/india/mevani-discharged-in-2019-defamation-case-6815276/," href=""https://indianexpress.com/article/india/mevani-discharged-in-2019-defamation-case-6815276/"" target=""_blank"">Mevani discharged in 2019 defamation case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-20 23:22:20+00:00,The Indian Express
Anti-Cyber Bullying Laws In India - An Analysis - Criminal Law - India - Mondaq News Alerts,https://www.mondaq.com/india/crime/989624/anti-cyber-bullying-laws-in-india--an-analysis," href=""https://www.mondaq.com/india/crime/989624/anti-cyber-bullying-laws-in-india--an-analysis"" target=""_blank"">Anti-Cyber Bullying Laws In India - An Analysis - Criminal Law - India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mondaq News Alerts</font",2020-10-01 07:00:00+00:00,Mondaq News Alerts
"MJ Akbar Vs Priya Ramani: After days of hearing, court says case not under its jurisdiction, transfers it to district and sessions court - India Legal",https://www.indialegallive.com/top-news-of-the-day/news/mj-akbar-vs-priya-ramani-after-days-of-hearing-court-says-case-not-under-its-jurisdiction-transfers-it-to-district-and-sessions-court/," href=""https://www.indialegallive.com/top-news-of-the-day/news/mj-akbar-vs-priya-ramani-after-days-of-hearing-court-says-case-not-under-its-jurisdiction-transfers-it-to-district-and-sessions-court/"" target=""_blank"">MJ Akbar Vs Priya Ramani: After days of hearing, court says case not under its jurisdiction, transfers it to district and sessions court</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Legal</font",2020-10-14 07:00:00+00:00,India Legal
Ghislaine Maxwell loses bid to keep her Jeffrey Epstein testimony secret - Reuters,https://lta.reuters.com/article/instant-article/idUKKBN2742QO," href=""https://lta.reuters.com/article/instant-article/idUKKBN2742QO"" target=""_blank"">Ghislaine Maxwell loses bid to keep her Jeffrey Epstein testimony secret</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2020-10-19 20:24:00+00:00,Reuters
Thai hotel offers to drop lawsuit against complaining guest - Outlook India,https://www.outlookindia.com/newsscroll/thai-hotel-offers-to-drop-lawsuit-against-complaining-guest/1952561," href=""https://www.outlookindia.com/newsscroll/thai-hotel-offers-to-drop-lawsuit-against-complaining-guest/1952561"" target=""_blank"">Thai hotel offers to drop lawsuit against complaining guest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-09 07:00:00+00:00,Outlook India
‘Will sue police chief’: Arnab Goswami on Mumbai police’s probe naming Republic TV in TRP fraud - Hindustan Times,https://www.hindustantimes.com/india-news/will-sue-police-chief-arnab-goswami-on-mumbai-police-s-probe-naming-republic-tv-in-trp-fraud/story-eQ8IwIc75DiFAXQLgFi3wI.html," href=""https://www.hindustantimes.com/india-news/will-sue-police-chief-arnab-goswami-on-mumbai-police-s-probe-naming-republic-tv-in-trp-fraud/story-eQ8IwIc75DiFAXQLgFi3wI.html"" target=""_blank"">‘Will sue police chief’: Arnab Goswami on Mumbai police’s probe naming Republic TV in TRP fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-08 07:00:00+00:00,Hindustan Times
The Need to Revisit Anachronistic Criminal Contempt Laws in India - Bar & Bench - Indian Legal News,https://www.barandbench.com/apprentice-lawyer/the-need-to-revisit-anachronistic-criminal-contempt-laws-in-india," href=""https://www.barandbench.com/apprentice-lawyer/the-need-to-revisit-anachronistic-criminal-contempt-laws-in-india"" target=""_blank"">The Need to Revisit Anachronistic Criminal Contempt Laws in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bar & Bench - Indian Legal News</font",2020-10-16 07:00:00+00:00,Bar & Bench - Indian Legal News
Netflix Wins India Legal Battle Over Rogue Billionaires Series - BloombergQuint,https://www.bloombergquint.com/technology/netflix-wins-india-legal-battle-over-rogue-billionaires-series," href=""https://www.bloombergquint.com/technology/netflix-wins-india-legal-battle-over-rogue-billionaires-series"" target=""_blank"">Netflix Wins India Legal Battle Over Rogue Billionaires Series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BloombergQuint</font",2020-10-07 07:00:00+00:00,BloombergQuint
Court-monitored probe sought in Misra reports - Times of India,https://timesofindia.indiatimes.com/city/goa/court-monitored-probe-sought-in-misra-reports/articleshow/78543591.cms," href=""https://timesofindia.indiatimes.com/city/goa/court-monitored-probe-sought-in-misra-reports/articleshow/78543591.cms"" target=""_blank"">Court-monitored probe sought in Misra reports</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-08 07:00:00+00:00,Times of India
MJ Akbar v. Priya Ramani: Delhi Court Notes That SC Directions Refer To Expediting All Cases Involving... - Live Law - Indian Legal News,https://www.livelaw.in/news-updates/mj-akbar-v-priya-ramani-delhi-court-notes-that-sc-directions-refer-to-expediting-all-cases-involving-mpsmlas-164976," href=""https://www.livelaw.in/news-updates/mj-akbar-v-priya-ramani-delhi-court-notes-that-sc-directions-refer-to-expediting-all-cases-involving-mpsmlas-164976"" target=""_blank"">MJ Akbar v. Priya Ramani: Delhi Court Notes That SC Directions Refer To Expediting All Cases Involving...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Live Law - Indian Legal News</font",2020-10-26 07:26:23+00:00,Live Law - Indian Legal News
Bihar Assembly Election: Criminals on the ballot - Deccan Herald,https://www.deccanherald.com/opinion/main-article/bihar-assembly-election-criminals-on-the-ballot-907452.html," href=""https://www.deccanherald.com/opinion/main-article/bihar-assembly-election-criminals-on-the-ballot-907452.html"" target=""_blank"">Bihar Assembly Election: Criminals on the ballot</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font",2020-10-26 19:29:01+00:00,Deccan Herald
Tanzania: Five years under 'Bulldozer' Magufuli - Times of India,https://timesofindia.indiatimes.com/world/rest-of-world/tanzania-five-years-under-bulldozer-magufuli/articleshow/78865681.cms," href=""https://timesofindia.indiatimes.com/world/rest-of-world/tanzania-five-years-under-bulldozer-magufuli/articleshow/78865681.cms"" target=""_blank"">Tanzania: Five years under 'Bulldozer' Magufuli</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 03:43:00+00:00,Times of India
"Will Go After Media, Fans Spreading Rumours, Says Rhea's Lawyer - Outlook India",https://www.outlookindia.com/website/story/entertainment-news-we-will-now-go-after-people-who-defamed-rhea-chakraborty-says-lawyer/361973," href=""https://www.outlookindia.com/website/story/entertainment-news-we-will-now-go-after-people-who-defamed-rhea-chakraborty-says-lawyer/361973"" target=""_blank"">Will Go After Media, Fans Spreading Rumours, Says Rhea's Lawyer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-11 07:00:00+00:00,Outlook India
Court speeds up hearing in defamation plaint against RG - Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/court-speeds-up-hearing-in-defamation-plaint-against-rg/articleshow/78522890.cms," href=""https://timesofindia.indiatimes.com/city/ahmedabad/court-speeds-up-hearing-in-defamation-plaint-against-rg/articleshow/78522890.cms"" target=""_blank"">Court speeds up hearing in defamation plaint against RG</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-07 07:00:00+00:00,Times of India
