title,link,description,date,source
American Could Face Prison in Thailand Over Negative Reviews of a Resort - The New York Times,https://www.nytimes.com/2020/09/28/world/asia/thailand-koh-chang-defamation.html,"l><li><a href=""https://www.nytimes.com/2020/09/28/world/asia/thailand-koh-chang-defamation.html"" target=""_blank"">American Could Face Prison in Thailand Over Negative Reviews of a Resort</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font></li><li><a href=""https://www.bbc.com/news/world-asia-54335789"" target=""_blank"">US man faces jail in Thailand over hotel review</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC News</font></li><li><a href=""https://www.complex.com/life/2020/09/american-man-faces-jail-time-for-writing-negative-tripadvisor-reviews-about-thailand-resort"" target=""_blank"">American Man Faces Jail Time for Writing Negative TripAdvisor Reviews About Thailand Resort</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Complex</font></li><li><a href=""https://www.abc.net.au/news/2020-10-01/american-arrested-in-thailand-over-bad-review-of-hotel/12716776"" target=""_blank"">An American wrote a bad review about a Thailand hotel. Months later he was arrested and is being sued for defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News</font></li><li><a href=""https://ktla.com/news/nationworld/american-could-face-prison-time-for-negative-reviews-of-thailand-hotel/"" target=""_blank"">American could face prison time for negative reviews of Thailand hotel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KTLA</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlqemNudWtJQU1FZTNiYmY3SU5UUC1LQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-09-29 07:00:00+00:00,The New York Times
They Accused a Pakistani Megastar of Sexual Harassment. Then They Were Sued for Defamation - TIME,https://time.com/5900710/pakistan-me-too-movement-lawsuits/," href=""https://time.com/5900710/pakistan-me-too-movement-lawsuits/"" target=""_blank"">They Accused a Pakistani Megastar of Sexual Harassment. Then They Were Sued for Defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TIME</font",2020-10-20 13:03:00+00:00,TIME
Barrasso: Democrats Guilty Of Defamation In Coney Barrett Hearing - Kgab,https://kgab.com/barrasso-democrats-guilty-of-defamation-in-coney-barrett-hearings/," href=""https://kgab.com/barrasso-democrats-guilty-of-defamation-in-coney-barrett-hearings/"" target=""_blank"">Barrasso: Democrats Guilty Of Defamation In Coney Barrett Hearing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kgab</font",2020-10-22 17:02:00+00:00,Kgab
Alan Dershowitz seeks to unredact name in Ghislaine Maxwell deposition - Page Six,https://pagesix.com/2020/10/26/alan-dershowitz-seeks-to-unredact-name-in-ghislaine-maxwell-deposition/," href=""https://pagesix.com/2020/10/26/alan-dershowitz-seeks-to-unredact-name-in-ghislaine-maxwell-deposition/"" target=""_blank"">Alan Dershowitz seeks to unredact name in Ghislaine Maxwell deposition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Page Six</font",2020-10-27 02:01:00+00:00,Page Six
The Online Citizen editor and article writer on trial for criminal defamation over piece alleging Cabinet corruption - CNA,https://www.channelnewsasia.com/news/singapore/online-citizen-defamation-trial-terry-xu-daniel-de-costa-13375934," href=""https://www.channelnewsasia.com/news/singapore/online-citizen-defamation-trial-terry-xu-daniel-de-costa-13375934"" target=""_blank"">The Online Citizen editor and article writer on trial for criminal defamation over piece alleging Cabinet corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNA</font",2020-10-26 10:25:33+00:00,CNA
Thai hotel offers to drop defamation lawsuit against guest who complained if he apologizes - USA TODAY,https://www.usatoday.com/story/travel/hotels/2020/10/11/thai-hotel-offers-drop-lawsuit-against-complaining-guest/5961211002/," href=""https://www.usatoday.com/story/travel/hotels/2020/10/11/thai-hotel-offers-drop-lawsuit-against-complaining-guest/5961211002/"" target=""_blank"">Thai hotel offers to drop defamation lawsuit against guest who complained if he apologizes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">USA TODAY</font",2020-10-11 07:00:00+00:00,USA TODAY
Burroughs failed 2nd polygraph | News | leader-call.com - leader-call.com,https://www.leader-call.com/news/burroughs-failed-2nd-polygraph/article_5d5926a8-17c6-11eb-8b65-4fd55b9bdc27.html," href=""https://www.leader-call.com/news/burroughs-failed-2nd-polygraph/article_5d5926a8-17c6-11eb-8b65-4fd55b9bdc27.html"" target=""_blank"">Burroughs failed 2nd polygraph | News | leader-call.com</a>&nbsp;&nbsp;<font color=""#6f6f6f"">leader-call.com</font",2020-10-26 20:03:00+00:00,leader-call.com
Ghislaine Maxwell’s 2016 Testimony Offers Few Answers on Jeffrey Epstein - The Wall Street Journal,https://www.wsj.com/articles/ghislaine-maxwells-2016-testimony-offers-few-answers-on-jeffrey-epstein-11603394276," href=""https://www.wsj.com/articles/ghislaine-maxwells-2016-testimony-offers-few-answers-on-jeffrey-epstein-11603394276"" target=""_blank"">Ghislaine Maxwell’s 2016 Testimony Offers Few Answers on Jeffrey Epstein</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wall Street Journal</font",2020-10-22 19:17:00+00:00,The Wall Street Journal
Thai hotel offers to drop lawsuit against complaining guest - Huron Daily Tribune,https://www.michigansthumb.com/news/article/Thai-hotel-offers-to-drop-lawsuit-against-15633715.php," href=""https://www.michigansthumb.com/news/article/Thai-hotel-offers-to-drop-lawsuit-against-15633715.php"" target=""_blank"">Thai hotel offers to drop lawsuit against complaining guest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Huron Daily Tribune</font",2020-10-09 07:00:00+00:00,Huron Daily Tribune
What is Thailand's 'section 112' royal defamation law? - Yahoo News,https://news.yahoo.com/thailands-section-112-royal-defamation-065730048.html," href=""https://news.yahoo.com/thailands-section-112-royal-defamation-065730048.html"" target=""_blank"">What is Thailand's 'section 112' royal defamation law?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo News</font",2020-10-15 07:08:11+00:00,Yahoo News
Trump Rape Accuser E. Jean Carroll “Stunned” by DOJ's Handling of Defamation Lawsuit - Democracy Now!,https://www.democracynow.org/2020/10/22/headlines/trump_rape_accuser_e_jean_carroll_stunned_by_dojs_handling_of_defamation_lawsuit," href=""https://www.democracynow.org/2020/10/22/headlines/trump_rape_accuser_e_jean_carroll_stunned_by_dojs_handling_of_defamation_lawsuit"" target=""_blank"">Trump Rape Accuser E. Jean Carroll “Stunned” by DOJ's Handling of Defamation Lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Democracy Now!</font",2020-10-22 14:03:48+00:00,Democracy Now!
TOC's chief editor and one of its writers on trial for alleging corruption in Cabinet - The Independent,https://theindependent.sg/tocs-chief-editor-and-one-of-its-writers-on-trial-for-alleging-corruption-in-cabinet/," href=""https://theindependent.sg/tocs-chief-editor-and-one-of-its-writers-on-trial-for-alleging-corruption-in-cabinet/"" target=""_blank"">TOC's chief editor and one of its writers on trial for alleging corruption in Cabinet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Independent</font",2020-10-27 01:30:00+00:00,The Independent
Reputation and Media Quarterly Round-Up: Q3 2020 - Lexology,https://www.lexology.com/library/detail.aspx?g=a89f7d3c-1bee-4920-95b7-4bd5ff7c3400," href=""https://www.lexology.com/library/detail.aspx?g=a89f7d3c-1bee-4920-95b7-4bd5ff7c3400"" target=""_blank"">Reputation and Media Quarterly Round-Up: Q3 2020</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lexology</font",2020-10-15 07:00:00+00:00,Lexology
Mike Postle Files Libel Charges Against Multitude of Defendants - Poker News Daily,https://www.pokernewsdaily.com/mike-postle-files-libel-charges-against-multitude-of-defendants-33983/," href=""https://www.pokernewsdaily.com/mike-postle-files-libel-charges-against-multitude-of-defendants-33983/"" target=""_blank"">Mike Postle Files Libel Charges Against Multitude of Defendants</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Poker News Daily</font",2020-10-03 07:00:00+00:00,Poker News Daily
"DHS Rushes To Defense Of Kenosha Shooter Kyle Rittenhouse, As His Lawyer Threatens Biden With Defamation Suit - Above the Law",https://abovethelaw.com/2020/10/dhs-rushes-to-defense-of-kenosha-shooter-kyle-rittenhouse-as-his-lawyer-threatens-biden-with-defamation-suit/," href=""https://abovethelaw.com/2020/10/dhs-rushes-to-defense-of-kenosha-shooter-kyle-rittenhouse-as-his-lawyer-threatens-biden-with-defamation-suit/"" target=""_blank"">DHS Rushes To Defense Of Kenosha Shooter Kyle Rittenhouse, As His Lawyer Threatens Biden With Defamation Suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Above the Law</font",2020-10-01 07:00:00+00:00,Above the Law
What is an official act? | LRC Presents: All the President's Lawyers - KCRW,https://www.kcrw.com/news/shows/lrc-presents-all-the-presidents-lawyers/what-is-an-official-act," href=""https://www.kcrw.com/news/shows/lrc-presents-all-the-presidents-lawyers/what-is-an-official-act"" target=""_blank"">What is an official act? | LRC Presents: All the President's Lawyers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KCRW</font",2020-10-21 20:30:00+00:00,KCRW
