title,link,description,date,source
"Trump must remain defendant in rape defamation claim case filed by E. Jean Carroll, judge rules in rejecting DOJ bid - CNBC",https://www.cnbc.com/2020/10/27/trump-must-remain-defendant-in-e-jean-carroll-rape-defamation-suit.html,"l><li><a href=""https://www.cnbc.com/2020/10/27/trump-must-remain-defendant-in-e-jean-carroll-rape-defamation-suit.html"" target=""_blank"">Trump must remain defendant in rape defamation claim case filed by E. Jean Carroll, judge rules in rejecting DOJ bid</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font></li><li><a href=""https://www.aljazeera.com/news/2020/10/27/judge-rules-us-cannot-shield-trump-from-rape-defamation-lawsuit"" target=""_blank"">Judge rules US cannot shield Trump from rape defamation lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font></li><li><a href=""https://www.ksnblocal4.com/2020/10/27/judge-us-cant-replace-trump-in-columnists-slander-suit/"" target=""_blank"">Judge: US can't replace Trump in accuser's defamation suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KSNB Local 4</font></li><li><a href=""https://www.counton2.com/news/national-news/us-cant-replace-pres-trump-in-columnists-defamation-lawsuit-federal-judge-rules/"" target=""_blank"">US can’t replace Pres. Trump in columnist’s defamation lawsuit, federal judge rules</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WCBD News 2</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlyX3NHTmtZQU1FU2stUXl0blZUWHlLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-27 13:45:00+00:00,CNBC
Former sheriff candidate facing defamation lawsuit - The Daily Progress,https://dailyprogress.com/community/greenenews/news/former-sheriff-candidate-facing-defamation-lawsuit/article_60199002-0d86-11eb-9851-f38c02e766fd.html," href=""https://dailyprogress.com/community/greenenews/news/former-sheriff-candidate-facing-defamation-lawsuit/article_60199002-0d86-11eb-9851-f38c02e766fd.html"" target=""_blank"">Former sheriff candidate facing defamation lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Progress</font",2020-10-15 07:00:00+00:00,The Daily Progress
American faces prison over negative Thailand hotel review - 11Alive.com WXIA,https://www.11alive.com/article/news/nation-world/us-man-could-get-prison-for-review-of-thailand-hotel/507-93635bfa-7a7e-433a-8021-efbb886ab126," href=""https://www.11alive.com/article/news/nation-world/us-man-could-get-prison-for-review-of-thailand-hotel/507-93635bfa-7a7e-433a-8021-efbb886ab126"" target=""_blank"">American faces prison over negative Thailand hotel review</a>&nbsp;&nbsp;<font color=""#6f6f6f"">11Alive.com WXIA</font",2020-09-29 07:00:00+00:00,11Alive.com WXIA
They Accused a Pakistani Megastar of Sexual Harassment. Then They Were Sued for Defamation - TIME,https://time.com/5900710/pakistan-me-too-movement-lawsuits/," href=""https://time.com/5900710/pakistan-me-too-movement-lawsuits/"" target=""_blank"">They Accused a Pakistani Megastar of Sexual Harassment. Then They Were Sued for Defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TIME</font",2020-10-20 13:03:00+00:00,TIME
Thai Resort Offers to Drop Lawsuit Against Jailed American Guest if He Apologizes for Bad Reviews - PEOPLE.com,https://people.com/travel/thai-resort-offers-to-drop-defamation-charges-against-american-guest-if-he-apologizes/," href=""https://people.com/travel/thai-resort-offers-to-drop-defamation-charges-against-american-guest-if-he-apologizes/"" target=""_blank"">Thai Resort Offers to Drop Lawsuit Against Jailed American Guest if He Apologizes for Bad Reviews</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PEOPLE.com</font",2020-10-13 18:08:00+00:00,PEOPLE.com
Thai hotel to drop charges against guest facing jail for bad reviews - Reuters,https://www.reuters.com/article/thailand-tourism-defamation/thai-hotel-to-drop-charges-against-guest-facing-jail-for-bad-reviews-idUKL4N2H0174," href=""https://www.reuters.com/article/thailand-tourism-defamation/thai-hotel-to-drop-charges-against-guest-facing-jail-for-bad-reviews-idUKL4N2H0174"" target=""_blank"">Thai hotel to drop charges against guest facing jail for bad reviews</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2020-10-08 07:00:00+00:00,Reuters
The Legal Threats Trump Will Face If He Loses the Election - Bloomberg,https://www.bloomberg.com/features/2020-trump-faces-lawsuits-and-legal-threats/," href=""https://www.bloomberg.com/features/2020-trump-faces-lawsuits-and-legal-threats/"" target=""_blank"">The Legal Threats Trump Will Face If He Loses the Election</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font",2020-10-23 09:01:33+00:00,Bloomberg
Court exempts Rahul Gandhi from presence at defamation trial - Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/court-exempts-rahul-from-presence-at-defamation-trial/articleshow/78900153.cms," href=""https://timesofindia.indiatimes.com/city/ahmedabad/court-exempts-rahul-from-presence-at-defamation-trial/articleshow/78900153.cms"" target=""_blank"">Court exempts Rahul Gandhi from presence at defamation trial</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-27 22:48:00+00:00,Times of India
Conservative hoaxers face charges over false voter robocalls - The Associated Press,https://apnews.com/article/election-2020-technology-arrests-michigan-voting-rights-5f035e2a68394f9765d9c0d500538d94," href=""https://apnews.com/article/election-2020-technology-arrests-michigan-voting-rights-5f035e2a68394f9765d9c0d500538d94"" target=""_blank"">Conservative hoaxers face charges over false voter robocalls</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Associated Press</font",2020-10-01 07:00:00+00:00,The Associated Press
Kyle Rittenhouse's lawyers say extraditing teen to Wisconsin would be 'turning him over to the mob' - Milwaukee Journal Sentinel,https://www.jsonline.com/story/news/crime/2020/10/09/kyle-rittenhouses-extradition-face-kenosha-charges-delayed-again/5935719002/," href=""https://www.jsonline.com/story/news/crime/2020/10/09/kyle-rittenhouses-extradition-face-kenosha-charges-delayed-again/5935719002/"" target=""_blank"">Kyle Rittenhouse's lawyers say extraditing teen to Wisconsin would be 'turning him over to the mob'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Milwaukee Journal Sentinel</font",2020-10-09 07:00:00+00:00,Milwaukee Journal Sentinel
