title,link,description,date,source
Exposing the bad boy tycoons of India - Bangkok Post,https://www.bangkokpost.com/life/arts-and-entertainment/2007035/exposing-the-bad-boy-tycoons-of-india," href=""https://www.bangkokpost.com/life/arts-and-entertainment/2007035/exposing-the-bad-boy-tycoons-of-india"" target=""_blank"">Exposing the bad boy tycoons of India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bangkok Post</font",2020-10-22 21:00:00+00:00,Bangkok Post
Netflix Wins India Legal Battle Over Rogue Billionaires Series - BloombergQuint,https://www.bloombergquint.com/technology/netflix-wins-india-legal-battle-over-rogue-billionaires-series," href=""https://www.bloombergquint.com/technology/netflix-wins-india-legal-battle-over-rogue-billionaires-series"" target=""_blank"">Netflix Wins India Legal Battle Over Rogue Billionaires Series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BloombergQuint</font",2020-10-07 07:00:00+00:00,BloombergQuint
3 Arrested For Obtaining Rs 2 Crore Loan With Forged Papers: Police - NDTV,https://www.ndtv.com/india-news/3-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers-police-2310190," href=""https://www.ndtv.com/india-news/3-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers-police-2310190"" target=""_blank"">3 Arrested For Obtaining Rs 2 Crore Loan With Forged Papers: Police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-10-14 07:00:00+00:00,NDTV
"UK ""Secret Proceedings"" Stalling Vijay Mallya Return, Not In Loop: Centre - NDTV",https://www.ndtv.com/india-news/uk-secret-proceedings-stalling-vijay-mallya-return-not-in-loop-centre-2305436," href=""https://www.ndtv.com/india-news/uk-secret-proceedings-stalling-vijay-mallya-return-not-in-loop-centre-2305436"" target=""_blank"">UK ""Secret Proceedings"" Stalling Vijay Mallya Return, Not In Loop: Centre</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-10-05 07:00:00+00:00,NDTV
Netflix wins legal battle to screen 'Bad Boy Billionaires' series - The Australian Financial Review,https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu," href=""https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu"" target=""_blank"">Netflix wins legal battle to screen 'Bad Boy Billionaires' series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Australian Financial Review</font",2020-10-09 07:00:00+00:00,The Australian Financial Review
Rs 284 crore cheating: EOW files 2nd FIR against Cox & Kings - Times of India,https://timesofindia.indiatimes.com/city/mumbai/rs-284-crore-cheating-eow-files-2nd-fir-against-cox-kings/articleshow/78883240.cms," href=""https://timesofindia.indiatimes.com/city/mumbai/rs-284-crore-cheating-eow-files-2nd-fir-against-cox-kings/articleshow/78883240.cms"" target=""_blank"">Rs 284 crore cheating: EOW files 2nd FIR against Cox & Kings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-27 02:17:00+00:00,Times of India
Trio arrested for obtaining Rs 2 crore loan with forged papers - Outlook India,https://www.outlookindia.com/newsscroll/trio-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers/1955291," href=""https://www.outlookindia.com/newsscroll/trio-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers/1955291"" target=""_blank"">Trio arrested for obtaining Rs 2 crore loan with forged papers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-14 07:00:00+00:00,Outlook India
Rs 826 Cr bank loan default case: YSR Congress rebel MP homes among premises searched - Mumbai Mirror,https://mumbaimirror.indiatimes.com/news/india/rs-826-cr-bank-loan-default-case-ysr-congress-rebel-mp-homes-among-premises-searched/articleshow/78560203.cms," href=""https://mumbaimirror.indiatimes.com/news/india/rs-826-cr-bank-loan-default-case-ysr-congress-rebel-mp-homes-among-premises-searched/articleshow/78560203.cms"" target=""_blank"">Rs 826 Cr bank loan default case: YSR Congress rebel MP homes among premises searched</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mumbai Mirror</font",2020-10-08 07:00:00+00:00,Mumbai Mirror
Many Countries at Risk of Defaulting on Debt to China - Newsweek,https://www.newsweek.com/china-africa-loans-coronavirus-economy-u-s-debt-trap-diplomacy-1540883," href=""https://www.newsweek.com/china-africa-loans-coronavirus-economy-u-s-debt-trap-diplomacy-1540883"" target=""_blank"">Many Countries at Risk of Defaulting on Debt to China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newsweek</font",2020-10-21 11:12:17+00:00,Newsweek
Expedite probe against cops in murder case: HC to Kurukshetra SP - The Tribune,https://m.tribuneindia.com/news/haryana/expedite-probe-against-cops-in-murder-case-hc-to-kurukshetra-sp-150184," href=""https://m.tribuneindia.com/news/haryana/expedite-probe-against-cops-in-murder-case-hc-to-kurukshetra-sp-150184"" target=""_blank"">Expedite probe against cops in murder case: HC to Kurukshetra SP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font",2020-10-03 07:00:00+00:00,The Tribune
