title,link,description,date,source
City looks to buy out downtown garage owners in response to lawsuit - Jacksonville Business Journal,https://www.bizjournals.com/jacksonville/news/2020/10/14/mps-issues-notice-of-default-to-dia.html," href=""https://www.bizjournals.com/jacksonville/news/2020/10/14/mps-issues-notice-of-default-to-dia.html"" target=""_blank"">City looks to buy out downtown garage owners in response to lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jacksonville Business Journal</font",2020-10-14 19:18:00+00:00,Jacksonville Business Journal
Hotelier To Pay Investment Co. £11.6M In Loan Fees - Law360,https://www.law360.com/financial-services-uk/articles/1322700/hotelier-to-pay-investment-co-11-6m-in-loan-fees," href=""https://www.law360.com/financial-services-uk/articles/1322700/hotelier-to-pay-investment-co-11-6m-in-loan-fees"" target=""_blank"">Hotelier To Pay Investment Co. £11.6M In Loan Fees</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Law360</font",2020-10-26 18:28:00+00:00,Law360
Many Countries at Risk of Defaulting on Debt to China - Newsweek,https://www.newsweek.com/china-africa-loans-coronavirus-economy-u-s-debt-trap-diplomacy-1540883," href=""https://www.newsweek.com/china-africa-loans-coronavirus-economy-u-s-debt-trap-diplomacy-1540883"" target=""_blank"">Many Countries at Risk of Defaulting on Debt to China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newsweek</font",2020-10-21 11:12:17+00:00,Newsweek
Akerman Attorneys Can't Stop This International Litigation From Advancing to Trial | Daily Business Review - Law.com,https://www.law.com/dailybusinessreview/2020/10/26/akerman-attorneys-cant-stop-this-international-litigation-from-advancing-to-trial/," href=""https://www.law.com/dailybusinessreview/2020/10/26/akerman-attorneys-cant-stop-this-international-litigation-from-advancing-to-trial/"" target=""_blank"">Akerman Attorneys Can't Stop This International Litigation From Advancing to Trial | Daily Business Review</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Law.com</font",2020-10-26 19:28:41+00:00,Law.com
Ukraine's corn harvest 44% done with 11.1 million mt gathered - AgriCensus,https://www.agricensus.com/Article/Ukraine-s-corn-harvest-44-done-with-11-1-million-mt-gathered-13973.html," href=""https://www.agricensus.com/Article/Ukraine-s-corn-harvest-44-done-with-11-1-million-mt-gathered-13973.html"" target=""_blank"">Ukraine's corn harvest 44% done with 11.1 million mt gathered</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AgriCensus</font",2020-10-21 10:00:00+00:00,AgriCensus
3 Arrested For Obtaining Rs 2 Crore Loan With Forged Papers: Police - NDTV,https://www.ndtv.com/india-news/3-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers-police-2310190," href=""https://www.ndtv.com/india-news/3-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers-police-2310190"" target=""_blank"">3 Arrested For Obtaining Rs 2 Crore Loan With Forged Papers: Police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-10-14 07:00:00+00:00,NDTV
Rs 284 crore cheating: EOW files 2nd FIR against Cox & Kings - Times of India,https://timesofindia.indiatimes.com/city/mumbai/rs-284-crore-cheating-eow-files-2nd-fir-against-cox-kings/articleshow/78883240.cms," href=""https://timesofindia.indiatimes.com/city/mumbai/rs-284-crore-cheating-eow-files-2nd-fir-against-cox-kings/articleshow/78883240.cms"" target=""_blank"">Rs 284 crore cheating: EOW files 2nd FIR against Cox & Kings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-27 02:17:00+00:00,Times of India
We Fact Checked the Accusations in Cox - Valadao TV Debate - gvwire.com,https://gvwire.com/2020/10/21/we-fact-checked-the-accusations-in-cox-valadao-tv-debate/," href=""https://gvwire.com/2020/10/21/we-fact-checked-the-accusations-in-cox-valadao-tv-debate/"" target=""_blank"">We Fact Checked the Accusations in Cox - Valadao TV Debate</a>&nbsp;&nbsp;<font color=""#6f6f6f"">gvwire.com</font",2020-10-21 17:11:41+00:00,gvwire.com
Lender accused of charging 'exorbitant' fees received $20m loan from company chaired by former Brisbane mayor - The Guardian,https://www.theguardian.com/money/2020/oct/03/lender-accused-of-charging-exorbitant-fees-received-20m-loan-from-company-chaired-by-former-brisbane-mayor," href=""https://www.theguardian.com/money/2020/oct/03/lender-accused-of-charging-exorbitant-fees-received-20m-loan-from-company-chaired-by-former-brisbane-mayor"" target=""_blank"">Lender accused of charging 'exorbitant' fees received $20m loan from company chaired by former Brisbane mayor</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font",2020-10-02 07:00:00+00:00,The Guardian
"UK ""Secret Proceedings"" Stalling Vijay Mallya Return, Not In Loop: Centre - NDTV",https://www.ndtv.com/india-news/uk-secret-proceedings-stalling-vijay-mallya-return-not-in-loop-centre-2305436," href=""https://www.ndtv.com/india-news/uk-secret-proceedings-stalling-vijay-mallya-return-not-in-loop-centre-2305436"" target=""_blank"">UK ""Secret Proceedings"" Stalling Vijay Mallya Return, Not In Loop: Centre</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-10-05 07:00:00+00:00,NDTV
Two implicated in scheme to defraud program for poor children - The Advocate,https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_f349cbe0-17d5-11eb-b77c-03449656d398.html," href=""https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_f349cbe0-17d5-11eb-b77c-03449656d398.html"" target=""_blank"">Two implicated in scheme to defraud program for poor children</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Advocate</font",2020-10-26 21:55:00+00:00,The Advocate
Exposing the bad boy tycoons of India - Bangkok Post,https://www.bangkokpost.com/life/arts-and-entertainment/2007035/exposing-the-bad-boy-tycoons-of-india," href=""https://www.bangkokpost.com/life/arts-and-entertainment/2007035/exposing-the-bad-boy-tycoons-of-india"" target=""_blank"">Exposing the bad boy tycoons of India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bangkok Post</font",2020-10-22 21:00:00+00:00,Bangkok Post
Expedite probe against cops in murder case: HC to Kurukshetra SP - The Tribune,https://m.tribuneindia.com/news/haryana/expedite-probe-against-cops-in-murder-case-hc-to-kurukshetra-sp-150184," href=""https://m.tribuneindia.com/news/haryana/expedite-probe-against-cops-in-murder-case-hc-to-kurukshetra-sp-150184"" target=""_blank"">Expedite probe against cops in murder case: HC to Kurukshetra SP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font",2020-10-03 07:00:00+00:00,The Tribune
Experts warn 'tsunami' of hotel closures is coming - Texarkana Gazette,https://www.texarkanagazette.com/news/features/story/2020/sep/30/experts-warn-tsunami-hotel-closures-coming/843519/," href=""https://www.texarkanagazette.com/news/features/story/2020/sep/30/experts-warn-tsunami-hotel-closures-coming/843519/"" target=""_blank"">Experts warn 'tsunami' of hotel closures is coming</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Texarkana Gazette</font",2020-09-30 07:00:00+00:00,Texarkana Gazette
Netflix wins India legal battle on rogue billionaires series - newsindiatimes.com,https://www.newsindiatimes.com/netflix-wins-india-legal-battle-on-rogue-billionaires-series/," href=""https://www.newsindiatimes.com/netflix-wins-india-legal-battle-on-rogue-billionaires-series/"" target=""_blank"">Netflix wins India legal battle on rogue billionaires series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-07 07:00:00+00:00,newsindiatimes.com
Experts warn of 'tsunami' of hotel closures | Lifestyle | postguam.com - The Guam Daily Post,https://www.postguam.com/entertainment/lifestyle/experts-warn-of-tsunami-of-hotel-closures/article_1ceb14d0-021a-11eb-8c59-77bd51bf7fec.html," href=""https://www.postguam.com/entertainment/lifestyle/experts-warn-of-tsunami-of-hotel-closures/article_1ceb14d0-021a-11eb-8c59-77bd51bf7fec.html"" target=""_blank"">Experts warn of 'tsunami' of hotel closures | Lifestyle | postguam.com</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guam Daily Post</font",2020-09-30 07:00:00+00:00,The Guam Daily Post
Delhi Police nab cheats who defrauded bank - Daily Pioneer,https://www.dailypioneer.com/2020/state-editions/delhi-police-nab-cheats-who---defrauded-bank.html," href=""https://www.dailypioneer.com/2020/state-editions/delhi-police-nab-cheats-who---defrauded-bank.html"" target=""_blank"">Delhi Police nab cheats who defrauded bank</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Pioneer</font",2020-10-15 07:00:00+00:00,Daily Pioneer
CBI raids properties of rebel YSRCP MP Raghurama Krishnam Raju in Hyderabad - The News Minute,https://www.thenewsminute.com/article/cbi-raids-properties-rebel-ysrcp-mp-raghurama-krishnam-raju-hyderabad-134908," href=""https://www.thenewsminute.com/article/cbi-raids-properties-rebel-ysrcp-mp-raghurama-krishnam-raju-hyderabad-134908"" target=""_blank"">CBI raids properties of rebel YSRCP MP Raghurama Krishnam Raju in Hyderabad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News Minute</font",2020-10-08 07:00:00+00:00,The News Minute
