title,link,description,date,source
3 Arrested For Obtaining Rs 2 Crore Loan With Forged Papers: Police - NDTV,https://www.ndtv.com/india-news/3-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers-police-2310190," href=""https://www.ndtv.com/india-news/3-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers-police-2310190"" target=""_blank"">3 Arrested For Obtaining Rs 2 Crore Loan With Forged Papers: Police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-10-14 07:00:00+00:00,NDTV
Exposing the bad boy tycoons of India - Bangkok Post,https://www.bangkokpost.com/life/arts-and-entertainment/2007035/exposing-the-bad-boy-tycoons-of-india," href=""https://www.bangkokpost.com/life/arts-and-entertainment/2007035/exposing-the-bad-boy-tycoons-of-india"" target=""_blank"">Exposing the bad boy tycoons of India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bangkok Post</font",2020-10-22 21:00:00+00:00,Bangkok Post
"Yes Bank case: ED arrests CFO, internal auditor of Cox and Kings - Hindustan Times",https://www.hindustantimes.com/india-news/yes-bank-case-ed-arrests-cfo-internal-auditor-of-cox-and-kings/story-0k5xoGqKnbMPfa9lhBgp1I.html," href=""https://www.hindustantimes.com/india-news/yes-bank-case-ed-arrests-cfo-internal-auditor-of-cox-and-kings/story-0k5xoGqKnbMPfa9lhBgp1I.html"" target=""_blank"">Yes Bank case: ED arrests CFO, internal auditor of Cox and Kings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-06 07:00:00+00:00,Hindustan Times
Netflix wins India legal battle on rogue billionaires series - newsindiatimes.com,https://www.newsindiatimes.com/netflix-wins-india-legal-battle-on-rogue-billionaires-series/," href=""https://www.newsindiatimes.com/netflix-wins-india-legal-battle-on-rogue-billionaires-series/"" target=""_blank"">Netflix wins India legal battle on rogue billionaires series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-07 07:00:00+00:00,newsindiatimes.com
Trio arrested for obtaining Rs 2 crore loan with forged papers - Outlook India,https://www.outlookindia.com/newsscroll/trio-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers/1955291," href=""https://www.outlookindia.com/newsscroll/trio-arrested-for-obtaining-rs-2-crore-loan-with-forged-papers/1955291"" target=""_blank"">Trio arrested for obtaining Rs 2 crore loan with forged papers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-14 07:00:00+00:00,Outlook India
Netflix wins legal battle to screen 'Bad Boy Billionaires' series - The Australian Financial Review,https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu," href=""https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu"" target=""_blank"">Netflix wins legal battle to screen 'Bad Boy Billionaires' series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Australian Financial Review</font",2020-10-09 07:00:00+00:00,The Australian Financial Review
"Heera Group victims: Two years after Nowhera Sheikh's arrest, investors are yet to get their money back - Gulf News",https://gulfnews.com/uae/heera-group-victims-two-years-after-nowhera-sheikhs-arrest-investors-are-yet-to-get-their-money-back-1.74610993," href=""https://gulfnews.com/uae/heera-group-victims-two-years-after-nowhera-sheikhs-arrest-investors-are-yet-to-get-their-money-back-1.74610993"" target=""_blank"">Heera Group victims: Two years after Nowhera Sheikh's arrest, investors are yet to get their money back</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gulf News</font",2020-10-15 07:00:00+00:00,Gulf News
Cox & Kings finance exec found dead on railway tracks - Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai/cover-story/cox-kings-finance-exec-found-dead-on-railway-tracks/articleshow/78727210.cms," href=""https://mumbaimirror.indiatimes.com/mumbai/cover-story/cox-kings-finance-exec-found-dead-on-railway-tracks/articleshow/78727210.cms"" target=""_blank"">Cox & Kings finance exec found dead on railway tracks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mumbai Mirror</font",2020-10-18 07:00:00+00:00,Mumbai Mirror
Top 5 famous scams in Indian stock markets’ history in last 3 decades - Moneycontrol.com,https://www.moneycontrol.com/news/business/markets/top-5-famous-scams-in-indian-stock-markets-history-in-last-3-decades-5939171.html," href=""https://www.moneycontrol.com/news/business/markets/top-5-famous-scams-in-indian-stock-markets-history-in-last-3-decades-5939171.html"" target=""_blank"">Top 5 famous scams in Indian stock markets’ history in last 3 decades</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font",2020-10-09 09:22:00+00:00,Moneycontrol.com
Mumbai Special Court Calls For Report From Superintendent Of Taloja Jail After Drugs Case Accused Misses... - Live Law,https://www.livelaw.in/news-updates/mumbai-special-court-calls-for-report-from-superintendent-of-taloja-jail-after-drugs-case-accused-misses-college-exam-164550," href=""https://www.livelaw.in/news-updates/mumbai-special-court-calls-for-report-from-superintendent-of-taloja-jail-after-drugs-case-accused-misses-college-exam-164550"" target=""_blank"">Mumbai Special Court Calls For Report From Superintendent Of Taloja Jail After Drugs Case Accused Misses...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Live Law</font",2020-10-15 07:00:00+00:00,Live Law
