title,link,description,date,source
New York Times Report: President Trump Got Much Of His Debt Forgiven After Defaulting On Loans For Chicago Trump Tower - CBS Chicago,https://chicago.cbslocal.com/2020/10/27/new-york-times-report-president-trump-got-much-of-his-debt-forgiven-after-defaulting-on-loans-for-chicago-trump-tower/," href=""https://chicago.cbslocal.com/2020/10/27/new-york-times-report-president-trump-got-much-of-his-debt-forgiven-after-defaulting-on-loans-for-chicago-trump-tower/"" target=""_blank"">New York Times Report: President Trump Got Much Of His Debt Forgiven After Defaulting On Loans For Chicago Trump Tower</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS Chicago</font",2020-10-28 01:23:00+00:00,CBS Chicago
Two Silicon Valley hotels default on mortgages amid coronavirus-linked lodging slump - The Mercury News,https://www.mercurynews.com/silicon-valley-hotel-default-loan-coronavirus-slump-real-estate-tech," href=""https://www.mercurynews.com/silicon-valley-hotel-default-loan-coronavirus-slump-real-estate-tech"" target=""_blank"">Two Silicon Valley hotels default on mortgages amid coronavirus-linked lodging slump</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Mercury News</font",2020-10-19 12:45:00+00:00,The Mercury News
Now Is the Time To Fix Cohort Default Rates - Center For American Progress,https://www.americanprogress.org/issues/education-postsecondary/news/2020/10/27/492404/now-time-fix-cohort-default-rates/," href=""https://www.americanprogress.org/issues/education-postsecondary/news/2020/10/27/492404/now-time-fix-cohort-default-rates/"" target=""_blank"">Now Is the Time To Fix Cohort Default Rates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Center For American Progress</font",2020-10-27 13:00:43+00:00,Center For American Progress
"Student loan default rate drops in Indiana, nationally - KPCnews.com",https://www.kpcnews.com/heraldrepublican/article_66203b60-af3b-5051-b672-d1db7882d8c9.html," href=""https://www.kpcnews.com/heraldrepublican/article_66203b60-af3b-5051-b672-d1db7882d8c9.html"" target=""_blank"">Student loan default rate drops in Indiana, nationally</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KPCnews.com</font",2020-10-08 07:00:00+00:00,KPCnews.com
US CMBS Coronavirus Loan Defaults Vs - Fitch Ratings,https://www.fitchratings.com/research/structured-finance/cmbs-coronavirus-loan-defaults-vs-fitch-ratings-expectations-august-update-29-09-2020," href=""https://www.fitchratings.com/research/structured-finance/cmbs-coronavirus-loan-defaults-vs-fitch-ratings-expectations-august-update-29-09-2020"" target=""_blank"">US CMBS Coronavirus Loan Defaults Vs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fitch Ratings</font",2020-09-29 07:00:00+00:00,Fitch Ratings
Oklahoma's student loan default rates tick up - KOKH FOX25,https://okcfox.com/news/consumer-watch/oklahomas-student-loan-default-rates-tick-up," href=""https://okcfox.com/news/consumer-watch/oklahomas-student-loan-default-rates-tick-up"" target=""_blank"">Oklahoma's student loan default rates tick up</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOKH FOX25</font",2020-10-21 16:41:00+00:00,KOKH FOX25
"LossStats: After epic credit cycle, recoveries on defaulted debt point lower - S&P Global",https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/lossstats-after-epic-credit-cycle-recoveries-on-defaulted-debt-point-lower-60513311," href=""https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/lossstats-after-epic-credit-cycle-recoveries-on-defaulted-debt-point-lower-60513311"" target=""_blank"">LossStats: After epic credit cycle, recoveries on defaulted debt point lower</a>&nbsp;&nbsp;<font color=""#6f6f6f"">S&P Global</font",2020-09-29 07:00:00+00:00,S&P Global
Aby Rosen accuses Chinese partner of “power grab” after condo loan default - The Real Deal,https://therealdeal.com/2020/10/26/aby-rosen-accuses-chinese-partner-of-power-grab-after-condo-loan-default/," href=""https://therealdeal.com/2020/10/26/aby-rosen-accuses-chinese-partner-of-power-grab-after-condo-loan-default/"" target=""_blank"">Aby Rosen accuses Chinese partner of “power grab” after condo loan default</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Real Deal</font",2020-10-26 21:23:00+00:00,The Real Deal
Expanded Dischargeability Potential Negative for Student Loan ABS - Fitch Ratings,https://www.fitchratings.com/research/structured-finance/expanded-dischargeability-potential-negative-for-student-loan-abs-01-10-2020," href=""https://www.fitchratings.com/research/structured-finance/expanded-dischargeability-potential-negative-for-student-loan-abs-01-10-2020"" target=""_blank"">Expanded Dischargeability Potential Negative for Student Loan ABS</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fitch Ratings</font",2020-10-01 07:00:00+00:00,Fitch Ratings
Many Student Loan Borrowers Wish They Had Picked Cheaper Colleges - Financial Advisor Magazine,https://www.fa-mag.com/news/many-student-loan-borrowers-wish-they-had-picked-cheaper-colleges-58179.html," href=""https://www.fa-mag.com/news/many-student-loan-borrowers-wish-they-had-picked-cheaper-colleges-58179.html"" target=""_blank"">Many Student Loan Borrowers Wish They Had Picked Cheaper Colleges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial Advisor Magazine</font",2020-10-01 07:00:00+00:00,Financial Advisor Magazine
