title,link,description,date,source
Man with dual citizenship jailed for defaulting on NS obligations - The Straits Times,https://www.straitstimes.com/singapore/courts-crime/man-with-dual-citizenship-jailed-for-defaulting-on-ns-obligations," href=""https://www.straitstimes.com/singapore/courts-crime/man-with-dual-citizenship-jailed-for-defaulting-on-ns-obligations"" target=""_blank"">Man with dual citizenship jailed for defaulting on NS obligations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Straits Times</font",2020-10-17 21:00:00+00:00,The Straits Times
Man with dual citizenship gets jail term for defaulting on NS obligations for close to a decade - The Straits Times,https://www.straitstimes.com/singapore/courts-crime/man-with-dual-citizenship-given-jail-term-for-defaulting-on-ns-obligations," href=""https://www.straitstimes.com/singapore/courts-crime/man-with-dual-citizenship-given-jail-term-for-defaulting-on-ns-obligations"" target=""_blank"">Man with dual citizenship gets jail term for defaulting on NS obligations for close to a decade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Straits Times</font",2020-10-15 07:00:00+00:00,The Straits Times
Worst fantasy narratives | FFSK - Yahoo News,https://news.yahoo.com/worst-fantasy-narratives-ffsk-130000823.html," href=""https://news.yahoo.com/worst-fantasy-narratives-ffsk-130000823.html"" target=""_blank"">Worst fantasy narratives | FFSK</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo News</font",2020-10-22 13:00:00+00:00,Yahoo News
Two implicated in scheme to defraud program for poor children - The Advocate,https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_f349cbe0-17d5-11eb-b77c-03449656d398.html," href=""https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_f349cbe0-17d5-11eb-b77c-03449656d398.html"" target=""_blank"">Two implicated in scheme to defraud program for poor children</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Advocate</font",2020-10-26 21:55:00+00:00,The Advocate
Man with dual Singapore and Malaysia citizenship admits defaulting on NS for nearly 10 years - CNA,https://www.channelnewsasia.com/news/singapore/national-service-defaulter-singapore-malaysia-citizenship-13169476," href=""https://www.channelnewsasia.com/news/singapore/national-service-defaulter-singapore-malaysia-citizenship-13169476"" target=""_blank"">Man with dual Singapore and Malaysia citizenship admits defaulting on NS for nearly 10 years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNA</font",2020-10-05 07:00:00+00:00,CNA
Companies (Amendment) Act and Foreign Contribution (Regulation) Amendment Act enacted - Lexology,https://www.lexology.com/library/detail.aspx?g=212303ad-958d-4e64-b6e5-27bb9f6c77e8," href=""https://www.lexology.com/library/detail.aspx?g=212303ad-958d-4e64-b6e5-27bb9f6c77e8"" target=""_blank"">Companies (Amendment) Act and Foreign Contribution (Regulation) Amendment Act enacted</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lexology</font",2020-10-25 14:37:30+00:00,Lexology
Tax Fraud Blotter: Rough waters - Accounting Today,https://www.accountingtoday.com/news/tax-fraud-blotter-rough-waters," href=""https://www.accountingtoday.com/news/tax-fraud-blotter-rough-waters"" target=""_blank"">Tax Fraud Blotter: Rough waters</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Accounting Today</font",2020-10-15 23:25:00+00:00,Accounting Today
Alexandria man's 50-year armed robbery sentence upheld - The Town Talk,https://www.thetowntalk.com/story/news/2020/10/13/alexandria-mans-50-year-armed-robbery-sentence-upheld-garden-district/5968831002/," href=""https://www.thetowntalk.com/story/news/2020/10/13/alexandria-mans-50-year-armed-robbery-sentence-upheld-garden-district/5968831002/"" target=""_blank"">Alexandria man's 50-year armed robbery sentence upheld</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Town Talk</font",2020-10-13 07:00:00+00:00,The Town Talk
"Historian Timothy Snyder warns that America is already in its own ""slow-motion Reichstag Fire"" - Salon",https://www.salon.com/2020/10/18/historian-timothy-snyder-warns-that-america-is-already-in-its-own-slow-motion-reichstag-fire/," href=""https://www.salon.com/2020/10/18/historian-timothy-snyder-warns-that-america-is-already-in-its-own-slow-motion-reichstag-fire/"" target=""_blank"">Historian Timothy Snyder warns that America is already in its own ""slow-motion Reichstag Fire""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Salon</font",2020-10-18 07:00:00+00:00,Salon
Candidate was party in lengthy lawsuit; filed for Chapter 13 - South Whidbey Record,https://www.southwhidbeyrecord.com/news/candidate-was-party-in-lengthy-lawsuit-filed-for-chapter-13/," href=""https://www.southwhidbeyrecord.com/news/candidate-was-party-in-lengthy-lawsuit-filed-for-chapter-13/"" target=""_blank"">Candidate was party in lengthy lawsuit; filed for Chapter 13</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South Whidbey Record</font",2020-10-20 20:30:00+00:00,South Whidbey Record
