title,link,description,date,source
BARCLAYS PLC (BCS) Q3 2020 Earnings Call Transcript - The Motley Fool,https://www.fool.com/earnings/call-transcripts/2020/10/23/barclays-plc-bcs-q3-2020-earnings-call-transcript/," href=""https://www.fool.com/earnings/call-transcripts/2020/10/23/barclays-plc-bcs-q3-2020-earnings-call-transcript/"" target=""_blank"">BARCLAYS PLC (BCS) Q3 2020 Earnings Call Transcript</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Motley Fool</font",2020-10-23 22:00:23+00:00,The Motley Fool
Edited Transcript of BARC.L earnings conference call or presentation 23-Oct-20 8:30am GMT - Yahoo Finance,https://finance.yahoo.com/news/edited-transcript-barc-l-earnings-083000054.html," href=""https://finance.yahoo.com/news/edited-transcript-barc-l-earnings-083000054.html"" target=""_blank"">Edited Transcript of BARC.L earnings conference call or presentation 23-Oct-20 8:30am GMT</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font",2020-10-23 08:30:00+00:00,Yahoo Finance
Visa's deal to buy fintech startup Plaid faces antitrust scrutiny - WSJ - Yahoo Finance,https://finance.yahoo.com/news/visas-deal-buy-fintech-startup-181113779.html," href=""https://finance.yahoo.com/news/visas-deal-buy-fintech-startup-181113779.html"" target=""_blank"">Visa's deal to buy fintech startup Plaid faces antitrust scrutiny - WSJ</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font",2020-10-27 18:11:00+00:00,Yahoo Finance
Exposing the bad boy tycoons of India - Bangkok Post,https://www.bangkokpost.com/life/arts-and-entertainment/2007035/exposing-the-bad-boy-tycoons-of-india," href=""https://www.bangkokpost.com/life/arts-and-entertainment/2007035/exposing-the-bad-boy-tycoons-of-india"" target=""_blank"">Exposing the bad boy tycoons of India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bangkok Post</font",2020-10-22 21:00:00+00:00,Bangkok Post
"Non-performing loans in Kenya to hit 15% - Fitch - The Star, Kenya",https://www.the-star.co.ke/business/kenya/2020-10-16-non-performing-loans-in-kenya-to-hit-15-fitch/," href=""https://www.the-star.co.ke/business/kenya/2020-10-16-non-performing-loans-in-kenya-to-hit-15-fitch/"" target=""_blank"">Non-performing loans in Kenya to hit 15% - Fitch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Star, Kenya</font",2020-10-16 07:00:00+00:00,"The Star, Kenya"
Some Thoughts on Late Charges and Default Rate Interest - Lexology,https://www.lexology.com/library/detail.aspx?g=472d47d8-e2f6-47c6-b8fe-b110830c2a11," href=""https://www.lexology.com/library/detail.aspx?g=472d47d8-e2f6-47c6-b8fe-b110830c2a11"" target=""_blank"">Some Thoughts on Late Charges and Default Rate Interest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lexology</font",2020-08-31 07:00:00+00:00,Lexology
Britons should take these important actions as payment holidays end this month - Express,https://www.express.co.uk/finance/personalfinance/1341827/payment-holiday-end-October-31-mortgage-credit-card-personal-loan," href=""https://www.express.co.uk/finance/personalfinance/1341827/payment-holiday-end-October-31-mortgage-credit-card-personal-loan"" target=""_blank"">Britons should take these important actions as payment holidays end this month</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Express</font",2020-10-01 07:00:00+00:00,Express
The Bretton Woods Twins in the Era of COVID-19: Time for an Exit Strategy for the Global South? - CADTM.org,https://www.cadtm.org/The-Bretton-Woods-Twins-in-the-Era-of-COVID-19-Time-for-an-Exit-Strategy-for," href=""https://www.cadtm.org/The-Bretton-Woods-Twins-in-the-Era-of-COVID-19-Time-for-an-Exit-Strategy-for"" target=""_blank"">The Bretton Woods Twins in the Era of COVID-19: Time for an Exit Strategy for the Global South?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CADTM.org</font",2020-10-13 07:00:00+00:00,CADTM.org
Money Matters: Managing your spending and your budget - KOMO News,http://komonews.com/sponsored/money-matters/money-matters-managing-your-spending-and-your-budget," href=""http://komonews.com/sponsored/money-matters/money-matters-managing-your-spending-and-your-budget"" target=""_blank"">Money Matters: Managing your spending and your budget</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOMO News</font",2020-10-06 07:00:00+00:00,KOMO News
How the Hawks thwarted Angelo Agrizzi's escape plan - IOL,https://www.iol.co.za/news/politics/how-the-hawks-thwarted-angelo-agrizzis-escape-plan-8771895b-5d70-4a71-ad58-7fef1b61798f," href=""https://www.iol.co.za/news/politics/how-the-hawks-thwarted-angelo-agrizzis-escape-plan-8771895b-5d70-4a71-ad58-7fef1b61798f"" target=""_blank"">How the Hawks thwarted Angelo Agrizzi's escape plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IOL</font",2020-10-17 07:00:00+00:00,IOL
H-RERA approves maximum 1% real estate brokerage in Haryana - ETRealty.com,https://realty.economictimes.indiatimes.com/news/industry/hrera-approves-maximum-1-real-estate-brokerage-in-haryana/78892663," href=""https://realty.economictimes.indiatimes.com/news/industry/hrera-approves-maximum-1-real-estate-brokerage-in-haryana/78892663"" target=""_blank"">H-RERA approves maximum 1% real estate brokerage in Haryana</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETRealty.com</font",2020-10-27 12:10:48+00:00,ETRealty.com
"Knightdale man, family face new charges in alleged credit repair scheme - Triangle Business Journal",https://www.bizjournals.com/triangle/news/2020/09/14/knightdale-man-family-face-new-charges.html," href=""https://www.bizjournals.com/triangle/news/2020/09/14/knightdale-man-family-face-new-charges.html"" target=""_blank"">Knightdale man, family face new charges in alleged credit repair scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Triangle Business Journal</font",2020-09-14 07:00:00+00:00,Triangle Business Journal
