title,link,description,date,source
Indian Police Accuse Popular TV Station of Ratings Fraud - The New York Times,https://www.nytimes.com/2020/10/09/world/asia/india-republic-tv-ratings.html,"l><li><a href=""https://www.nytimes.com/2020/10/09/world/asia/india-republic-tv-ratings.html"" target=""_blank"">Indian Police Accuse Popular TV Station of Ratings Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font></li><li><a href=""https://www.cnbctv18.com/legal/tv-trp-fraud-busted-mumbai-police-arrest-4-accused-more-arrests-likely-7143311.htm"" target=""_blank"">TV TRP fraud busted: Mumbai police arrest 4 accused, more arrests likely</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBCTV18</font></li><li><a href=""https://timesofindia.indiatimes.com/city/mumbai/mumbai-man-held-in-trp-scam-got-over-rs-1-crore-in-account-since-november/articleshow/78598070.cms"" target=""_blank"">Mumbai: Man held in TRP scam got over Rs 1 crore in account since November</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font></li><li><a href=""https://www.indiatoday.in/india/story/trp-scam-fir-claims-against-india-today-not-supported-1729814-2020-10-09"" target=""_blank"">TRP Scam: Claims against India Today not supported by witnesses, accused, say Mumbai Police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font></li><li><a href=""https://www.geo.tv/latest/312240-indias-hyper-nationalist-republic-tv-accused-of-ratings-fraud"" target=""_blank"">Indias Republic TV accused of ratings fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Geo News</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlWdDdiNWtJQU1FVmRvcUt0aDJ1RVRLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-09 07:00:00+00:00,The New York Times
"Romanian national convicted for ATM fraud, handed 7-year jail term - The Indian Express",https://indianexpress.com/article/india/romanian-national-convicted-for-atm-fraud-handed-7-year-jail-term-6856406/," href=""https://indianexpress.com/article/india/romanian-national-convicted-for-atm-fraud-handed-7-year-jail-term-6856406/"" target=""_blank"">Romanian national convicted for ATM fraud, handed 7-year jail term</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-23 19:54:04+00:00,The Indian Express
PNB Fraud Case: UK Court Rejects Fugitive Nirav Modi's Bail For 7th Time - India.com,https://www.india.com/news/india/pnb-fraud-case-uk-court-rejects-fugitive-nirav-modis-bail-for-7th-time-4186557/," href=""https://www.india.com/news/india/pnb-fraud-case-uk-court-rejects-fugitive-nirav-modis-bail-for-7th-time-4186557/"" target=""_blank"">PNB Fraud Case: UK Court Rejects Fugitive Nirav Modi's Bail For 7th Time</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.com</font",2020-10-26 14:30:32+00:00,India.com
5th accused in TRP scam arrested in UP by Mumbai Police - National Herald,https://www.nationalheraldindia.com/national/5th-accused-in-trp-scam-arrested-in-up-by-mumbai-police," href=""https://www.nationalheraldindia.com/national/5th-accused-in-trp-scam-arrested-in-up-by-mumbai-police"" target=""_blank"">5th accused in TRP scam arrested in UP by Mumbai Police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-24 02:33:00+00:00,National Herald
Former Union Bank of India official convicted in fraud case - BusinessLine,https://www.thehindubusinessline.com/money-and-banking/former-union-bank-of-india-official-convicted-in-fraud-case/article32746050.ece," href=""https://www.thehindubusinessline.com/money-and-banking/former-union-bank-of-india-official-convicted-in-fraud-case/article32746050.ece"" target=""_blank"">Former Union Bank of India official convicted in fraud case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font",2020-10-01 07:00:00+00:00,BusinessLine
Man from Jamtara held for online fraud - The Indian Express,https://indianexpress.com/article/india/man-from-jamtara-held-for-online-fraud-6757865/," href=""https://indianexpress.com/article/india/man-from-jamtara-held-for-online-fraud-6757865/"" target=""_blank"">Man from Jamtara held for online fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-16 07:00:00+00:00,The Indian Express
Panchkula: Man accused of Rs 1.59 crore fraud nabbed - The Indian Express,https://indianexpress.com/article/cities/chandigarh/panchkula-man-accused-of-rs-1-59-crore-fraud-nabbed-6664081/," href=""https://indianexpress.com/article/cities/chandigarh/panchkula-man-accused-of-rs-1-59-crore-fraud-nabbed-6664081/"" target=""_blank"">Panchkula: Man accused of Rs 1.59 crore fraud nabbed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-02 07:00:00+00:00,The Indian Express
ACB Files Chargesheet Against Three Accused in Land Fraud Case in Jammu and Kashmir's Rajouri District - News18,https://www.news18.com/news/india/acb-files-chargesheet-against-three-accused-in-land-fraud-case-in-jammu-and-kashmirs-rajouri-district-3006236.html," href=""https://www.news18.com/news/india/acb-files-chargesheet-against-three-accused-in-land-fraud-case-in-jammu-and-kashmirs-rajouri-district-3006236.html"" target=""_blank"">ACB Files Chargesheet Against Three Accused in Land Fraud Case in Jammu and Kashmir's Rajouri District</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font",2020-10-25 16:21:36+00:00,News18
Prime suspect in fraud case nabbed - The Tribune India,https://www.tribuneindia.com/news/amritsar/prime-suspect-in-fraud-case-nabbed-161719," href=""https://www.tribuneindia.com/news/amritsar/prime-suspect-in-fraud-case-nabbed-161719"" target=""_blank"">Prime suspect in fraud case nabbed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-10-27 01:29:00+00:00,The Tribune India
"India's most wanted man may 'not ever stand trial' there because he is depressed, court hears - Telegraph.co.uk",https://www.telegraph.co.uk/news/2020/10/26/indias-wanted-man-may-not-ever-stand-trial-depressed-court-hears/," href=""https://www.telegraph.co.uk/news/2020/10/26/indias-wanted-man-may-not-ever-stand-trial-depressed-court-hears/"" target=""_blank"">India's most wanted man may 'not ever stand trial' there because he is depressed, court hears</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph.co.uk</font",2020-10-26 19:49:00+00:00,Telegraph.co.uk
"Kerala gold scam: Key fugitive Rabins Hameed brought back from UAE, arrested by NIA - OpIndia",https://www.opindia.com/2020/10/nia-extradites-rabins-hameed-key-fugitive-in-the-kerala-gold-smuggling-case-from-uae/," href=""https://www.opindia.com/2020/10/nia-extradites-rabins-hameed-key-fugitive-in-the-kerala-gold-smuggling-case-from-uae/"" target=""_blank"">Kerala gold scam: Key fugitive Rabins Hameed brought back from UAE, arrested by NIA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OpIndia</font",2020-10-27 05:49:00+00:00,OpIndia
"Sterling Biotech Group promoters Sandesara brothers, accused of bank fraud and money laundering, declared... - Hindustan Times",https://www.hindustantimes.com/india-news/sterling-biotech-group-promoters-sandesara-brothers-accused-of-bank-fraud-and-money-laundering-declared-fugitive-economic-offenders/story-nLTR8SsCqdDgKV8sROwWIN.html," href=""https://www.hindustantimes.com/india-news/sterling-biotech-group-promoters-sandesara-brothers-accused-of-bank-fraud-and-money-laundering-declared-fugitive-economic-offenders/story-nLTR8SsCqdDgKV8sROwWIN.html"" target=""_blank"">Sterling Biotech Group promoters Sandesara brothers, accused of bank fraud and money laundering, declared...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-09-28 07:00:00+00:00,Hindustan Times
31 duped of Rs 2.4 lakh in insurance fraud - The Tribune India,https://www.tribuneindia.com/news/haryana/31-duped-of-rs-2-4-lakh-in-insurance-fraud-161544," href=""https://www.tribuneindia.com/news/haryana/31-duped-of-rs-2-4-lakh-in-insurance-fraud-161544"" target=""_blank"">31 duped of Rs 2.4 lakh in insurance fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-10-27 01:58:00+00:00,The Tribune India
Delhi gym owner arrested over alleged fraud of sale of luxury cars - The Tribune India,https://www.tribuneindia.com/news/delhi/delhi-gym-owner-arrested-over-alleged-fraud-of-sale-of-luxury-cars-160922," href=""https://www.tribuneindia.com/news/delhi/delhi-gym-owner-arrested-over-alleged-fraud-of-sale-of-luxury-cars-160922"" target=""_blank"">Delhi gym owner arrested over alleged fraud of sale of luxury cars</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-10-25 06:39:00+00:00,The Tribune India
Amazon Employees Booked For Fraud & Hacking of Prime Customer's Account - India.com,https://www.india.com/news/india/amazon-employees-booked-for-fraud-hacking-of-prime-customers-account-4183213/," href=""https://www.india.com/news/india/amazon-employees-booked-for-fraud-hacking-of-prime-customers-account-4183213/"" target=""_blank"">Amazon Employees Booked For Fraud & Hacking of Prime Customer's Account</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.com</font",2020-10-23 12:17:51+00:00,India.com
YouTuber Lakshay Chaudhary levels serious allegations of fraud against Gaurav Wasan of Swad Official whose video on ‘Baba ka Dhaba’ had gone viral - OpIndia,https://www.opindia.com/2020/10/baba-ka-dhaba-gaurav-wasan-swad-official-lakshay-chaudhary/," href=""https://www.opindia.com/2020/10/baba-ka-dhaba-gaurav-wasan-swad-official-lakshay-chaudhary/"" target=""_blank"">YouTuber Lakshay Chaudhary levels serious allegations of fraud against Gaurav Wasan of Swad Official whose video on ‘Baba ka Dhaba’ had gone viral</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OpIndia</font",2020-10-26 16:14:00+00:00,OpIndia
"TRP scam: Money flow from channels to key suspect was monthly, say Mumbai cops - Times of India",https://timesofindia.indiatimes.com/india/cops-cash-went-monthly-from-channels-to-trp-suspect/articleshow/78739920.cms," href=""https://timesofindia.indiatimes.com/india/cops-cash-went-monthly-from-channels-to-trp-suspect/articleshow/78739920.cms"" target=""_blank"">TRP scam: Money flow from channels to key suspect was monthly, say Mumbai cops</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-19 07:00:00+00:00,Times of India
UP police bring in CBI to investigate ‘TRP scam’ - Times of India,https://timesofindia.indiatimes.com/india/up-police-bring-in-cbi-to-investigate-trp-scam/articleshow/78779137.cms," href=""https://timesofindia.indiatimes.com/india/up-police-bring-in-cbi-to-investigate-trp-scam/articleshow/78779137.cms"" target=""_blank"">UP police bring in CBI to investigate ‘TRP scam’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-20 23:18:00+00:00,Times of India
"Firm, promoters and directors booked by CBI in bank fraud case - The Hindu",https://www.thehindu.com/news/national/firm-promoters-and-directors-booked-by-cbi-in-bank-fraud-case/article32835403.ece," href=""https://www.thehindu.com/news/national/firm-promoters-and-directors-booked-by-cbi-in-bank-fraud-case/article32835403.ece"" target=""_blank"">Firm, promoters and directors booked by CBI in bank fraud case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-12 07:00:00+00:00,The Hindu
"Railway Ticket Scam: IIT Graduate Creates Faster Rail Ticket Booking App Than IRCTC, Arrested For Fraud - India.com",https://www.india.com/viral/railway-ticket-scam-iit-graduate-creates-faster-rail-ticket-booking-app-than-irctc-arrested-for-fraud-4186874/," href=""https://www.india.com/viral/railway-ticket-scam-iit-graduate-creates-faster-rail-ticket-booking-app-than-irctc-arrested-for-fraud-4186874/"" target=""_blank"">Railway Ticket Scam: IIT Graduate Creates Faster Rail Ticket Booking App Than IRCTC, Arrested For Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.com</font",2020-10-27 03:24:30+00:00,India.com
Allahabad High Court slams Yogi govt over ‘misuse’ of cow slaughter act - National Herald,https://www.nationalheraldindia.com/national/allahabad-high-court-slams-yogi-govt-over-misuse-of-cow-slaughter-act," href=""https://www.nationalheraldindia.com/national/allahabad-high-court-slams-yogi-govt-over-misuse-of-cow-slaughter-act"" target=""_blank"">Allahabad High Court slams Yogi govt over ‘misuse’ of cow slaughter act</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-27 02:43:30+00:00,National Herald
NDA ex-minister Dilip Ray gets 3-years jail term for coal scam - Times of India,https://timesofindia.indiatimes.com/india/nda-ex-minister-dilip-ray-gets-3-years-jail-term-for-coal-scam/articleshow/78882239.cms," href=""https://timesofindia.indiatimes.com/india/nda-ex-minister-dilip-ray-gets-3-years-jail-term-for-coal-scam/articleshow/78882239.cms"" target=""_blank"">NDA ex-minister Dilip Ray gets 3-years jail term for coal scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 21:33:00+00:00,Times of India
Cops probe into land fraud case ‘link’ to Patel family - Times of India,https://timesofindia.indiatimes.com/city/surat/cops-probe-into-land-fraud-case-link-to-patel-family/articleshow/78392275.cms," href=""https://timesofindia.indiatimes.com/city/surat/cops-probe-into-land-fraud-case-link-to-patel-family/articleshow/78392275.cms"" target=""_blank"">Cops probe into land fraud case ‘link’ to Patel family</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-09-30 07:00:00+00:00,Times of India
Trio accused in Riverside County mail fraud scheme that netted over $500K - KESQ,https://kesq.com/news/crime/2020/10/22/trio-accused-in-riverside-county-mail-fraud-scheme-that-netted-over-500k/," href=""https://kesq.com/news/crime/2020/10/22/trio-accused-in-riverside-county-mail-fraud-scheme-that-netted-over-500k/"" target=""_blank"">Trio accused in Riverside County mail fraud scheme that netted over $500K</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KESQ</font",2020-10-22 21:35:00+00:00,KESQ
Billionaire diamond dealer to stars 'may never stand trial' for swindling £1.5billion - Daily Mail,https://www.dailymail.co.uk/news/article-8880475/Billionaire-diamond-dealer-stars-never-stand-trial-swindling-1-5billion.html," href=""https://www.dailymail.co.uk/news/article-8880475/Billionaire-diamond-dealer-stars-never-stand-trial-swindling-1-5billion.html"" target=""_blank"">Billionaire diamond dealer to stars 'may never stand trial' for swindling £1.5billion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Mail</font",2020-10-26 14:53:00+00:00,Daily Mail
SBI official held in ₹1.05 crore fake gold loan fraud in East Godavari - The Hindu,https://www.thehindu.com/news/national/andhra-pradesh/sbi-official-held-in-105-crore-fake-gold-loan-fraud-in-east-godavari/article32885849.ece," href=""https://www.thehindu.com/news/national/andhra-pradesh/sbi-official-held-in-105-crore-fake-gold-loan-fraud-in-east-godavari/article32885849.ece"" target=""_blank"">SBI official held in ₹1.05 crore fake gold loan fraud in East Godavari</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-18 07:00:00+00:00,The Hindu
Court reinstates fraud conviction for Hunter Biden business partner - POLITICO,https://www.politico.com/news/2020/10/08/hunter-biden-business-partner-fraud-428154," href=""https://www.politico.com/news/2020/10/08/hunter-biden-business-partner-fraud-428154"" target=""_blank"">Court reinstates fraud conviction for Hunter Biden business partner</a>&nbsp;&nbsp;<font color=""#6f6f6f"">POLITICO</font",2020-10-08 07:00:00+00:00,POLITICO
Four Nigerians Arrested In India For Alleged Fraud - SaharaReporters.com,http://saharareporters.com/2020/10/15/four-nigerians-arrested-india-alleged-fraud," href=""http://saharareporters.com/2020/10/15/four-nigerians-arrested-india-alleged-fraud"" target=""_blank"">Four Nigerians Arrested In India For Alleged Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SaharaReporters.com</font",2020-10-15 07:00:00+00:00,SaharaReporters.com
"CBI searches 6 Indian firms in global Internet tech support fraud case, recovers Rs 190 crore - The Tribune",https://m.tribuneindia.com/news/nation/cbi-searches-6-firms-over-computer-tech-support-fraud-recovers-assets-worth-rs-190-crore-156650," href=""https://m.tribuneindia.com/news/nation/cbi-searches-6-firms-over-computer-tech-support-fraud-recovers-assets-worth-rs-190-crore-156650"" target=""_blank"">CBI searches 6 Indian firms in global Internet tech support fraud case, recovers Rs 190 crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font",2020-10-16 07:00:00+00:00,The Tribune
