title,link,description,date,source
"Luverne resident accused of fraud, theft | The Globe - The Globe",https://www.dglobe.com/news/crime-and-courts/6724072-Luverne-resident-accused-of-fraud-theft," href=""https://www.dglobe.com/news/crime-and-courts/6724072-Luverne-resident-accused-of-fraud-theft"" target=""_blank"">Luverne resident accused of fraud, theft | The Globe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Globe</font",2020-10-21 12:00:00+00:00,The Globe
5 in La. accused of stealing from now-bankrupt unemployment fund - WAFB,https://www.wafb.com/2020/10/21/people-la-accused-unemployment-benefits-fraud-related-covid-pandemic/," href=""https://www.wafb.com/2020/10/21/people-la-accused-unemployment-benefits-fraud-related-covid-pandemic/"" target=""_blank"">5 in La. accused of stealing from now-bankrupt unemployment fund</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WAFB</font",2020-10-21 20:25:00+00:00,WAFB
Owner of Leesburg charter aircraft firm accused of coronavirus crisis loan fraud - The Washington Post,https://www.washingtonpost.com/local/legal-issues/owner-of-leesburg-charter-aircraft-firm-accused-of-coronavirus-crisis-loan-fraud/2020/10/20/9deedfb6-12f1-11eb-bc10-40b25382f1be_story.html," href=""https://www.washingtonpost.com/local/legal-issues/owner-of-leesburg-charter-aircraft-firm-accused-of-coronavirus-crisis-loan-fraud/2020/10/20/9deedfb6-12f1-11eb-bc10-40b25382f1be_story.html"" target=""_blank"">Owner of Leesburg charter aircraft firm accused of coronavirus crisis loan fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font",2020-10-20 19:52:00+00:00,The Washington Post
DOJ accuses Pasco County man of fraudulently taking $1.9M in PPP funds - Tampa Bay Business Journal,https://www.bizjournals.com/tampabay/news/2020/10/23/pasco-man-accused-of-ppp-fraud.html," href=""https://www.bizjournals.com/tampabay/news/2020/10/23/pasco-man-accused-of-ppp-fraud.html"" target=""_blank"">DOJ accuses Pasco County man of fraudulently taking $1.9M in PPP funds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tampa Bay Business Journal</font",2020-10-23 22:04:00+00:00,Tampa Bay Business Journal
Howell insurance agent accused of embezzlement heads to court - WILX,https://www.wilx.com/2020/10/26/howell-insurance-agent-accused-of-embezzlement-heads-to-court/," href=""https://www.wilx.com/2020/10/26/howell-insurance-agent-accused-of-embezzlement-heads-to-court/"" target=""_blank"">Howell insurance agent accused of embezzlement heads to court</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WILX</font",2020-10-26 15:26:00+00:00,WILX
Businessman named in federal corruption probe accused of fraud in bankruptcy court - Chicago Tribune,https://www.chicagotribune.com/news/criminal-justice/ct-black-dog-bankruptcy-fraud-federal-corruption-probe-20201008-2ugmkjcaznbv7moxlusno4uqey-story.html," href=""https://www.chicagotribune.com/news/criminal-justice/ct-black-dog-bankruptcy-fraud-federal-corruption-probe-20201008-2ugmkjcaznbv7moxlusno4uqey-story.html"" target=""_blank"">Businessman named in federal corruption probe accused of fraud in bankruptcy court</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chicago Tribune</font",2020-10-09 07:00:00+00:00,Chicago Tribune
"EPISD superintendent, former board president accused of fraud in California lawsuit - KVIA El Paso",https://kvia.com/news/education/2020/10/19/episd-superintendent-former-board-president-accused-of-fraud-in-california-lawsuit/," href=""https://kvia.com/news/education/2020/10/19/episd-superintendent-former-board-president-accused-of-fraud-in-california-lawsuit/"" target=""_blank"">EPISD superintendent, former board president accused of fraud in California lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KVIA El Paso</font",2020-10-20 05:24:30+00:00,KVIA El Paso
"Southeast Texas's Leading Local News: Weather, Traffic, Sports and more | Southeast Texas, Texas | 12NEWSNOW.com | 12newsnow.com - 12newsnow.com KBMT-KJAC",https://www.12newsnow.com/video/news/crime/another-person-accused-in-beaumont-food-stamp-fraud-case-sentenced/502-5822a2c1-0929-4c1a-acae-558cb4c2edd9," href=""https://www.12newsnow.com/video/news/crime/another-person-accused-in-beaumont-food-stamp-fraud-case-sentenced/502-5822a2c1-0929-4c1a-acae-558cb4c2edd9"" target=""_blank"">Southeast Texas's Leading Local News: Weather, Traffic, Sports and more | Southeast Texas, Texas | 12NEWSNOW.com | 12newsnow.com</a>&nbsp;&nbsp;<font color=""#6f6f6f"">12newsnow.com KBMT-KJAC</font",2020-10-26 23:21:00+00:00,12newsnow.com KBMT-KJAC
SAExploration accused of $100M accounting fraud | Article - Compliance Week,https://www.complianceweek.com/regulatory-enforcement/saexploration-accused-of-100m-accounting-fraud/29591.article," href=""https://www.complianceweek.com/regulatory-enforcement/saexploration-accused-of-100m-accounting-fraud/29591.article"" target=""_blank"">SAExploration accused of $100M accounting fraud | Article</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Compliance Week</font",2020-10-09 07:00:00+00:00,Compliance Week
Two Ocean Springs men accused in an $18M fraud scheme - WXXV News 25,https://www.wxxv25.com/2020/10/07/two-ocean-springs-men-accused-18m-fraud-scheme/," href=""https://www.wxxv25.com/2020/10/07/two-ocean-springs-men-accused-18m-fraud-scheme/"" target=""_blank"">Two Ocean Springs men accused in an $18M fraud scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WXXV News 25</font",2020-10-07 07:00:00+00:00,WXXV News 25
