title,link,description,date,source
Indian-origin man arrested in Canada for ‘involvement’ in transnational telephone scams - The Tribune,https://m.tribuneindia.com/news/diaspora/indian-origin-man-arrested-in-canada-for-involvement-in-transnational-telephone-scams-158043," href=""https://m.tribuneindia.com/news/diaspora/indian-origin-man-arrested-in-canada-for-involvement-in-transnational-telephone-scams-158043"" target=""_blank"">Indian-origin man arrested in Canada for ‘involvement’ in transnational telephone scams</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font",2020-10-19 09:57:29+00:00,The Tribune
ICE arrests 11 Indian students for OPT... - The American Bazaar,https://www.americanbazaaronline.com/2020/10/22/ice-arrests-11-indian-students-for-opt-fraud-442836/," href=""https://www.americanbazaaronline.com/2020/10/22/ice-arrests-11-indian-students-for-opt-fraud-442836/"" target=""_blank"">ICE arrests 11 Indian students for OPT...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The American Bazaar</font",2020-10-22 15:00:00+00:00,The American Bazaar
11 Indian students arrested for trying to illegally remain in U.S. - The Hindu,https://www.thehindu.com/news/international/11-indian-students-arrested-for-trying-to-illegally-remain-in-us/article32925941.ece," href=""https://www.thehindu.com/news/international/11-indian-students-arrested-for-trying-to-illegally-remain-in-us/article32925941.ece"" target=""_blank"">11 Indian students arrested for trying to illegally remain in U.S.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-23 05:58:36+00:00,The Hindu
"Railway Ticket Scam: IIT Graduate Creates Faster Rail Ticket Booking App Than IRCTC, Arrested For Fraud - India.com",https://www.india.com/viral/railway-ticket-scam-iit-graduate-creates-faster-rail-ticket-booking-app-than-irctc-arrested-for-fraud-4186874/," href=""https://www.india.com/viral/railway-ticket-scam-iit-graduate-creates-faster-rail-ticket-booking-app-than-irctc-arrested-for-fraud-4186874/"" target=""_blank"">Railway Ticket Scam: IIT Graduate Creates Faster Rail Ticket Booking App Than IRCTC, Arrested For Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.com</font",2020-10-27 03:24:30+00:00,India.com
ED arrests city firm’s director - Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/ed-arrests-city-firms-director/articleshow/78648063.cms," href=""https://timesofindia.indiatimes.com/city/ahmedabad/ed-arrests-city-firms-director/articleshow/78648063.cms"" target=""_blank"">ED arrests city firm’s director</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-14 07:00:00+00:00,Times of India
Delhi gym owner arrested over alleged fraud of sale of luxury cars - The Tribune India,https://www.tribuneindia.com/news/delhi/delhi-gym-owner-arrested-over-alleged-fraud-of-sale-of-luxury-cars-160922," href=""https://www.tribuneindia.com/news/delhi/delhi-gym-owner-arrested-over-alleged-fraud-of-sale-of-luxury-cars-160922"" target=""_blank"">Delhi gym owner arrested over alleged fraud of sale of luxury cars</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-10-25 06:39:00+00:00,The Tribune India
Morris Coin founder arrested in India over alleged digital currency scam - CoinGeek,https://coingeek.com/morris-coin-founder-arrested-in-india-over-alleged-digital-currency-scam/," href=""https://coingeek.com/morris-coin-founder-arrested-in-india-over-alleged-digital-currency-scam/"" target=""_blank"">Morris Coin founder arrested in India over alleged digital currency scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CoinGeek</font",2020-10-04 07:00:00+00:00,CoinGeek
Four Nigerians Arrested In India For Alleged Fraud - SaharaReporters.com,http://saharareporters.com/2020/10/15/four-nigerians-arrested-india-alleged-fraud," href=""http://saharareporters.com/2020/10/15/four-nigerians-arrested-india-alleged-fraud"" target=""_blank"">Four Nigerians Arrested In India For Alleged Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SaharaReporters.com</font",2020-10-15 07:00:00+00:00,SaharaReporters.com
CA student held for Rs 50 crore GST fraud - Times of India,https://timesofindia.indiatimes.com/city/vadodara/ca-student-held-for-rs-50cr-gst-fraud/articleshow/78794802.cms," href=""https://timesofindia.indiatimes.com/city/vadodara/ca-student-held-for-rs-50cr-gst-fraud/articleshow/78794802.cms"" target=""_blank"">CA student held for Rs 50 crore GST fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-21 22:50:00+00:00,Times of India
Man from Jamtara held for online fraud - The Indian Express,https://indianexpress.com/article/india/man-from-jamtara-held-for-online-fraud-6757865/," href=""https://indianexpress.com/article/india/man-from-jamtara-held-for-online-fraud-6757865/"" target=""_blank"">Man from Jamtara held for online fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-16 07:00:00+00:00,The Indian Express
