title,link,description,date,source
Software developer pleads guilty to COVID-19 fraud scheme - Associated Press,https://apnews.com/article/technology-business-small-business-virus-outbreak-seattle-3d31c5fa13c41c9199e78dff1280ce2d," href=""https://apnews.com/article/technology-business-small-business-virus-outbreak-seattle-3d31c5fa13c41c9199e78dff1280ce2d"" target=""_blank"">Software developer pleads guilty to COVID-19 fraud scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Associated Press</font",2020-10-26 02:20:54+00:00,Associated Press
Leonardo CEO found guilty of fraud in previous job - DefenseNews.com,https://www.defensenews.com/industry/2020/10/15/leonardo-ceo-found-guilty-of-fraud-in-previous-job/," href=""https://www.defensenews.com/industry/2020/10/15/leonardo-ceo-found-guilty-of-fraud-in-previous-job/"" target=""_blank"">Leonardo CEO found guilty of fraud in previous job</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DefenseNews.com</font",2020-10-15 07:00:00+00:00,DefenseNews.com
Goldman Sachs Unit Pleads Guilty Over Fraud Scheme - The New York Times,https://www.nytimes.com/2020/10/22/business/goldman-sachs-fraud-guilty-plea.html," href=""https://www.nytimes.com/2020/10/22/business/goldman-sachs-fraud-guilty-plea.html"" target=""_blank"">Goldman Sachs Unit Pleads Guilty Over Fraud Scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font",2020-10-22 15:55:00+00:00,The New York Times
"Collin County Man Found Guilty On Fraud Charges, Victims Included Senior Citizens, School Districts, Charities - CBS Dallas / Fort Worth",https://dfw.cbslocal.com/2020/10/14/collin-county-man-guilty-fraud-charges-victims-included-senior-citizens-school-districts-charities/," href=""https://dfw.cbslocal.com/2020/10/14/collin-county-man-guilty-fraud-charges-victims-included-senior-citizens-school-districts-charities/"" target=""_blank"">Collin County Man Found Guilty On Fraud Charges, Victims Included Senior Citizens, School Districts, Charities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS Dallas / Fort Worth</font",2020-10-14 07:00:00+00:00,CBS Dallas / Fort Worth
Former Young Rich Lister Craig Gore guilty of fraud - The Australian Financial Review,https://www.afr.com/companies/financial-services/former-rich-lister-gore-guilty-of-fraud-20201026-p568s9," href=""https://www.afr.com/companies/financial-services/former-rich-lister-gore-guilty-of-fraud-20201026-p568s9"" target=""_blank"">Former Young Rich Lister Craig Gore guilty of fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Australian Financial Review</font",2020-10-27 00:09:00+00:00,The Australian Financial Review
Missouri Woman Pleads Guilty to Fraud in Theft From Company - U.S. News & World Report,https://www.usnews.com/news/best-states/missouri/articles/2020-10-07/missouri-woman-pleads-guilty-to-fraud-in-theft-from-company," href=""https://www.usnews.com/news/best-states/missouri/articles/2020-10-07/missouri-woman-pleads-guilty-to-fraud-in-theft-from-company"" target=""_blank"">Missouri Woman Pleads Guilty to Fraud in Theft From Company</a>&nbsp;&nbsp;<font color=""#6f6f6f"">U.S. News & World Report</font",2020-10-07 07:00:00+00:00,U.S. News & World Report
Natick Man Pleads Guilty to Fraud in Worcester HUD Project - This Week In Worcester,https://thisweekinworcester.com/natick-man-guilty-fraud-in-worcester-hud/," href=""https://thisweekinworcester.com/natick-man-guilty-fraud-in-worcester-hud/"" target=""_blank"">Natick Man Pleads Guilty to Fraud in Worcester HUD Project</a>&nbsp;&nbsp;<font color=""#6f6f6f"">This Week In Worcester</font",2020-09-29 07:00:00+00:00,This Week In Worcester
Developer pleads guilty to fraud charges tied to Worcester property - Worcester Telegram,https://www.telegram.com/news/20200928/developer-pleads-guilty-to-fraud-charges-tied-to-worcester-property," href=""https://www.telegram.com/news/20200928/developer-pleads-guilty-to-fraud-charges-tied-to-worcester-property"" target=""_blank"">Developer pleads guilty to fraud charges tied to Worcester property</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Worcester Telegram</font",2020-09-28 07:00:00+00:00,Worcester Telegram
Union Boss Guilty of Fraud - Penalties for Dishonestly Obtain Advantage By Deception - Lexology,https://www.lexology.com/library/detail.aspx?g=6c9f8b8b-c98d-4162-8a4c-8c028fd62f17," href=""https://www.lexology.com/library/detail.aspx?g=6c9f8b8b-c98d-4162-8a4c-8c028fd62f17"" target=""_blank"">Union Boss Guilty of Fraud - Penalties for Dishonestly Obtain Advantage By Deception</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lexology</font",2020-10-21 09:39:32+00:00,Lexology
Arlington Man Pleads Guilty to Healthcare Fraud - ARLnow,https://www.arlnow.com/2020/10/21/arlington-man-pleads-guilty-to-healthcare-fraud/," href=""https://www.arlnow.com/2020/10/21/arlington-man-pleads-guilty-to-healthcare-fraud/"" target=""_blank"">Arlington Man Pleads Guilty to Healthcare Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ARLnow</font",2020-10-21 18:15:00+00:00,ARLnow
