title,link,description,date,source
‘TRP scam accused who paid people may turn approver’ - Times of India,https://timesofindia.indiatimes.com/india/trp-scam-accused-who-paid-people-may-turn-approver/articleshow/78882329.cms," href=""https://timesofindia.indiatimes.com/india/trp-scam-accused-who-paid-people-may-turn-approver/articleshow/78882329.cms"" target=""_blank"">‘TRP scam accused who paid people may turn approver’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 22:26:00+00:00,Times of India
‘TRP scam’: Accused remanded in police custody - The Indian Express,https://indianexpress.com/article/cities/mumbai/trp-scam-accused-remanded-in-police-custody-6884460/," href=""https://indianexpress.com/article/cities/mumbai/trp-scam-accused-remanded-in-police-custody-6884460/"" target=""_blank"">‘TRP scam’: Accused remanded in police custody</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-27 01:53:48+00:00,The Indian Express
"10th arrest in TRP scam, man linked to channel payments - Times of India",https://timesofindia.indiatimes.com/india/10th-arrest-in-trp-scam-man-linked-to-channel-payments/articleshow/78864113.cms," href=""https://timesofindia.indiatimes.com/india/10th-arrest-in-trp-scam-man-linked-to-channel-payments/articleshow/78864113.cms"" target=""_blank"">10th arrest in TRP scam, man linked to channel payments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 00:12:00+00:00,Times of India
Indian Police Accuse Popular TV Station of Ratings Fraud - The New York Times,https://www.nytimes.com/2020/10/09/world/asia/india-republic-tv-ratings.html," href=""https://www.nytimes.com/2020/10/09/world/asia/india-republic-tv-ratings.html"" target=""_blank"">Indian Police Accuse Popular TV Station of Ratings Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font",2020-10-09 07:00:00+00:00,The New York Times
One more arrested in ‘TRP scam’ - The Indian Express,https://indianexpress.com/article/cities/mumbai/one-more-arrested-in-trp-scam-6857959/," href=""https://indianexpress.com/article/cities/mumbai/one-more-arrested-in-trp-scam-6857959/"" target=""_blank"">One more arrested in ‘TRP scam’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-23 22:00:59+00:00,The Indian Express
6th TRP scam accused sent to police custody - Times of India,https://timesofindia.indiatimes.com/india/6th-trp-scam-accused-sent-to-police-custody/articleshow/78727103.cms," href=""https://timesofindia.indiatimes.com/india/6th-trp-scam-accused-sent-to-police-custody/articleshow/78727103.cms"" target=""_blank"">6th TRP scam accused sent to police custody</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-18 07:00:00+00:00,Times of India
"TRP ‘scam’ case: Republic, News Nation, Mahamovie execs wanted, cops tell Mumbai court - The Indian Express",https://indianexpress.com/article/india/trp-scam-case-republic-news-nation-mahamovie-execs-wanted-cops-tell-mumbai-court-6874838/," href=""https://indianexpress.com/article/india/trp-scam-case-republic-news-nation-mahamovie-execs-wanted-cops-tell-mumbai-court-6874838/"" target=""_blank"">TRP ‘scam’ case: Republic, News Nation, Mahamovie execs wanted, cops tell Mumbai court</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-24 21:09:27+00:00,The Indian Express
5th accused in TRP scam arrested in UP by Mumbai Police - National Herald,https://www.nationalheraldindia.com/national/5th-accused-in-trp-scam-arrested-in-up-by-mumbai-police," href=""https://www.nationalheraldindia.com/national/5th-accused-in-trp-scam-arrested-in-up-by-mumbai-police"" target=""_blank"">5th accused in TRP scam arrested in UP by Mumbai Police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-24 02:33:00+00:00,National Herald
Former Union minister Dilip Ray sentenced to 3-year imprisonment in coal scam case - Hindustan Times,https://www.hindustantimes.com/india-news/former-union-minister-dilip-ray-sentenced-to-3-year-imprisonment-in-coal-scam-case/story-U7tBkZv9fgIqE2WGQLOdRP.html," href=""https://www.hindustantimes.com/india-news/former-union-minister-dilip-ray-sentenced-to-3-year-imprisonment-in-coal-scam-case/story-U7tBkZv9fgIqE2WGQLOdRP.html"" target=""_blank"">Former Union minister Dilip Ray sentenced to 3-year imprisonment in coal scam case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-26 05:41:03+00:00,Hindustan Times
Police invoke additional charges in TRP scam - Times of India,https://timesofindia.indiatimes.com/india/police-invoke-additional-charges-in-trp-scam/articleshow/78798920.cms," href=""https://timesofindia.indiatimes.com/india/police-invoke-additional-charges-in-trp-scam/articleshow/78798920.cms"" target=""_blank"">Police invoke additional charges in TRP scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-21 22:04:00+00:00,Times of India
