title,link,description,date,source
‘TRP scam’: Accused remanded in police custody - The Indian Express,https://indianexpress.com/article/cities/mumbai/trp-scam-accused-remanded-in-police-custody-6884460/," href=""https://indianexpress.com/article/cities/mumbai/trp-scam-accused-remanded-in-police-custody-6884460/"" target=""_blank"">‘TRP scam’: Accused remanded in police custody</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-27 01:53:48+00:00,The Indian Express
‘TRP scam accused who paid people may turn approver’ - Times of India,https://timesofindia.indiatimes.com/india/trp-scam-accused-who-paid-people-may-turn-approver/articleshow/78882329.cms," href=""https://timesofindia.indiatimes.com/india/trp-scam-accused-who-paid-people-may-turn-approver/articleshow/78882329.cms"" target=""_blank"">‘TRP scam accused who paid people may turn approver’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 22:26:00+00:00,Times of India
"Montrose man arrested, accused of scamming investors via an adult entertainment scam - LA Daily News",https://www.dailynews.com/montrose-man-arrested-accused-of-scamming-investors-via-an-adult-entertainment-scam," href=""https://www.dailynews.com/montrose-man-arrested-accused-of-scamming-investors-via-an-adult-entertainment-scam"" target=""_blank"">Montrose man arrested, accused of scamming investors via an adult entertainment scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LA Daily News</font",2020-10-20 05:44:00+00:00,LA Daily News
6th TRP scam accused sent to police custody - Times of India,https://timesofindia.indiatimes.com/india/6th-trp-scam-accused-sent-to-police-custody/articleshow/78727103.cms," href=""https://timesofindia.indiatimes.com/india/6th-trp-scam-accused-sent-to-police-custody/articleshow/78727103.cms"" target=""_blank"">6th TRP scam accused sent to police custody</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-18 07:00:00+00:00,Times of India
YouTuber Lakshay Chaudhary levels serious allegations of fraud against Gaurav Wasan of Swad Official whose video on ‘Baba ka Dhaba’ had gone viral - OpIndia,https://www.opindia.com/2020/10/baba-ka-dhaba-gaurav-wasan-swad-official-lakshay-chaudhary/," href=""https://www.opindia.com/2020/10/baba-ka-dhaba-gaurav-wasan-swad-official-lakshay-chaudhary/"" target=""_blank"">YouTuber Lakshay Chaudhary levels serious allegations of fraud against Gaurav Wasan of Swad Official whose video on ‘Baba ka Dhaba’ had gone viral</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OpIndia</font",2020-10-26 16:14:00+00:00,OpIndia
Rapper Nuke Bizzle Is Arrested After Bragging About Unemployment Fraud in Video - The New York Times,https://www.nytimes.com/2020/10/18/us/nuke-bizzle-fraud-youtube.html," href=""https://www.nytimes.com/2020/10/18/us/nuke-bizzle-fraud-youtube.html"" target=""_blank"">Rapper Nuke Bizzle Is Arrested After Bragging About Unemployment Fraud in Video</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font",2020-10-18 07:00:00+00:00,The New York Times
Suzy Zreika: Mother and 'husband' charged over alleged marriage visa scam - Daily Mail,https://www.dailymail.co.uk/news/article-8882625/Suzy-Zreika-Mother-husband-charged-alleged-marriage-visa-scam.html," href=""https://www.dailymail.co.uk/news/article-8882625/Suzy-Zreika-Mother-husband-charged-alleged-marriage-visa-scam.html"" target=""_blank"">Suzy Zreika: Mother and 'husband' charged over alleged marriage visa scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Mail</font",2020-10-27 03:01:00+00:00,Daily Mail
"Kerala gold scam: Key fugitive Rabins Hameed brought back from UAE, arrested by NIA - OpIndia",https://www.opindia.com/2020/10/nia-extradites-rabins-hameed-key-fugitive-in-the-kerala-gold-smuggling-case-from-uae/," href=""https://www.opindia.com/2020/10/nia-extradites-rabins-hameed-key-fugitive-in-the-kerala-gold-smuggling-case-from-uae/"" target=""_blank"">Kerala gold scam: Key fugitive Rabins Hameed brought back from UAE, arrested by NIA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OpIndia</font",2020-10-27 05:49:00+00:00,OpIndia
Court records show Lula woman accused in firefighter charity scam has a history of such charges - Gainesville Times,https://www.gainesvilletimes.com/news/badge-bar/court-records-show-lula-woman-accused-firefighter-charity-scam-has-history-such-charges/," href=""https://www.gainesvilletimes.com/news/badge-bar/court-records-show-lula-woman-accused-firefighter-charity-scam-has-history-such-charges/"" target=""_blank"">Court records show Lula woman accused in firefighter charity scam has a history of such charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gainesville Times</font",2020-10-05 07:00:00+00:00,Gainesville Times
Cathlamet woman accused of $186K dog bite workers comp scam - Longview Daily News,https://tdn.com/news/local/cathlamet-woman-accused-of-186k-dog-bite-workers-comp-scam/article_ddd79286-8671-5199-bf60-9af2a6e3709c.html," href=""https://tdn.com/news/local/cathlamet-woman-accused-of-186k-dog-bite-workers-comp-scam/article_ddd79286-8671-5199-bf60-9af2a6e3709c.html"" target=""_blank"">Cathlamet woman accused of $186K dog bite workers comp scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Longview Daily News</font",2020-10-12 07:00:00+00:00,Longview Daily News
3 South Florida ‘brokers’ charged in $4.9 million scam that SEC says targeted seniors - Miami Herald,https://www.miamiherald.com/news/local/crime/article246113695.html," href=""https://www.miamiherald.com/news/local/crime/article246113695.html"" target=""_blank"">3 South Florida ‘brokers’ charged in $4.9 million scam that SEC says targeted seniors</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Miami Herald</font",2020-10-19 07:00:00+00:00,Miami Herald
TRP scam: Second key accused in case surrenders - Mid-day,https://www.mid-day.com/articles/trp-scam-second-key-accused-in--case-surrenders/23061203," href=""https://www.mid-day.com/articles/trp-scam-second-key-accused-in--case-surrenders/23061203"" target=""_blank"">TRP scam: Second key accused in case surrenders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mid-day</font",2020-10-26 02:13:00+00:00,Mid-day
"Executives of Republic TV, two other channels wanted in TRP scam, Mumbai Police tells court - Scroll.in",https://scroll.in/latest/976717/executives-of-republic-tv-two-other-channels-wanted-in-trp-scam-mumbai-police-tells-court," href=""https://scroll.in/latest/976717/executives-of-republic-tv-two-other-channels-wanted-in-trp-scam-mumbai-police-tells-court"" target=""_blank"">Executives of Republic TV, two other channels wanted in TRP scam, Mumbai Police tells court</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Scroll.in</font",2020-10-25 10:52:00+00:00,Scroll.in
