title,link,description,date,source
One more arrested in ‘TRP scam’ - The Indian Express,https://indianexpress.com/article/cities/mumbai/one-more-arrested-in-trp-scam-6857959/," href=""https://indianexpress.com/article/cities/mumbai/one-more-arrested-in-trp-scam-6857959/"" target=""_blank"">One more arrested in ‘TRP scam’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-23 22:00:59+00:00,The Indian Express
Indian-origin man arrested in Canada for ‘involvement’ in transnational telephone scams - The Tribune,https://m.tribuneindia.com/news/diaspora/indian-origin-man-arrested-in-canada-for-involvement-in-transnational-telephone-scams-158043," href=""https://m.tribuneindia.com/news/diaspora/indian-origin-man-arrested-in-canada-for-involvement-in-transnational-telephone-scams-158043"" target=""_blank"">Indian-origin man arrested in Canada for ‘involvement’ in transnational telephone scams</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font",2020-10-19 09:57:29+00:00,The Tribune
"10th arrest in TRP scam, man linked to channel payments - Times of India",https://timesofindia.indiatimes.com/india/10th-arrest-in-trp-scam-man-linked-to-channel-payments/articleshow/78864113.cms," href=""https://timesofindia.indiatimes.com/india/10th-arrest-in-trp-scam-man-linked-to-channel-payments/articleshow/78864113.cms"" target=""_blank"">10th arrest in TRP scam, man linked to channel payments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 00:12:00+00:00,Times of India
TRP scam: 3 more people arrested by Mumbai police - Zee News,https://zeenews.india.com/india/trp-scam-3-more-people-arrested-by-mumbai-police-2319048.html," href=""https://zeenews.india.com/india/trp-scam-3-more-people-arrested-by-mumbai-police-2319048.html"" target=""_blank"">TRP scam: 3 more people arrested by Mumbai police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font",2020-10-21 04:26:41+00:00,Zee News
TRP scam: Mumbai Police make sixth arrest - The Indian Express,https://indianexpress.com/article/cities/mumbai/trp-scam-police-make-sixth-arrest-6758234/," href=""https://indianexpress.com/article/cities/mumbai/trp-scam-police-make-sixth-arrest-6758234/"" target=""_blank"">TRP scam: Mumbai Police make sixth arrest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-17 07:00:00+00:00,The Indian Express
5th accused in TRP scam arrested in UP by Mumbai Police - National Herald,https://www.nationalheraldindia.com/national/5th-accused-in-trp-scam-arrested-in-up-by-mumbai-police," href=""https://www.nationalheraldindia.com/national/5th-accused-in-trp-scam-arrested-in-up-by-mumbai-police"" target=""_blank"">5th accused in TRP scam arrested in UP by Mumbai Police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-24 02:33:00+00:00,National Herald
Morris Coin founder arrested in India over alleged digital currency scam - CoinGeek,https://coingeek.com/morris-coin-founder-arrested-in-india-over-alleged-digital-currency-scam/," href=""https://coingeek.com/morris-coin-founder-arrested-in-india-over-alleged-digital-currency-scam/"" target=""_blank"">Morris Coin founder arrested in India over alleged digital currency scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CoinGeek</font",2020-10-04 07:00:00+00:00,CoinGeek
"Railway Ticket Scam: IIT Graduate Creates Faster Rail Ticket Booking App Than IRCTC, Arrested For Fraud - India.com",https://www.india.com/viral/railway-ticket-scam-iit-graduate-creates-faster-rail-ticket-booking-app-than-irctc-arrested-for-fraud-4186874/," href=""https://www.india.com/viral/railway-ticket-scam-iit-graduate-creates-faster-rail-ticket-booking-app-than-irctc-arrested-for-fraud-4186874/"" target=""_blank"">Railway Ticket Scam: IIT Graduate Creates Faster Rail Ticket Booking App Than IRCTC, Arrested For Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.com</font",2020-10-27 03:24:30+00:00,India.com
‘TRP scam’: Accused remanded in police custody - The Indian Express,https://indianexpress.com/article/cities/mumbai/trp-scam-accused-remanded-in-police-custody-6884460/," href=""https://indianexpress.com/article/cities/mumbai/trp-scam-accused-remanded-in-police-custody-6884460/"" target=""_blank"">‘TRP scam’: Accused remanded in police custody</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-27 01:53:48+00:00,The Indian Express
22-year-old Indian-Origin Man Arrested in Canada for International Telephone Scam - News18,https://www.news18.com/news/world/indian-origin-man-arrested-in-canada-for-alleged-involvement-in-transnational-telephone-scams-2981738.html," href=""https://www.news18.com/news/world/indian-origin-man-arrested-in-canada-for-alleged-involvement-in-transnational-telephone-scams-2981738.html"" target=""_blank"">22-year-old Indian-Origin Man Arrested in Canada for International Telephone Scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font",2020-10-19 10:22:00+00:00,News18
