title,link,description,date,source
Geneva County woman arrested in Facebook scam - WTVY,https://www.wtvy.com/2020/10/26/geneva-county-woman-arrested-in-facebook-scam/," href=""https://www.wtvy.com/2020/10/26/geneva-county-woman-arrested-in-facebook-scam/"" target=""_blank"">Geneva County woman arrested in Facebook scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WTVY</font",2020-10-26 23:10:00+00:00,WTVY
Feds arrest rapper who bragged in music video about getting rich from jobless benefits scam - CBS News,https://www.cbsnews.com/news/fontrell-baines-rapper-arrested-bragged-video-fraud-scheme/," href=""https://www.cbsnews.com/news/fontrell-baines-rapper-arrested-bragged-video-fraud-scheme/"" target=""_blank"">Feds arrest rapper who bragged in music video about getting rich from jobless benefits scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS News</font",2020-10-19 10:31:00+00:00,CBS News
Man arrested in investigation into FBI scam targeting Dothan convenience store - Dothan Eagle,https://dothaneagle.com/news/local/man-arrested-in-investigation-into-fbi-scam-targeting-dothan-convenience-store/article_35c0db50-17a7-11eb-8be8-1b5ccc9671f8.html," href=""https://dothaneagle.com/news/local/man-arrested-in-investigation-into-fbi-scam-targeting-dothan-convenience-store/article_35c0db50-17a7-11eb-8be8-1b5ccc9671f8.html"" target=""_blank"">Man arrested in investigation into FBI scam targeting Dothan convenience store</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dothan Eagle</font",2020-10-26 16:20:00+00:00,Dothan Eagle
One more arrested in ‘TRP scam’ - The Indian Express,https://indianexpress.com/article/cities/mumbai/one-more-arrested-in-trp-scam-6857959/," href=""https://indianexpress.com/article/cities/mumbai/one-more-arrested-in-trp-scam-6857959/"" target=""_blank"">One more arrested in ‘TRP scam’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-23 22:00:59+00:00,The Indian Express
"Scammers use high-ranking Sheriff's deputy's name to steal money, police say - Daytona Beach News-Journal",https://www.news-journalonline.com/story/news/crime/2020/10/19/scammers-use-sheriffs-office-division-chiefs-name-steal-money/5980606002/," href=""https://www.news-journalonline.com/story/news/crime/2020/10/19/scammers-use-sheriffs-office-division-chiefs-name-steal-money/5980606002/"" target=""_blank"">Scammers use high-ranking Sheriff's deputy's name to steal money, police say</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daytona Beach News-Journal</font",2020-10-19 20:34:46+00:00,Daytona Beach News-Journal
"Six arrested in Burbank for EDD scam, found with $40K cash, gun - KABC-TV",https://abc7.com/edd-scam-fraud-california-economic-development-department/6612338/," href=""https://abc7.com/edd-scam-fraud-california-economic-development-department/6612338/"" target=""_blank"">Six arrested in Burbank for EDD scam, found with $40K cash, gun</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KABC-TV</font",2020-09-27 07:00:00+00:00,KABC-TV
Indian-origin man arrested in Canada for ‘involvement’ in transnational telephone scams - The Tribune,https://m.tribuneindia.com/news/diaspora/indian-origin-man-arrested-in-canada-for-involvement-in-transnational-telephone-scams-158043," href=""https://m.tribuneindia.com/news/diaspora/indian-origin-man-arrested-in-canada-for-involvement-in-transnational-telephone-scams-158043"" target=""_blank"">Indian-origin man arrested in Canada for ‘involvement’ in transnational telephone scams</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font",2020-10-19 09:57:29+00:00,The Tribune
"10th arrest in TRP scam, man linked to channel payments - Times of India",https://timesofindia.indiatimes.com/india/10th-arrest-in-trp-scam-man-linked-to-channel-payments/articleshow/78864113.cms," href=""https://timesofindia.indiatimes.com/india/10th-arrest-in-trp-scam-man-linked-to-channel-payments/articleshow/78864113.cms"" target=""_blank"">10th arrest in TRP scam, man linked to channel payments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 00:12:00+00:00,Times of India
"Montrose man arrested, accused of scamming investors via an adult entertainment scam - LA Daily News",https://www.dailynews.com/montrose-man-arrested-accused-of-scamming-investors-via-an-adult-entertainment-scam," href=""https://www.dailynews.com/montrose-man-arrested-accused-of-scamming-investors-via-an-adult-entertainment-scam"" target=""_blank"">Montrose man arrested, accused of scamming investors via an adult entertainment scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LA Daily News</font",2020-10-20 05:44:00+00:00,LA Daily News
State Police Warn of New Phone Scam in Crawford County - erienewsnow.com,https://www.erienewsnow.com/story/42705858/state-police-warn-of-new-phone-scam-in-crawford-county," href=""https://www.erienewsnow.com/story/42705858/state-police-warn-of-new-phone-scam-in-crawford-county"" target=""_blank"">State Police Warn of New Phone Scam in Crawford County</a>&nbsp;&nbsp;<font color=""#6f6f6f"">erienewsnow.com</font",2020-09-30 07:00:00+00:00,erienewsnow.com
