title,link,description,date,source
Collin County man found guilty of financial fraud had more than $6.7M deposited into alias accounts - WFAA.com,https://www.wfaa.com/article/news/crime/collin-county-man-found-guilty-of-financial-fraud/287-62f91ea5-cff6-49c5-8448-0bf2240ec92f," href=""https://www.wfaa.com/article/news/crime/collin-county-man-found-guilty-of-financial-fraud/287-62f91ea5-cff6-49c5-8448-0bf2240ec92f"" target=""_blank"">Collin County man found guilty of financial fraud had more than $6.7M deposited into alias accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WFAA.com</font",2020-10-14 15:50:00+00:00,WFAA.com
Former HISD employee pleads guilty in college admissions scam - Chron,https://www.chron.com/news/houston-texas/education/article/Former-HISD-employee-exam-administrator-pleads-15603989.php," href=""https://www.chron.com/news/houston-texas/education/article/Former-HISD-employee-exam-administrator-pleads-15603989.php"" target=""_blank"">Former HISD employee pleads guilty in college admissions scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chron</font",2020-09-28 07:00:00+00:00,Chron
"VB woman pleads guilty to loan scam involving 1,700 victims and over $1.2 million - WAVY.com",https://www.wavy.com/news/vb-woman-pleads-guilty-to-loan-scam-involving-1700-victims-and-over-1-2-million/," href=""https://www.wavy.com/news/vb-woman-pleads-guilty-to-loan-scam-involving-1700-victims-and-over-1-2-million/"" target=""_blank"">VB woman pleads guilty to loan scam involving 1,700 victims and over $1.2 million</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WAVY.com</font",2020-10-24 00:44:00+00:00,WAVY.com
Felicity Huffman concludes sentence from college admissions scam - Everett Post,https://www.everettpost.com/entertainment/felicity-huffman-concludes-sentence-from-college-admissions-scam," href=""https://www.everettpost.com/entertainment/felicity-huffman-concludes-sentence-from-college-admissions-scam"" target=""_blank"">Felicity Huffman concludes sentence from college admissions scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everett Post</font",2020-10-26 15:26:00+00:00,Everett Post
Feds net three more guilty pleas in staged 18-wheeler accident scam - WWLTV.com,https://www.wwltv.com/article/news/investigations/three-more-guilty-pleas-added-to-long-list-in-staged-accidents-scam/289-2da93069-2bdb-4f7c-9986-5177ef069d70," href=""https://www.wwltv.com/article/news/investigations/three-more-guilty-pleas-added-to-long-list-in-staged-accidents-scam/289-2da93069-2bdb-4f7c-9986-5177ef069d70"" target=""_blank"">Feds net three more guilty pleas in staged 18-wheeler accident scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WWLTV.com</font",2020-10-22 02:46:00+00:00,WWLTV.com
Becker Pleads Not Guilty To Grand Scam Charge - Tennis Now,http://www.tennisnow.com/Blogs/NET-POSTS/October-2020/Becker-Pleads-Not-Guilty-To-Grand-Scam-Charge.aspx," href=""http://www.tennisnow.com/Blogs/NET-POSTS/October-2020/Becker-Pleads-Not-Guilty-To-Grand-Scam-Charge.aspx"" target=""_blank"">Becker Pleads Not Guilty To Grand Scam Charge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tennis Now</font",2020-10-22 15:41:18+00:00,Tennis Now
Virginia Beach man pleads guilty to wire fraud - WTOP,https://wtop.com/virginia/2020/10/virginia-beach-man-pleads-guilty-to-wire-fraud/," href=""https://wtop.com/virginia/2020/10/virginia-beach-man-pleads-guilty-to-wire-fraud/"" target=""_blank"">Virginia Beach man pleads guilty to wire fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WTOP</font",2020-10-10 07:00:00+00:00,WTOP
Couple pleads guilty to laundering money for India-based phone scammers - newsindiatimes.com,https://www.newsindiatimes.com/couple-pleads-guilty-to-laundering-money-for-india-based-phone-scammers/," href=""https://www.newsindiatimes.com/couple-pleads-guilty-to-laundering-money-for-india-based-phone-scammers/"" target=""_blank"">Couple pleads guilty to laundering money for India-based phone scammers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-08 07:00:00+00:00,newsindiatimes.com
Renton man involved in Drainage District 5 scam pleads guilty - Enumclaw Courier-Herald,https://www.courierherald.com/news/renton-man-involved-in-drainage-district-5-scam-pleads-guilty/," href=""https://www.courierherald.com/news/renton-man-involved-in-drainage-district-5-scam-pleads-guilty/"" target=""_blank"">Renton man involved in Drainage District 5 scam pleads guilty</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Enumclaw Courier-Herald</font",2020-10-05 07:00:00+00:00,Enumclaw Courier-Herald
"'Corrupt' Nitish Kumar involved in 'Saat Nischay' scam, will be sent to jail if found guilty: Chirag Pasw - Times of India",https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/corrupt-nitish-kumar-involved-in-saat-nischay-scam-will-be-sent-to-jail-if-found-guilty-chirag-paswan/articleshow/78866605.cms," href=""https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/corrupt-nitish-kumar-involved-in-saat-nischay-scam-will-be-sent-to-jail-if-found-guilty-chirag-paswan/articleshow/78866605.cms"" target=""_blank"">'Corrupt' Nitish Kumar involved in 'Saat Nischay' scam, will be sent to jail if found guilty: Chirag Pasw</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 04:59:00+00:00,Times of India
